"PlotNumber","ProjectID","SitePlotQuality","Date","Longitude","Latitude","Zone","SubZone","SiteSeries","MoistureRegime","NutrientRegime","BECSiteUnit","Elevation","SlopeGradient","Aspect","MesoSlopePosition"
"%801812","BEC-Nelson","BEC",20/6/1980 0:00:00,114.38,49.02,"MS","dk1","01","5","C",,1390,17.00,335,"LW"
"?780452","BEC-Nelson","Good",,115.17,49.39,"ICH","mk1","01","3","C",,1010,0.00,999,"LV"
"$801900","BEC-Nelson","BEC",26/7/1980 0:00:00,116.10,49.46,"MS","dk1","01","5","D",,1420,0.00,999,"LW"
"%780453","BEC-Nelson","Good",,115.94,49.64,"ICH","mk1","01","4","B",,1280,37.00,214,"LW"
"%796961","BEC-Nelson","BEC",20/9/1979 0:00:00,114.49,49.00,"MS","dk1","01","4","D",,1250,45.00,60,"MD"
"%801752","BEC-Nelson","BEC",18/6/1980 0:00:00,114.73,49.12,"ESSF","dk1","01","4","D",,1700,45.00,260,"MD"
"?780457","BEC-Nelson","Good",,115.02,49.42,"ICH","mk4","01","3","B",,1060,20.00,286,"CR"
"%801762","BEC-Nelson","BEC",21/6/1980 0:00:00,114.51,49.01,"MS","dk1","01","2","C",,1350,9.00,85,"CR"
"%801763","BEC-Nelson","BEC",20/6/1980 0:00:00,114.44,49.16,"MS","dk1","01","4","D",,1450,46.00,118,"MD"
"%801771","BEC-Nelson","BEC",21/6/1980 0:00:00,114.25,49.06,"MS","dk1","01","4","C",,1420,30.00,10,"MD"
"%801773","BEC-Nelson","BEC",22/6/1980 0:00:00,114.65,49.36,"MS","dk1","01","2","D",,1520,53.00,220,"UP"
"%801775","BEC-Nelson","BEC",22/6/1980 0:00:00,114.70,49.33,"ESSF","dk1","01","4","D",,1653,46.00,103,"LW"
"%801784","BEC-Nelson","BEC",24/6/1980 0:00:00,114.28,49.14,"MS","dk1","01","5","D",,1450,33.00,160,"LW"
"?791103","BEC-Nelson","BEC",17/5/1979 0:00:00,115.13,49.13,"PP","dh2","01","3","D",,800,0.00,999,"LV"
"?791105","BEC-Nelson","BEC",17/5/1979 0:00:00,115.14,49.13,"PP","dh2","01","3","E",,815,48.00,89,"UP"
"?791112","BEC-Nelson","BEC",18/5/1979 0:00:00,115.13,49.05,"PP","dh2","01","4","C",,815,2.00,278,"LW"
"?791121","BEC-Nelson","BEC",20/5/1979 0:00:00,115.27,49.10,"PP","dh2","01","2","C",,820,62.00,270,"LW"
"?791123","BEC-Nelson","BEC",21/5/1979 0:00:00,115.26,49.13,"IDF","dm2","01","4","C",,810,7.00,228,"MD"
"?796927","BEC-Nelson","BEC",18/9/1979 0:00:00,115.39,49.12,"MS","dk1","01","3","B",,1335,0.00,999,"LV"
"?796931","BEC-Nelson","BEC",18/9/1979 0:00:00,115.39,49.15,"MS","dk1","01","5","C",,1225,5.00,245,"TO"
"?796934","BEC-Nelson","BEC",19/9/1979 0:00:00,115.80,49.31,"ICH","mk4","01","4","B",,1300,14.00,205,"UP"
"?801805","BEC-Nelson","BEC",3/7/1980 0:00:00,115.37,49.48,"IDF","dm2","01","3","D",,875,0.00,999,"LV"
"?801806","BEC-Nelson","BEC",3/7/1980 0:00:00,115.35,49.40,"IDF","dm2","01","4","D",,865,28.00,50,"LW"
"?801809","BEC-Nelson","BEC",4/7/1980 0:00:00,115.33,49.28,"IDF","dm2","01","3","D",,780,0.00,999,"LV"
"?801814","BEC-Nelson","BEC",4/7/1980 0:00:00,115.38,49.29,"IDF","dm2","01","4","D",,870,12.00,140,"LW"
"?801824","BEC-Nelson","BEC",6/7/1980 0:00:00,115.42,49.37,"IDF","dm2","01","2","D",,850,0.00,999,"LV"
"?801825","BEC-Nelson","BEC",7/7/1980 0:00:00,115.38,49.34,"IDF","dm2","01","2","D",,820,63.00,65,"MD"
"?801833","BEC-Nelson","BEC",9/7/1980 0:00:00,115.36,49.34,"IDF","dm2","01","3","C",,775,9.00,256,"LW"
"0000453","EP822-05",,23/6/1986 0:00:00,125.60,53.20,"SBPS","mc","01","4","C",,990,2.00,185,"UP"
"0000651","ASPEN",,2/8/2001 0:00:00,120.22,59.45,"BWBS","mk","01","3","B",,600,0.00,0,"LV"
"0000655","ASPEN",,3/8/2001 0:00:00,120.33,59.50,"BWBS","mk","01","3","C",,655,25.00,220,"UP"
"0000662","ASPEN",,6/8/2001 0:00:00,122.00,56.89,"BWBS","wk2","01","5","C",,1130,10.00,195,"LW"
"0000663","ASPEN",,6/8/2001 0:00:00,122.18,56.98,"BWBS","wk2","01","4","C",,1125,7.00,245,"MD"
"0000664","ASPEN",,7/8/2001 0:00:00,122.32,56.95,"BWBS","wk2","01","4","D",,1130,7.00,205,"MD"
"0000673","ASPEN",,15/8/2001 0:00:00,122.68,57.05,"BWBS","wk2","01","5","B",,1130,7.00,110,"LW"
"0000678","ASPEN",,17/8/2001 0:00:00,122.82,57.03,"BWBS","wk2","01","5","D",,1135,18.00,178,"MD"
"0000680","ASPEN",,18/8/2001 0:00:00,122.14,56.05,"BWBS","wk2","01","4","C",,1080,47.00,103,"MID"
"0000684","ASPEN",,19/8/2001 0:00:00,122.41,56.17,"BWBS","wk2","01","4","C",,915,20.00,93,"MD"
"0000691","ASPEN",,15/8/2001 0:00:00,121.91,56.92,"BWBS","wk2","01","4","C",,1105,5.00,80,"MD"
"0001653","Caribou Recces",,25/6/1986 0:00:00,125.59,53.24,"SBPS","mc","01","3","B",,940,30.00,190,"UP"
"0001779","BEC","BEC",7/9/1979 0:00:00,119.62,53.24,"ESSF","mm","01","4","C",,1280,13.00,86,"LW"
"0002479","BEC","BEC",20/6/1979 0:00:00,119.41,52.72,"ESSF","mm","01","4","B",,990,0.00,999,"LV"
"0003279","BEC","BEC",29/6/1979 0:00:00,119.36,52.73,"ESSF","mm1","01","4","C",,1000,1.00,999,"LV"
"0004779","BEC","BEC",13/7/1979 0:00:00,118.78,52.53,"ESSF","mm1","01","4","C",,1680,35.00,234,"MD"
"0005453","Caribou plots",,12/7/1986 0:00:00,125.17,53.32,"SBS","dk","01","4","C",,920,12.00,310,"UP"
"0005852","Caribou Recces",,22/7/1986 0:00:00,125.25,53.10,"SBPS","mc","01","3","B",,1120,20.00,70,"MD"
"0006252","Caribou Recces",,23/7/1986 0:00:00,125.39,53.07,"SBPS","mc","01","4","B",,1090,4.00,360,"LV"
"0036580","BEC","BEC",13/7/1980 0:00:00,119.27,52.89,"ESSF","mm","01","3-4","B",,1350,24.00,242,"MD"
"0006652","Caribou Recces",,24/7/1986 0:00:00,125.40,53.14,"SBS","mc3","01","4","C",,1100,4.00,10,"UP"
"000677","BEC",,,,,"ICH","wk3","01","3","B",,814,3.00,110,"MD"
"0007179","BEC","BEC",8/8/1979 0:00:00,118.96,52.83,"ESSF","mm1","01","3","B",,1500,55.00,280,"LW"
"0007279","BEC","BEC",29/7/1979 0:00:00,119.65,52.94,"ESSF","mm1","01","3","B",,1480,67.00,271,"LW"
"0008079","BEC","BEC",9/7/1979 0:00:00,118.57,52.61,"ESSF","mm1","01","4-5","D",,1690,45.00,282,"MD"
"0010252","Caribou Recces",,23/6/1986 0:00:00,125.62,53.25,"SBPS","mc","01","3","B",,950,20.00,135,"MD"
"0011152","Caribou Recces",,23/6/1986 0:00:00,125.62,53.20,"SBPS","mc","01","4","C",,1000,0.00,999,"LV"
"0011253","Caribou Recces",,23/6/1986 0:00:00,125.61,53.20,"SBPS","mc","01","4","C",,1000,0.00,999,"LV"
"0012353","Caribou Recces",,24/6/1986 0:00:00,125.60,53.15,"SBPS","mc","01","4","B",,960,10.00,330,"UP"
"0013053","Caribou Recces",,25/6/1986 0:00:00,125.64,53.18,"SBPS","mc","01","5","C",,950,7.00,66,"UP"
"0013853","Caribou Recces",,25/6/1986 0:00:00,123.65,53.18,"SBPS","mc","01","5","D",,990,5.00,140,"MD"
"0014152","Caribou Recces",,25/6/1986 0:00:00,125.69,53.20,"SBPS","mc","01","2","A",,1000,0.00,999,"UP"
"0014252","Caribou Recces",,26/6/1986 0:00:00,125.69,53.20,"SBPS","mc","01","5",,,985,3.00,150,"LW"
"001479","BEC-PG","BEC",2/6/1979 0:00:00,119.56,53.04,"SBS","dh1","01","4","B",,870,27.00,228,"TO"
"0015152","Caribou Recces",,26/6/1986 0:00:00,125.70,53.30,"SBPS","mc","01","3","B",,930,15.00,180,
"0015452","Caribou Recces",,27/6/1986 0:00:00,125.90,53.12,"SBPS","mc","01",,,,950,15.00,220,"MD"
"0015752","Caribou Recces",,27/6/1986 0:00:00,125.94,53.10,"SBPS","mc","01","3","B",,890,20.00,130,"LW"
"001579","BEC-PG","BEC",1/6/1979 0:00:00,119.14,52.77,"SBS","dh1","01","3","B",,920,20.00,200,"MD"
"0015952","Caribou Recces",,27/6/1986 0:00:00,125.97,53.15,"SBPS","mc","01","1","A",,985,8.00,194,"LV"
"0016052","Caribou Recces",,27/6/1986 0:00:00,125.94,53.14,"SBPS","mc","01","2","B",,980,0.00,999,"MD"
"0017052","Caribou Recces",,9/7/1986 0:00:00,125.17,53.42,"SBPS","mc","01","4",,,870,10.00,165,"LW"
"0017252","Caribou Recces",,9/7/1986 0:00:00,125.17,53.39,"SBPS","mc","01","5","D",,925,45.00,315,"LW"
"0017552","Caribou Recces",,9/7/1986 0:00:00,125.29,53.32,"SBPS","mc","01","3","B",,1060,40.00,340,"UP"
"0017752","Caribou Recces",,9/7/1986 0:00:00,125.35,53.32,"SBPS","mc","01","2","B",,1020,20.00,140,"LW"
"0018453","Caribou plots",,11/7/1986 0:00:00,125.78,53.35,"SBS","dk","01","4","C",,920,8.00,190,"MD"
"0019552","Caribou Recces",,22/7/1986 0:00:00,125.44,53.09,"SBPS","mc","01","5","B",,1100,3.00,230,"MD"
"0020653","Caribou Recces",,23/6/1986 0:00:00,125.46,53.19,"SBPS","mc","01","3","B",,960,0.00,999,"LV"
"002079","BEC-PG","BEC",18/6/1979 0:00:00,119.09,52.76,"SBS","dh1","01","3","B",,960,27.00,222,"MD"
"002179","BEC","BEC",19/6/1979 0:00:00,119.06,52.76,"ICH","mm","01","4","C",,1165,36.00,185,"MD"
"0021952","Caribou Recces",,25/6/1986 0:00:00,125.55,53.25,"SBPS","mc","01","4","D",,1130,5.00,280,"MD"
"0023052","Caribou Recces",,27/6/1986 0:00:00,125.42,53.25,"SBPS","mc","01","4","B",,1040,2.00,,"MD"
"0023352","Caribou Recces",,27/6/1986 0:00:00,125.50,53.24,"SBPS","mc","01","4","C",,1005,10.00,300,"MD"
"0023452","Caribou Recces",,27/6/1986 0:00:00,125.50,53.24,"SBPS","mc","01","2","B",,940,60.00,120,"MD"
"002579","BEC-PG","BEC",17/6/1979 0:00:00,119.17,52.79,"SBS","dh1","01","3","C",,820,0.00,999,"LV"
"0029780","BEC","BEC",7/8/1980 0:00:00,120.06,53.71,"ESSF","mm1","01","5","C",,1615,20.00,210,"LW"
"0030080","BEC",,9/8/1980 0:00:00,119.89,52.79,"ESSF","mm","01","2","B",,1130,44.00,260,"LW"
"0037380","BEC","BEC",27/7/1980 0:00:00,119.67,52.93,"ESSF","mm1","01","5-4","B",,1520,47.00,300,"MD"
"003779","BEC","BEC",7/6/1979 0:00:00,119.28,52.76,"ICH","mm","01","4","B",,950,15.00,136,"UP"
"0040152","Caribou Recces",,23/7/1986 0:00:00,125.45,53.02,"SBS","mc3","01","4","C",,1150,20.00,12,"MD"
"0040552","Caribou Recces",,23/7/1986 0:00:00,125.54,53.07,"SBPS","mc","01","4","C",,1060,10.00,310,"MD"
"0040752","Caribou Recces",,24/7/1986 0:00:00,125.35,53.07,"SBPS","mc","01","5","C",,1110,10.00,260,"LW"
"004179","BEC-PG","BEC",11/7/1979 0:00:00,119.25,52.85,"SBS","dh1","01","4","C",,945,10.00,174,"MD"
"006479","BEC-PG","BEC",28/7/1979 0:00:00,119.25,52.84,"SBS","dh1","01","3","C",,880,22.00,222,"MD"
"0070452","Caribou Recces",,10/7/1986 0:00:00,125.80,53.29,"SBPS","mc","01","4","C",,980,10.00,90,"UP"
