"id1","id2","lat","lon","el"
"%801812","MSdk1",49.02,-114.38,1390
"?780452","ICHmk1",49.39,-115.17,1010
"$801900","MSdk1",49.46,-116.1,1420
"%780453","ICHmk1",49.64,-115.94,1280
"%796961","MSdk1",49,-114.49,1250
"%801752","ESSFdk1",49.12,-114.73,1700
"?780457","ICHmk4",49.42,-115.02,1060
"%801762","MSdk1",49.01,-114.51,1350
"%801763","MSdk1",49.16,-114.44,1450
"%801771","MSdk1",49.06,-114.25,1420
"%801773","MSdk1",49.36,-114.65,1520
"%801775","ESSFdk1",49.33,-114.7,1653
"%801784","MSdk1",49.14,-114.28,1450
"?791103","PPdh2",49.13,-115.13,800
"?791105","PPdh2",49.13,-115.14,815
"?791112","PPdh2",49.05,-115.13,815
"?791121","PPdh2",49.1,-115.27,820
"?791123","IDFdm2",49.13,-115.26,810
"?796927","MSdk1",49.12,-115.39,1335
"?796931","MSdk1",49.15,-115.39,1225
"?796934","ICHmk4",49.31,-115.8,1300
"?801805","IDFdm2",49.48,-115.37,875
"?801806","IDFdm2",49.4,-115.35,865
"?801809","IDFdm2",49.28,-115.33,780
"?801814","IDFdm2",49.29,-115.38,870
"?801824","IDFdm2",49.37,-115.42,850
"?801825","IDFdm2",49.34,-115.38,820
"?801833","IDFdm2",49.34,-115.36,775
"0000453","SBPSmc",53.2,-125.6,990
"0000651","BWBSmk",59.45,-120.22,600
"0000655","BWBSmk",59.5,-120.33,655
"0000662","BWBSwk2",56.89,-122,1130
"0000663","BWBSwk2",56.98,-122.18,1125
"0000664","BWBSwk2",56.95,-122.32,1130
"0000673","BWBSwk2",57.05,-122.68,1130
"0000678","BWBSwk2",57.03,-122.82,1135
"0000680","BWBSwk2",56.05,-122.14,1080
"0000684","BWBSwk2",56.17,-122.41,915
"0000691","BWBSwk2",56.92,-121.91,1105
"0001653","SBPSmc",53.24,-125.59,940
"0001779","ESSFmm",53.24,-119.62,1280
"0002479","ESSFmm",52.72,-119.41,990
"0003279","ESSFmm1",52.73,-119.36,1000
"0004779","ESSFmm1",52.53,-118.78,1680
"0005852","SBPSmc",53.1,-125.25,1120
"0006252","SBPSmc",53.07,-125.39,1090
"0036580","ESSFmm",52.89,-119.27,1350
"0006652","SBSmc3",53.14,-125.4,1100
"0007179","ESSFmm1",52.83,-118.96,1500
"0007279","ESSFmm1",52.94,-119.65,1480
"0008079","ESSFmm1",52.61,-118.57,1690
"0010252","SBPSmc",53.25,-125.62,950
"0011152","SBPSmc",53.2,-125.62,1000
"0011253","SBPSmc",53.2,-125.61,1000
"0012353","SBPSmc",53.15,-125.6,960
"0013053","SBPSmc",53.18,-125.64,950
"0013853","SBPSmc",53.18,-123.65,990
"0014152","SBPSmc",53.2,-125.69,1000
"0014252","SBPSmc",53.2,-125.69,985
"001479","SBSdh1",53.04,-119.56,870
"0015152","SBPSmc",53.3,-125.7,930
"0015452","SBPSmc",53.12,-125.9,950
"0015752","SBPSmc",53.1,-125.94,890
"001579","SBSdh1",52.77,-119.14,920
"0015952","SBPSmc",53.15,-125.97,985
"0016052","SBPSmc",53.14,-125.94,980
"0017052","SBPSmc",53.42,-125.17,870
"0017252","SBPSmc",53.39,-125.17,925
"0017552","SBPSmc",53.32,-125.29,1060
"0017752","SBPSmc",53.32,-125.35,1020
"0018453","SBSdk",53.35,-125.78,920
"0019552","SBPSmc",53.09,-125.44,1100
"0020653","SBPSmc",53.19,-125.46,960
"002079","SBSdh1",52.76,-119.09,960
"002179","ICHmm",52.76,-119.06,1165
"0021952","SBPSmc",53.25,-125.55,1130
"0023052","SBPSmc",53.25,-125.42,1040
"0023352","SBPSmc",53.24,-125.5,1005
"0023452","SBPSmc",53.24,-125.5,940
"002579","SBSdh1",52.79,-119.17,820
"0029780","ESSFmm1",53.71,-120.06,1615
"0037380","ESSFmm1",52.93,-119.67,1520
"003779","ICHmm",52.76,-119.28,950
"0040152","SBSmc3",53.02,-125.45,1150
"0040552","SBPSmc",53.07,-125.54,1060
"0040752","SBPSmc",53.07,-125.35,1110
"004179","SBSdh1",52.85,-119.25,945
"006479","SBSdh1",52.84,-119.25,880
"0070452","SBPSmc",53.29,-125.8,980
"00CG003","IDFxh2",50.91,-120.32,700
"00CG004","IDFdk2",50.91,-120.32,750
"00CG034","MSdm2",50.95,-120.34,1190
"00CG035","MSdm2",50.96,-120.34,1185
"00CG038","ESSFxc2",50.98,-120.48,1790
"00CG042","ESSFxc",50.98,-120.48,1745
"00CG063","ESSFxc2",51.03,-120.42,1695
"00CG090","ESSFxc2",51.04,-120.42,1650
"00CG142","MSdm3",51.13,-120.34,1365
"00CG144","MSdm2",51.13,-120.33,1350
"00CG152","MSdm2",51.14,-120.37,1410
"00CG153","MSdm2",51.14,-120.38,1435
"00CG191","MSdm3",51,-120.34,1240
"00DL900","ESSFwc2",51.71,-119.6,1280
"00JG053","MSdm3",51.06,-120.34,1290
"00JG062","MSdm3",51.07,-120.35,1350
"00JG080","ESSFdc2",51.09,-120.4,1490
"00JG086","ESSFdc2",51.08,-120.43,1560
"00JG099","MSdm2",50.98,-120.35,1280
"00JG101","MSdm2",50.98,-120.38,1330
"00JG104","MSdm2",50.98,-120.39,1330
"00MR01","IDFxh2",50.24,-121.46,800
"00NB01","MSdm2",49.79,-120.98,1478
"00NCc03","CWHms1",49.22,-121.21,1095
"00NCc07","CWHms1",49.26,-121.17,1100
"00NCc12","CWHms1",49.2,-120.99,780
"00NCe02","ESSFmw",49.3,-120.99,1485
"00NCe08","ESSFmw",49.31,-120.91,1485
"00NCe12","ESSFmw",49.34,-121.05,1450
"00NCe21","ESSFmw",49.36,-121.01,1660
"00NCe24","ESSFmw",49.32,-121.03,1550
"00NCe38","ESSFmw",49.35,-121.06,1645
"00NCe42","ESSFmw",49.43,-121.03,1400
"00NCe45","ESSFmw",49.42,-121,1350
"00NCe48","ESSFmw",49.43,-121.01,1400
"00NCe65","ESSFmw",49.43,-120.93,1590
"00NCe73","ESSFmw",49.12,-120.82,1455
"00NCe94","ESSFmw",49.14,-120.84,1565
"00NCm05","MHmm2",49.27,-121.16,1525
"00NCm08","MHmm2",49.1,-121.32,1240
