FamilyCode,OldCode,Code,SplCode,TreeCode,ScientificName,Lifeform,Climate,Est_ASMR,NewEst_ASMR,Est_SNR,GSM,EnglishName,Native,Codetype,ID
THUIDIA,ABIEABI,ABIEABI,ABIEABI,,Abietinella abietina,9,0,0,,0,0,wiry fern-moss,N,U,19944
THUIDIA,THUIABI,ABIEABI,ABIEABI,,Thuidium abietinum,9,0,0,,0,0,,,S,21126
PINACEA,ABIEAMA,ABIEAMA,ABIEAMA,Ba,Abies amabilis,1,2,4,4,0,1,amabilis fir,N,U,13680
PINACEA,ABIEBAL,ABIEBAL,ABIEBAL,Bb,Abies balsamea,1,0,0,,0,0,balsam fir,E,U,13681
PINACEA,ABIECON,ABIECON,ABIECON,Bc,Abies concolor,1,0,0,,0,0,white fir,E,U,13682
PINACEA,ABIEGRA,ABIEGRA,ABIEGRA,Bg,Abies grandis,1,5,0,,0,0,grand fir,N,U,13683
PINACEA,ABIEEXC,ABIEGRA,ABIEGRA,,Abies excelsior,1,0,0,,0,0,,,S,24043
PINACEA,ABIELAS,ABIELAS,ABIELAS,Bl,Abies lasiocarpa,1,3,0,,0,0,subalpine fir,N,U,13684
PINACEA,ABIELAS1,ABIELAS1,ABIELAS,,Abies lasiocarpa var. lasiocarpa,1,3,0,,0,0,subalpine fir,N,U,24049
PINACEA,ABIEBIF,ABIELAS,ABIELAS,,Abies bifolia,1,3,0,,0,0,,,S,24050
PINACEA,ABIEBAL1,ABIELAS1,ABIELAS,,Abies balsamea ssp. lasiocarpa,1,3,0,,0,0,,,S,24051
PINACEA,ABIEMAG1,ABIEMAG1,ABIEMAG,Bm,Abies magnifica var. shastensis,1,0,0,,0,0,Shasta red fir,E,U,13685
PINACEA,ABIEXSH,ABIEMAG1,ABIEMAG,,Abies x shastensis,1,0,0,,0,0,,,S,13688
PINACEA,ABIEPRO,ABIEPRO,ABIEPRO,Bp,Abies procera,1,0,0,,0,0,noble fir,E,U,13686
PINACEA,ABIES,ABIES,ABIES,B,Abies sp.,1,0,0,,0,0,fir,N,U,13687
THUIDIA,ABIETIN,ABIETIN,ABIETIN,,Abietinella sp.,9,0,0,,0,0,,N,U,14209
NYCTAGI,ABROLAT,ABROLAT,ABROLAT,,Abronia latifolia,7,0,0,,0,0,yellow sand-verbena,N,U,16246
NYCTAGI,ABRONIA,ABRONIA,ABRONIA,,Abronia sp.,7,0,0,,0,0,,N,U,16247
NOTUSED,ABROPAR,ABROPAR,ABROPAR,,Abrothallus parmeliarum,11,0,0,,0,0,,N,U,22116
NOTUSED,ABROTHA,ABROTHA,ABROTHA,,Abrothallus sp.,11,0,0,,0,0,,N,U,22117
NYCTAGI,ABROUMB2,ABROUMB3,ABROUMB,,Abronia umbellata ssp. breviflora,7,0,0,,0,0,pink sand-verbena,,S,14267
NYCTAGI,ABROUMB,ABROUMB,ABROUMB,,Abronia umbellata,7,0,0,,0,0,pink sand-verbena,N,U,16248
NYCTAGI,ABROUMB1,ABROUMB3,ABROUMB,,Abronia umbellata ssp. acutalata,7,0,0,,0,0,,,S,16249
NYCTAGI,ABROUMB3,ABROUMB3,ABROUMB,,Abronia umbellata var. breviflora,7,0,0,,0,0,pink sand-verbena,N,U,24841
NOTUSED,ABROWEL,ABROWEL,ABROWEL,,Abrothallus welwitschii,11,0,0,,0,0,,N,U,22118
MALVACE,ABUTILO,ABUTILO,ABUTILO,,Abutilon sp.,7,0,0,,0,0,,N,U,16250
MALVACE,ABUTTHE,ABUTTHE,ABUTTHE,,Abutilon theophrasti,7,0,0,,0,0,velvet-leaf,E,U,16251
NOTUSED,ACARASA,ACARASA,ACARASA,,Acarospora asahinae,11,0,0,,0,0,,N,U,22121
NOTUSED,ACARBAD,ACARBAD,ACARBAD,,Acarospora badiofusca,11,0,0,,0,0,,N,U,22122
