FamilyCode,OldCode,Code,SplCode,TreeCode,ScientificName,Lifeform,Climate,Est_ASMR,NewEst_ASMR,Est_SNR,GSM,EnglishName,Native,Codetype,ID
NOTUSED,ACARBOU,ACARBAD,ACARBAD,,Acarospora boulderensis,11,0,0,,0,0,,,S,22124
NOTUSED,ACARCER,ACARCER,ACARCER,,Acarospora cervina,11,0,0,,0,0,,N,U,22125
NOTUSED,ACARFUS,ACARFUS,ACARFUS,,Acarospora fuscata,11,0,0,,0,0,,N,U,22133
NOTUSED,ACARGLA,ACARGLA,ACARGLA,,Acarospora glaucocarpa,11,0,0,,0,0,,N,U,22134
NOTUSED,ACARMAC,ACARMAC,ACARMAC,,Acarospora macrospora,11,0,0,,0,0,,N,U,22137
NOTUSED,ACAROSO,ACAROSO,ACAROSO,,Acarosporaceae,11,0,0,,0,0,,N,U,22150
NOTUSED,ACAROSP,ACAROSP,ACAROSP,,Acarospora sp.,11,0,0,,0,0,,N,U,22144
NOTUSED,ACARALB,ACARSCH,ACARSCH,,Acarospora albida,11,0,0,,0,0,,,S,22119
NOTUSED,ACARAMA,ACARSCH,ACARSCH,,Acarospora amabilis,11,0,0,,0,0,,,S,22120
NOTUSED,ACARBEL,ACARSCH,ACARSCH,,Acarospora bella,11,0,0,,0,0,,,S,22123
NOTUSED,ACARCHR,ACARSCH,ACARSCH,,Acarospora chrysops,11,0,0,,0,0,,,S,22127
NOTUSED,ACARCON,ACARSCH,ACARSCH,,Acarospora contigua,11,0,0,,0,0,,,S,22128
NOTUSED,ACARDII,ACARSCH,ACARSCH,,Acarospora dissipata,11,0,0,,0,0,,,S,22129
NOTUSED,ACAREPI,ACARSCH,ACARSCH,,Acarospora epilutescens,11,0,0,,0,0,,,S,22130
NOTUSED,ACAREVO,ACARSCH,ACARSCH,,Acarospora evoluta,11,0,0,,0,0,,,S,22132
NOTUSED,ACARINT,ACARSCH,ACARSCH,,Acarospora intercedens,11,0,0,,0,0,,,S,22136
NOTUSED,ACAROCE,ACARSCH,ACARSCH,,Acarospora ocellata,11,0,0,,0,0,,,S,22139
NOTUSED,ACARRIM,ACARSCH,ACARSCH,,Acarospora rimulosa,11,0,0,,0,0,,,S,22140
NOTUSED,ACARRUB,ACARSCH,ACARSCH,,Acarospora rubicunda,11,0,0,,0,0,,,S,22141
NOTUSED,ACARSCH,ACARSCH,ACARSCH,,Acarospora schleicheri,11,0,0,,0,0,,N,U,22142
NOTUSED,ACARSUB,ACARSCH,ACARSCH,,Acarospora subalbida,11,0,0,,0,0,,,S,22145
NOTUSED,ACARSUC,ACARSCH,ACARSCH,,Acarospora subcontigua,11,0,0,,0,0,,,S,22146
NOTUSED,ACARXAN,ACARSCH,ACARSCH,,Acarospora xanthophana,11,0,0,,0,0,,,S,22149
NOTUSED,ACARSIN,ACARSIN,ACARSIN,,Acarospora sinopica,11,0,0,,0,0,,N,U,22143
POTTIAC,ACAULON,ACAULON,ACAULON,,Acaulon sp.,9,0,0,,0,0,,N,U,14210
POTTIAC,ACAUMUT1,ACAUMUT1,ACAUMUT,,Acaulon muticum var. rufescens,9,0,0,,0,0,rounded pygmy-moss,N,U,24369
ACERACE,ACER,ACER,ACER,M,Acer sp.,0,0,0,,0,0,maple,N,U,13640
ACERACE,ACERAC,ACERACE,ACERACE,,Aceraceae,0,0,0,,0,0,,N,U,13641
ACERACE,ACERCIR,ACERCIR,ACERCIR,Mv,Acer circinatum,2,4,4,4,3,2,vine maple,N,U,13751
ACERACE,ACERDOU,ACERGLA1,ACERGLA,,Acer douglasii,4,0,0,,0,0,,,S,14385
ACERACE,ACERGLA,ACERGLA,ACERGLA,,Acer glabrum,4,0,0,,3,2,Douglas maple,N,U,14386
ACERACE,ACERGLA1,ACERGLA1,ACERGLA,,Acer glabrum var. douglasii,4,0,0,,0,0,Douglas maple,N,U,14387
ACERACE,ACERMAC,ACERMAC,ACERMAC,Mb,Acer macrophyllum,2,4,4,4,3,2,bigleaf maple,N,U,13752
ACERACE,ACERNEG,ACERNEG,ACERNEG,Me,Acer negundo,2,0,0,,0,0,box-elder,U,U,13753
ACERACE,ACERPLA,ACERPLA,ACERPLA,Mn,Acer platanoides,2,0,0,,0,0,Norway maple,E,U,13754
ACERACE,ACERPSE,ACERPSE,ACERPSE,Ms,Acer pseudoplatanus,2,0,0,,0,0,sycamore maple,E,U,13755
ASTERAC,ACHISIB,ACHIALI,ACHIALI,,Achillea sibirica,7,0,0,,0,0,,,S,16259
ASTERAC,ACHIALI,ACHIALI,ACHIALI,,Achillea alpina,7,0,0,,0,0,Siberian yarrow,N,U,25078
ASTERAC,ACHIFIL,ACHIFIL,ACHIFIL,,Achillea filipendulina,7,0,0,,0,0,fernleaf yarrow,N,U,25268
ASTERAC,ACHILLE,ACHILLE,ACHILLE,,Achillea sp.,7,0,0,,0,0,,N,U,16260
ASTERAC,ACHIBOR,ACHIMIL2,ACHIMIL,,Achillea borealis,7,0,0,,0,0,,,S,16252
ASTERAC,ACHILAN,ACHIMIL3,ACHIMIL,,Achillea lanulosa,7,0,0,,0,0,,,S,16253
ASTERAC,ACHIMIL,ACHIMIL,ACHIMIL,,Achillea millefolium,7,0,2,2,2,0,yarrow,N,U,16254
ASTERAC,ACHIMIL1,ACHIMIL1,ACHIMIL,,Achillea millefolium var. alpicola,7,0,0,2,0,0,yarrow,N,U,16255
ASTERAC,ACHIMIL2,ACHIMIL2,ACHIMIL,,Achillea millefolium var. borealis,7,0,0,2,0,0,yarrow,N,U,16256
ASTERAC,ACHIMIL3,ACHIMIL3,ACHIMIL,,Achillea millefolium var. lanulosa,7,0,2,2,2,3,yarrow,N,U,16257
ASTERAC,ACHIMIL6,ACHIMIL6,ACHIMIL,,Achillea millefolium var. pacifica,7,0,0,,0,0,yarrow,N,U,16258
ASTERAC,ACHIALP,ACHIMIL1,ACHIMIL,,Achillea alpicola,7,0,0,,0,0,,,S,24062
ASTERAC,ACHIPAC,ACHIMIL6,ACHIMIL,,Achillea pacifica,7,0,0,,0,0,,,S,24063
ASTERAC,ACHIPTA,ACHIPTA,ACHIPTA,,Achillea ptarmica,7,0,0,,0,0,sneezeweed,E,U,24986
BERBERD,ACHLTRI,ACHLTRI,ACHLTRI,,Achlys triphylla,7,4,0,,3,2,vanilla-leaf,N,U,16262
BERBERD,ACHLCAL,ACHLTRI,ACHLTRI,,Achlys californica,7,4,0,,3,2,,,S,24121
BERBERD,ACHLYS,ACHLYS,ACHLYS,,Achlys sp.,7,0,0,,0,0,,N,U,16261
POACEAE,ACHNATH,ACHNATH,ACHNATH,,Achnatherum sp.,6,0,0,,0,0,,N,U,24315
POACEAE,ORYZHYM,ACHNHYM,ACHNHYM,,Oryzopsis hymenoides,6,0,0,,0,0,,,S,15955
POACEAE,STIPHYM,ACHNHYM,ACHNHYM,,Stipa hymenoides,6,0,0,,0,0,,,S,16179
POACEAE,ACHNHYM,ACHNHYM,ACHNHYM,,Achnatherum hymenoides,6,0,0,1,0,0,Indian ricegrass,N,U,24303
POACEAE,STIPLEM,ACHNLEM1,ACHNLEM,,Stipa lemmonii,6,0,1,1,2,3,,,S,16180
POACEAE,STIPLEM1,ACHNLEM1,ACHNLEM,,Stipa lemmonii var. lemmonii,6,0,0,,0,0,,,S,16181
POACEAE,ACHNLEM,ACHNLEM,ACHNLEM,,Achnatherum lemmonii,6,0,1,1,2,3,Lemmon's needlegrass,N,U,24316
POACEAE,ACHNLEM1,ACHNLEM1,ACHNLEM,,Achnatherum lemmonii var. lemmonii,6,0,1,1,2,3,Lemmon's needlegrass,N,U,24317
POACEAE,STIPCOL,ACHNNEL1,ACHNNEL,,Stipa columbiana,6,0,0,,0,0,,,S,16174
POACEAE,STIPNEL,ACHNNEL,ACHNNEL,,Stipa nelsonii,6,0,0,,0,0,,,S,16182
POACEAE,STIPNEL1,ACHNNEL1,ACHNNEL,,Stipa nelsonii var. dorei,6,0,0,,0,0,,,S,16183
POACEAE,STIPOCC1,ACHNNEL1,ACHNNEL,,Stipa occidentalis var. minor,6,0,0,,0,0,,,S,16185
POACEAE,ACHNNEL1,ACHNNEL1,ACHNNEL,,Achnatherum nelsonii ssp. dorei,6,0,0,2,0,0,Columbia needlegrass,N,U,24318
POACEAE,ACHNNEL,ACHNNEL,ACHNNEL,,Achnatherum nelsonii,6,0,0,2,0,0,Columbia needlegrass,N,U,24319
POACEAE,STIPELM,ACHNOCC1,ACHNOCC,,Stipa elmeri,6,0,0,,0,0,,,S,16178
POACEAE,STIPOCC,ACHNOCC,ACHNOCC,,Stipa occidentalis,6,0,0,,0,0,,,S,16184
POACEAE,STIPOCC3,ACHNOCC1,ACHNOCC,,Stipa occidentalis var. pubescens,6,0,0,,0,0,,,S,16186
POACEAE,ACHNOCC1,ACHNOCC1,ACHNOCC,,Achnatherum occidentale ssp. pubescens,6,0,0,2,0,0,stiff needlegrass,N,U,24320
POACEAE,ACHNOCC,ACHNOCC,ACHNOCC,,Achnatherum occidentale,6,0,0,2,0,0,stiff needlegrass,N,U,24321
POACEAE,STIPRIC,ACHNRIC,ACHNRIC,,Stipa richardsonii,6,3,0,,2,0,,,S,16187
POACEAE,ACHNRIC,ACHNRIC,ACHNRIC,,Achnatherum richardsonii,6,3,0,2,2,0,spreading needlegrass,N,U,24322
POACEAE,ACHNTHU,ACHNTHU,ACHNTHU,,Achnatherum thurberianum,6,0,0,,0,0,Thurber's needlegrass,N,U,24926
LAMIACE,ACINARV,ACINARV,ACINARV,,Acinos arvensis,7,0,0,,0,0,basil-thyme,E,U,14290
LAMIACE,CALAACI,ACINARV,ACINARV,,Calamintha acinos,7,0,0,,0,0,,,S,14291
LAMIACE,SATUACI,ACINARV,ACINARV,,Satureja acinos,7,0,0,,0,0,,,S,19088
LAMIACE,ACINOS,ACINOS,ACINOS,,Acinos sp.,7,0,0,,0,0,,E,U,14292
FABACEA,LOTUPUR,ACMIAME1,ACMIAME,,Lotus purshianus,7,0,0,,0,0,,,S,17862
FABACEA,LOTUUNI1,ACMIAME1,ACMIAME,,Lotus unifoliolatus var. unifoliolatus,7,0,0,,0,0,,,S,24335
FABACEA,LOTUUNI,ACMIAME1,ACMIAME,,Lotus unifoliolatus,7,0,0,,0,0,,,S,24336
FABACEA,ACMIAME1,ACMIAME1,ACMIAME,,Acmispon americanus var. americanus,7,0,0,,0,0,Spanish-clover,N,U,25209
FABACEA,ACMIAME,ACMIAME,ACMIAME,,Acmispon americanus,7,0,0,,0,0,Spanish-clover,N,U,25210
FABACEA,LOTUDEN,ACMIDEN,ACMIDEN,,Lotus denticulatus,7,0,2,2,2,3,meadow birds-foot trefoil,,S,17855
FABACEA,ACMIDEN,ACMIDEN,ACMIDEN,,Acmispon denticulatus,7,0,2,2,2,3,meadow birds-foot trefoil,N,U,25203
FABACEA,LOTUMIC,ACMIMIC,ACMIMIC,,Lotus micranthus,7,4,2,2,2,3,,,S,17857
FABACEA,ACMIMIC,ACMIMIC,ACMIMIC,,Acmispon micranthus,7,4,2,2,2,3,small-flowered bird's-foot trefoil,N,U,25206
FABACEA,ACMISPO,ACMISPO,ACMISPO,,Acmispon sp.,7,0,0,,0,0,,N,U,25202
RANUNCL,ACONCOL,ACONCOL,ACONCOL,,Aconitum columbianum,7,0,0,,0,0,Columbian monkshood,N,U,16263
RANUNCL,ACONCOL1,ACONCOL2,ACONCOL,,Aconitum columbianum var. columbianum,7,0,0,,0,0,,,S,16264
RANUNCL,ACONCOL2,ACONCOL2,ACONCOL,,Aconitum columbianum ssp. columbianum,7,0,0,,0,0,Columbian monkshood,N,U,24432
RANUNCL,ACONDEL,ACONDEL,ACONDEL,,Aconitum delphiniifolium,7,8,3,3,3,0,mountain monkshood,N,U,16265
RANUNCL,ACONDEL1,ACONDEL,ACONDEL,,Aconitum delphiniifolium ssp. delphiniifolium,7,0,0,,0,0,,,S,16266
RANUNCL,ACONITU,ACONITU,ACONITU,,Aconitum sp.,7,0,0,,0,0,monkshood,N,U,16267
ACORACE,ACORACE,ACORACE,ACORACE,,Acoraceae,7,0,0,,0,0,,N,U,24639
ACORACE,ACORAME,ACORAME,ACORAME,,Acorus americanus,7,0,0,7,0,0,American sweet-flag,N,U,16269
ACORACE,ACORCAL,ACORAME,ACORAME,,Acorus calamus,7,0,0,,0,0,,,S,16270
ACORACE,ACORUS,ACORUS,ACORUS,,Acorus sp.,7,0,0,,0,0,,N,U,16271
ACROBOB,ACROBOB,ACROBOB,ACROBOB,,Acrobolbaceae,10,0,0,,0,0,,N,U,21226
ACROBOB,ACROBOL,ACROBOL,ACROBOL,,Acrobolbus sp.,10,0,0,,0,0,,N,U,21228
ACROBOB,ACROCIL,ACROCIL,ACROCIL,,Acrobolbus ciliatus,10,0,0,,0,0,,N,U,21227
NOTUSED,ACROCOR,ACROCOR,ACROCOR,,Acrocordia sp.,11,0,0,,0,0,,N,U,22152
NOTUSED,ACROGEM,ACROGEM,ACROGEM,,Acrocordia gemmata,11,0,0,,0,0,,N,U,22151
NOTUSED,ARTHALA,ACROGEM,ACROGEM,,Arthopyrenia alba,11,0,0,,0,0,,,S,22246
NOTUSED,ARTHGEM,ACROGEM,ACROGEM,,Arthopyrenia gemmata,11,0,0,,0,0,,,S,22254
NOTUSED,ARTHSPH,ACROGEM,ACROGEM,,Arthopyrenia sphaeroides,11,0,0,,0,0,,,S,22262
ASTERAC,ACROPTI,ACROPTI,ACROPTI,,Acroptilon sp.,7,0,0,,0,0,,E,U,24022
ASTERAC,ACROREP,ACROREP,ACROREP,,Acroptilon repens,7,0,0,,0,0,Russian knapweed,E,U,16272
ASTERAC,CENTREP,ACROREP,ACROREP,,Centaurea repens,7,0,0,,0,0,,,S,17050
NOTUSED,ACROSCY,ACROSCY,ACROSCY,,Acroscyphus sp.,11,0,0,,0,0,crab-eye lichens,N,U,22153
NOTUSED,ACROSPH,ACROSPH,ACROSPH,,Acroscyphus sphaerophoroides,11,0,0,,0,0,the crab-eye,N,U,22154
RANUNCL,ACTAEA,ACTAEA,ACTAEA,,Actaea sp.,7,0,0,,0,0,,N,U,16277
RANUNCL,ACTAELA,ACTAELA,ACTAELA,,Actaea elata,7,0,0,,0,0,tall bugbane,N,U,14167
RANUNCL,CIMIELA,ACTAELA1,ACTAELA,,Cimicifuga elata,7,0,0,,0,0,,,S,17160
RANUNCL,ACTAELA1,ACTAELA1,ACTAELA,,Actaea elata var. elata,7,0,0,,0,0,tall bugbane,N,U,25269
RANUNCL,ACTAARG,ACTARUB,ACTARUB,,Actaea arguta,7,0,0,,0,0,,,S,16273
RANUNCL,ACTARUB,ACTARUB,ACTARUB,,Actaea rubra,7,2,4,4,3,2,baneberry,N,U,16274
RANUNCL,ACTARUB1,ACTARUB,ACTARUB,,Actaea rubra ssp. arguta,7,0,0,,0,0,,,S,16275
RANUNCL,ACTARUB2,ACTARUB,ACTARUB,,Actaea rubra ssp. rubra,7,0,0,,0,0,,,S,16276
ADELANT,ADELANT,ADELANT,ADELANT,,Adelanthaceae,10,0,0,,0,0,,N,U,21229
ASTERAC,ADENBIC,ADENBIC,ADENBIC,,Adenocaulon bicolor,7,5,3,3,3,2,pathfinder,N,U,16278
ASTERAC,ADENOCA,ADENOCA,ADENOCA,,Adenocaulon sp.,7,0,0,,0,0,,N,U,16279
PTERIDA,ADIAPED,ADIAALE,ADIAALE,,Adiantum pedatum,5,0,0,,0,0,,,S,25383
PTERIDA,ADIAALE,ADIAALE,ADIAALE,,Adiantum aleuticum,5,0,0,4,0,0,northern maiden-hair,N,U,14707
PTERIDA,ADIAPED1,ADIAALE,ADIAALE,,Adiantum pedatum ssp. aleuticum,5,0,0,,0,0,,,S,14709
PTERIDA,ADIAPED2,ADIAALE,ADIAALE,,Adiantum pedatum ssp. calderi,5,0,0,,0,0,,,S,14710
PTERIDA,ADIAPED3,ADIAALE,ADIAALE,,Adiantum pedatum var. aleuticum,5,0,0,,0,0,,,S,14711
PTERIDA,ADIAPED4,ADIAALE,ADIAALE,,Adiantum pedatum var. subpumilum,5,0,0,,0,0,,,S,14712
PTERIDA,ADIAALE1,ADIAALE1,ADIAALE,,Adiantum aleuticum var. aleuticum,5,0,0,4,0,0,northern maiden-hair,N,U,25321
PTERIDA,ADIAALE2,ADIAALE2,ADIAALE,,Adiantum aleuticum var. subpumilum,5,0,0,4,0,0,dwarf maiden-hair,N,U,25322
PTERIDA,ADIACAP,ADIACAP,ADIACAP,,Adiantum capillus-veneris,5,0,0,,0,0,southern maiden-hair,N,U,14708
PTERIDA,ADIANTU,ADIANTU,ADIANTU,,Adiantum sp.,5,0,0,,0,0,,N,U,14713
ADOXACE,ADOXA,ADOXA,ADOXA,,Adoxa sp.,7,0,0,,0,0,,N,U,16281
ADOXACE,ADOXAC,ADOXACE,ADOXACE,,Adoxaceae,7,0,0,,0,0,,N,U,16282
ADOXACE,ADOXMOS,ADOXMOS,ADOXMOS,,Adoxa moschatellina,7,0,0,,0,0,moschatel,N,U,16280
POACEAE,AEGICYL,AEGICYL,AEGICYL,,Aegilops cylindrica,6,0,0,,0,0,jointed goatgrass,E,U,14998
APIACEA,AEGOPOA,AEGOPOA,AEGOPOA,,Aegopodium podagraria,7,0,0,,0,0,goutweed,E,U,16283
APIACEA,AEGOPOD,AEGOPOD,AEGOPOD,,Aegopodium sp.,7,0,0,,0,0,,E,U,16284
LAMIACE,AGASANE,AGASFOE,AGASFOE,,Agastache anethiodora,7,0,0,,0,0,,,S,16285
LAMIACE,AGASFOE,AGASFOE,AGASFOE,,Agastache foeniculum,7,0,0,,0,0,giant-hyssop,E,U,16286
LAMIACE,AGASTAC,AGASTAC,AGASTAC,,Agastache sp.,7,0,0,,0,0,,N,U,16287
LAMIACE,AGASURT,AGASURT,AGASURT,,Agastache urticifolia,7,0,0,,0,0,nettle-leaved giant-hyssop,N,U,16288
NOTUSED,AGONIMI,AGONIMI,AGONIMI,,Agonimia sp.,11,0,0,,0,0,trifle lichens,N,U,22158
NOTUSED,AGONTRI,AGONTRI,AGONTRI,,Agonimia tristicula,11,0,0,,0,0,moss trifle,N,U,22159
NOTUSED,POLYTRS,AGONTRI,AGONTRI,,Polyblastia tristicula,11,0,0,,0,0,,,S,23465
ASTERAC,AGOSAUR,AGOSAUR,AGOSAUR,,Agoseris aurantiaca,7,0,3,3,2,3,orange agoseris,N,U,16289
ASTERAC,AGOSAUR2,AGOSAUR2,AGOSAUR,,Agoseris aurantiaca ssp. aurantiaca,7,0,0,,0,0,orange agoseris,N,U,16290
ASTERAC,AGOSELA,AGOSELA,AGOSELA,,Agoseris elata,7,0,0,,0,0,tall agoseris,,X,24726
ASTERAC,AGOSERI,AGOSERI,AGOSERI,,Agoseris sp.,7,0,0,,0,0,,N,U,16297
ASTERAC,AGOSGLA,AGOSGLA,AGOSGLA,,Agoseris glauca,7,0,2,2,2,3,short-beaked agoseris,N,U,16291
ASTERAC,AGOSGLA1,AGOSGLA1,AGOSGLA,,Agoseris glauca var. dasycephala,7,0,0,,0,0,short-beaked agoseris,N,U,16292
ASTERAC,AGOSGLA2,AGOSGLA2,AGOSGLA,,Agoseris glauca var. glauca,7,0,0,,0,0,prairie agoseris,N,U,24927
ASTERAC,AGOSGRA,AGOSGRA,AGOSGRA,,Agoseris grandiflora,7,0,0,,0,0,large-flowered agoseris,N,U,16293
ASTERAC,AGOSHET,AGOSHET,AGOSHET,,Agoseris heterophylla,7,0,0,,0,0,annual agoseris,N,U,16294
ASTERAC,AGOSHET1,AGOSHET1,AGOSHET,,Agoseris heterophylla ssp. heterophylla,7,0,0,,0,0,annual agoseris,N,U,16295
ASTERAC,AGOSLAC,AGOSLAC,AGOSLAC,,Agoseris lackschewitzii,7,0,0,,0,0,pink agoseris,N,U,16296
NOTUSED,AGREHIS,AGREHIS,AGREHIS,,Agrestia hispida,11,0,0,,0,0,desert vagabond,N,U,22160
NOTUSED,AGRESTI,AGRESTI,AGRESTI,,Agrestia sp.,11,0,0,,0,0,vagabond lichens,N,U,22161
ROSACEA,AGRIGRY,AGRIGRY,AGRIGRY,,Agrimonia gryposepala,7,0,0,,0,0,common agrimony,N,U,16298
ROSACEA,AGRIMON,AGRIMON,AGRIMON,,Agrimonia sp.,7,0,0,,0,0,,N,U,16299
ROSACEA,AGRISTR,AGRISTR,AGRISTR,,Agrimonia striata,7,3,3,3,3,2,grooved agrimony,N,U,16300
POACEAE,AGROAEQ,AGROAEQ,AGROAEQ,,Agrostis aequivalvis,6,4,5,5,2,0,Alaska bentgrass,N,U,15042
POACEAE,AGROTHU,AGROAEQ,AGROAEQ,,Agrostis thurberiana,6,0,5,5,0,5,,,S,15070
POACEAE,PODAAEQ,AGROAEQ,AGROAEQ,,Podagrostis aequivalvis,6,0,0,,0,0,,,S,16075
POACEAE,AGROCAP,AGROCAP,AGROCAP,,Agrostis capillaris,6,0,3,3,0,0,colonial bentgrass,E,U,15045
POACEAE,AGROTEN,AGROCAP,AGROCAP,,Agrostis tenuis,6,5,3,3,0,3,,,S,15069
POACEAE,AGROCRI,AGROCRI,AGROCRI,,Agropyron cristatum,6,0,0,,0,0,crested wheatgrass,E,U,15009
POACEAE,AGROPEC,AGROCRI1,AGROCRI,,Agropyron pectiniforme,6,0,0,,0,0,,,S,15023
POACEAE,AGROCRI1,AGROCRI1,AGROCRI,,Agropyron cristatum ssp. pectinatum,6,0,0,,0,0,crested wheatgrass,E,U,24323
POACEAE,AGRODES,AGRODES,AGRODES,,Agropyron desertorum,6,0,0,,0,0,desert wheatgrass,E,U,15012
POACEAE,AGROEXA,AGROEXA,AGROEXA,,Agrostis exarata,6,0,5,5,0,5,spike bentgrass,N,U,15047
POACEAE,AGROEXA2,AGROEXA,AGROEXA,,Agrostis exarata ssp. exarata var. exarata,6,0,0,,0,0,,,S,15048
POACEAE,AGROEXA3,AGROEXA,AGROEXA,,Agrostis exarata ssp. exarata var. monolepsis,6,0,0,,0,0,,,S,15049
POACEAE,AGROEXA4,AGROEXA,AGROEXA,,Agrostis exarata ssp. minor,6,0,0,,0,0,,,S,15050
POACEAE,AGROEXA5,AGROEXA,AGROEXA,,Agrostis exarata var. minor,6,0,0,,0,0,,,S,15051
POACEAE,AGROEXA6,AGROEXA,AGROEXA,,Agrostis exarata var. monolepis,6,0,0,,0,0,,,S,15052
POACEAE,AGROFRA,AGROFRA,AGROFRA,,Agropyron fragile,6,0,0,,0,0,Siberian wheatgrass,E,U,15014
POACEAE,AGROSIB,AGROFRA,AGROFRA,,Agropyron sibiricum,6,0,0,,0,0,,,S,15028
POACEAE,AGROALI,AGROGIG,AGROGIG,,Agrostis alba,6,0,0,,0,0,,,S,15043
POACEAE,AGROGIG,AGROGIG,AGROGIG,,Agrostis gigantea,6,0,0,,0,0,redtop,E,U,15053
POACEAE,AGROSTO3,AGROGIG,AGROGIG,,Agrostis stolonifera var. major,6,0,0,,0,0,,,S,15068
POACEAE,AGROHUM,AGROHUM,AGROHUM,,Agrostis humilis,6,1,5,5,1,0,alpine bentgrass,N,U,15054
POACEAE,AGROTHU,AGROHUM,AGROHUM,,Agrostis thurberiana_,6,0,5,5,0,5,,,S,15071
POACEAE,PODAHUM,AGROHUM,AGROHUM,,Podagrostis humilis,6,0,0,,0,0,,,S,16076
POACEAE,AGROIDA,AGROIDA,AGROIDA,,Agrostis idahoensis,6,0,5,5,0,5,Idaho bentgrass,N,U,15056
POACEAE,AGROBOR,AGROMER,AGROMER,,Agrostis borealis,6,0,0,,0,0,,,S,15044
POACEAE,AGROMER,AGROMER,AGROMER,,Agrostis mertensii,6,0,0,,0,0,northern bentgrass,N,U,15060
POACEAE,AGROINF,AGROMIC,AGROMIC,,Agrostis inflata,6,0,0,,0,0,,,S,15057
POACEAE,AGROMIC,AGROMIC,AGROMIC,,Agrostis microphylla,6,4,5,5,2,3,small-leaved bentgrass,N,U,15061
POACEAE,AGROORE,AGROORE,AGROORE,,Agrostis oregonensis,6,5,6,6,1,5,Oregon bentgrass,N,U,15062
