"plot","veg","cover"
"%801784","PAXIMYR",3
"%801784","PELTAPH",0.5
"%801784","PICEENE",19
"%801784","PINUCON",20.5
"%801784","PLEUSCH",2
"%801784","POHLNUT",0.5
"%801784","POLYJUN",0.5
"%801784","PROSTRA",0.5
"%801784","PSEUMEN",6
"%801784","PYROCHL",0.5
"%801784","RHYTROB",1
"%801784","RIBELAC",1
"%801784","ROSAACI",0.5
"%801784","RUBUPAR",30
"%801784","SHEPCAN",1
"%801784","SPIRBET",1
"%801784","STREAMP",0.5
"%801784","SYMPALB",0.5
"%801784","TARAOFF",0.5
"%801784","THALOCC",7
"%801784","VACCSCO",0.5
"%801784","VIOLCAN",0.5
"%801784","VIOLORB",0.5
"%801812","ABIELAS",4.5
"%801812","ALNUVIR",13
"%801812","AMELALN",0.5
"%801812","ANAPMAR",0.5
"%801812","ARNICOR",30
"%801812","BARBLYC",0.5
"%801812","BRACHYT",1
"%801812","BROMVUL",3
"%801812","CARECOC",0.5
"%801812","CLINUNI",6
"%801812","CORNCAN",0.5
"%801812","EURYCON",1
"%801812","FRAGVIR",0.5
"%801812","GOODOBL",0.5
"%801812","HIERALI",0.5
"%801812","LATHOCH",1
"%801812","LISTCOR",0.5
"%801812","LONIINV",0.5
"%801812","LONIUTA",0.5
"%801812","MAIARAC",0.5
"%801812","MENZFER",10
"%801812","MNIUSPN",0.5
"%801812","MONEUNI",0.5
"%801812","ORTHSEC",0.5
"%801812","PAXIMYR",0.5
"%801812","PELTAPH",0.5
"%801812","PELTCAN",0.5
"%801812","PICEENE",26
"%801812","PINUCON",3
"%801812","PSEUMEN",2
"%801812","PYROASA",0.5
"%801812","RIBELAC",0.5
"%801812","RUBUPAR",7
"%801812","SORBSCO",0.5
"%801812","SPIRBET",0.5
"%801812","STREAMP",0.5
"%801812","THALOCC",1
"%801812","TIARTRI",0.5
"%801812","VACCMEM",1
"%801812","VACCSCO",2
"%801812","VIOLORB",1
"?780452","ACERGLA",20
"?780452","ARALNUD",5
"?780452","BETUPAP",2.5
"?780452","BRACHYL",2
"?780452","CHIMUMB",2
"?780452","CLEMOCC",3
"?780452","CLINUNI",0.5
"?780452","DICRPOL",0.5
"?780452","GOODOBL",2
"?780452","MAHOAQU",7
"?780452","MAIASTE",3
"?780452","MNIUM",2
"?780452","MNIUSPN",1
"?780452","MONEUNI",0.5
"?780452","ORTHSEC",2
"?780452","ORYZASP",1
"?780452","OSMOBER",0.5
"?780452","PAXIMYR",2
"?780452","PINUCON",25
"?780452","PLEUSCH",0.5
"?780452","POHLNUT",1
"?780452","POLYJUN",0.5
"?780452","PROSHOO",0.5
"?780452","PSEUMEN",35.5
"?780452","RHYTROB",0.5
"?780452","RUBUPAR",1
"?780452","SPIRBET",15
"?780452","SYMPALB",7
"?780452","THUJPLI",2
"?780452","VIOLADU",0.5
"?780457","ABIELAS",6
"?780457","ACERGLA",5
"?780457","AMELALN",2
"?780457","BETUPAP",4
"?780457","BRACHYL",1
"?780457","BRACHYT",4
"?780457","CALACAN",1
"?780457","CHIMUMB",1
"?780457","CLINUNI",1
"?780457","CORNCAN",2
"?780457","DICRFUS",0.5
"?780457","FRAGVIR",0.5
"?780457","GALITRF",0.5
"?780457","GOODOBL",1
"?780457","LARIOCC",8
"?780457","LINNBOR",7
"?780457","LONIINV",0.5
"?780457","LONIUTA",1
"?780457","MAHOAQU",1
"?780457","MNIUSPN",0.5
"?780457","ORTHSEC",1
"?780457","OSMOBER",0.5
"?780457","PAXIMYR",3
"?780457","PELTAPH",0.5
"?780457","PICEENE",31
"?780457","PINUCON",4
"?780457","PINUMON",3
"?780457","POLYJUN",0.5
"?780457","PSEUMEN",4
"?780457","PYROCHL",0.5
"?780457","RHYTROB",1
"?780457","RUBUPAR",10
"?780457","SHEPCAN",1
"?780457","SPIRBET",1
"?780457","STREAMP",1
"?780457","SYMPALB",1
"?780457","THUJPLI",2
"?780457","VACCMEM",0.5
"?780457","VIOLORB",2
"?791103","ACHIMIL",1
"?791103","ALLICER",0.5
"?791103","ANTEMIC",7
"?791103","ANTEUMB",0.5
"?791103","BRACHYT",0.5
"?791103","BROMVUL",7
"?791103","FESTOCC",1
"?791103","FRAGVIR",0.5
"?791103","GALIBOR",0.5
"?791103","KOELMAC",1
"?791103","LITHRUD",0.5
"?791103","ORTHSEC",0.5
"?791103","PINUPON",40.5
"?791103","POA PRA",10
"?791103","POLYJUN",0.5
"?791103","PSEUSPI",10
"?791103","TARAOFF",0.5
"?791105","ACHIMIL",0.5
"?791105","ALLICER",1
"?791105","AMELALN",0.5
"?791105","ANTEMIC",0.5
"?791105","ANTENEG",0.5
"?791105","ANTERAC",0.5
"?791105","ARCTUVA",1
"?791105","CLADONI",2
"?791105","KOELMAC",0.5
"?791105","PINUPON",39.5
"?791105","PSEUMEN",0.5
"?791105","PSEUSPI",20
"?791112","ACHIMIL",0.5
"?791112","ANTEMIC",0.5
"?791112","ASTRMIS",0.5
"?791112","BRACHYT",0.5
"?791112","CERAPUR",0.5
"?791112","FRAGVIR",0.5
"?791112","PINUPON",56.5
"?791112","POA PRA",3
