"plot","zone","subzone"
"01OK025","MS","dm1"
"01OK027","ESSF","dc1"
"01OK030","ESSF","dc1"
"01OK033","ESSF","dc1"
"01OK034","ESSF","dc1"
"01OK035","ESSF","dc1"
"01OK040","ESSF","dc1"
"01OK045","MS","dm1"
"01OK048","MS","dm1"
"01OK056","IDF","dk2"
"01OK060","MS","dm2"
"01OK063","IDF","dk2"
"01OK064","MS","dm2"
"01OK065","ESSF","xc"
"01OK069","ESSF","xc"
"01OK070","ESSF","dc1"
"01OK078","ESSF","xc"
"01OK082","MS","dm1"
"01OK083","MS","dm1"
"01OK088","MS","dm1"
"01OK089","MS","dm1"
"01OK091","MS","dm1"
"01OK092","MS","dm1"
"01OK099","IDF","dm1"
"01OK101","ESSF","xc"
"01OK114","MS","xk"
"01OK122","ESSF","xc"
"01OK128","ESSF","dc2"
"01OK129","MS","dm2"
"01OK131","ESSF","dc2"
"01OK138","MS","dm2"
"01OK141","MS","dm2"
"01OK142","MS","dm2"
"01OK143","MS","dm2"
"01OK145","IDF","dk2"
"01OK148","IDF","dk2"
"01OK149","IDF","dk2"
"01OK151","MS","dm1"
"01OK152","MS","dm1"
"01OK162","MS","dm2"
"01OK165","MS","dm2"
"01OK168","IDF","dk2"
"01OK173","IDF","dk2"
"01OK174","IDF","dk2"
"01OK176","IDF","dk2"
"01OK181","IDF","dm1"
"01OK186","IDF","dk1"
"01OK188","IDF","dk1"
"01OK193","IDF","dk2"
"01OK194","MS","dm2"
"01OK195","IDF","dk2"
"01OK196","IDF","dk2"
"01OK197","IDF","dk2"
"01OK201","IDF","dk2"
"01OK202","IDF","dk1"
"01OK205","IDF","dk2"
"01OK206","IDF","dk2"
"02-0624","ESSF","wv"
"020680","CWH","vh2"
"02-0757","MH","mmp2"
"02-0775","ESSF","wcp3"
"020880","CWH","vm1"
"02-0916","CWH","vm1"
"02-0925","CWH","ds2"
"021065","CWH","wh1"
"021076","CWH","wh2"
"021780","CWH","ws2"
"02-2331","ICH","vc"
"02-2338","CWH","vh2"
"02-2404","CWH","ws1"
"02-2405","CWH","ws1"
"02-2406","CWH","ws1"
"02-2410","CWH","ws1"
"02-2411","CWH","ws1"
"02-2412","CWH","ws1"
"02-2417","CWH","ws1"
"02-2418","CWH","ws1"
"02-2438","CWH","ws1"
"02-2439","CWH","ws1"
"02-2445","CWH","ws1"
"022456","CWH","ws2"
"022480","CWH","wh1"
"022580","CWH","wh1"
"022780","CWH","ws1"
"022880","CWH","vh2"
"023080","CWH","vh2"
"023180","CWH","wh1"
"023380","CWH","wh1"
"023480","CWH","wh1"
"023580","CWH","wh1"
"023680","CWH","wh1"
"023980","CWH","wh1"
"024080","CWH","wh2"
"024580","CWH","vh2"
"026080","SBS","wk1"
"02OK004","ICH","mk1"
"02OK011","ICH","mk1"
"02OK016","ESSF","wc1"
"02OK017","ESSF","dc1"
"02OK020","ESSF","wc4"
"02OK021","ESSF","dc1"
"02OK023","ESSF","wc4"
"02OK024","ESSF","wc4"
"02OK027","ESSF","wc1"
"02OK028","ICH","mk1"
"02OK031","ESSF","dc1"
"02OK039","ESSF","dc1"
"02OK044","ESSF","dc1"
"02OK045","ESSF","dc1"
"02OK048","ESSF","dc1"
"02OK051","ESSF","wc4"
"02OK221","IDF","mw1"
"02OK222","IDF","mw1"
"02OK224","ICH","mk1"
"02OK225","IDF","mw1"
"02OK226","ESSF","wc1"
"02OK053","ESSF","wc1"
"02OK055","ICH","wk1"
"02OK057","ICH","wk1"
"02OK060","ESSF","wc1"
"02OK061","ESSF","wc4"
"02OK064","ESSF","dc1"
"02OK065","ESSF","dc1"
"02OK067","ESSF","dc1"
"02OK068","ESSF","wc1"
"02OK074","ESSF","wc4"
"02OK079","ICH","mw2"
"02OK091","ICH","mk1"
"02OK094","ICH","mk1"
"02OK098","ICH","mk1"
"02OK099","IDF","mw1"
"02OK100","ICH","mk1"
"02OK104","ESSF","dc1"
"02OK107","ESSF","dc1"
"02OK111","ESSF","dc1"
"02OK117","ICH","mk1"
"02OK118","ICH","mk1"
"02OK119","ICH","mk1"
"02OK121","ESSF","wc1"
"02OK122","ICH","mk1"
"02OK124","ICH","mk1"
"02OK126","ESSF","dc1"
"02OK127","ICH","mk1"
"02OK129","ICH","mk1"
"02OK131","ICH","mk1"
"02OK132","ICH","mk1"
"02OK133","IDF","mw1"
"02OK135","ICH","mk1"
"02OK146","IDF","mw1"
"02OK150","IDF","mw1"
"02OK151","ICH","mk1"
"02OK152","ICH","mk1"
"02OK158","ICH","mk1"
"02OK160","ICH","mk1"
"02OK164","IDF","mw1"
"02OK165","IDF","mw1"
"02OK166","IDF","mw1"
"02OK167","ICH","mk1"
"02OK169","IDF","mw1"
"02OK171","IDF","mw1"
"02OK173","IDF","mw1"
"02OK174","ICH","mk1"
"02OK178","ICH","mk1"
"02OK180","ICH","mk1"
"02OK181","ICH","mk1"
"02OK182","ESSF","wc1"
"02OK183","IDF","mw1"
"02OK184","ICH","mk1"
"02OK186","ICH","mk1"
"02OK187","IDF","mw1"
"02OK194","IDF","mw1"
"02OK195","ICH","mk1"
"02OK198","IDF","mw1"
"02OK200","ICH","mk1"
"02OK202","ICH","mk1"
"02OK203","ICH","mk1"
"02OK209","ICH","mk1"
"02OK210","ICH","mk1"
"02OK212","ICH","mk1"
"02OK214","ICH","mk1"
"02OK217","IDF","mw1"
"02OK227","ESSF","wc1"
"02OK228","ESSF","wc1"
"02OK229","ESSF","wc1"
"02OK231","ESSF","wc1"
"02OK251","IDF","mw1"
"02OK252","IDF","mw1"
"02OK256","IDF","mw1"
"02OK258","ICH","mk1"
"02OK260","ICH","mk1"
"02OK261","ICH","mk1"
"02OK264","IDF","mw1"
"02OK268","ICH","mk1"
"02OK89","ICH","mk1"
"02OKW1","ICH","mk1"
"02OKW11","ICH","mk1"
"02OKW13","IDF","mw1"
"02OKW14","ICH","mk1"
"02OKW15","ESSF","wc1"
"02OKW19","ICH","mw2"
"02OKW20","ESSF","wc4"
"02OKW21","ESSF","wc4"
"02OKW23","ESSF","wc4"
"02OKW24","ESSF","wc4"
"02OKW25","ESSF","wc1"
"02OKW26","ESSF","wc1"
"02OKW27","ESSF","wc1"
"02OKW28","ESSF","wc1"
"02OKW29","ESSF","wc4"
"02OKW33","ICH","mk1"
"02OKW34","ICH","mk1"
"02OKW35","ICH","mk1"
"02OKW36","IDF","mw1"
"02OKW40","IDF","mw1"
"02OKW44","IDF","mw1"
"02OKW46","IDF","mw1"
"02OKW47","IDF","mw1"
"02OKW49","IDF","mw1"
"02OKW51","ESSF","wc4"
"02OKW53","ICH","mk1"
"02OKW54","ICH","mk1"
"02OKW57","ICH","mk1"
"02OKW58","ICH","mk1"
"02OKW59","ICH","mk1"
"02OKW65","ICH","mk1"
"02OKW69","ICH","mk1"
"02OKW9","ICH","mk1"
"0300839","ICH","mk4"
"0300851","IDF","xk"
"0300857","IDF","dm2"
"0300890","IDF","dm2"
"0300929","ESSF","dku"
"0300950","ESSF","dk1"
"0300952","ESSF","dk2"
"0300982","MS","dk2"
"031380","SBS","vk"
"0347981","ESSF","wk2"
"035380","SBS","dh1"
"035480","SBS","dh1"
"035580","SBS","dh1"
"035680","SBS","dh1"
"038080","SBS","dh"
"038280","SBS","dh"
"038680","SBS","dh1"
"04407","SBS","mk1"
"04408","SBS","mk1"
"04425","SBS","wk1"
"04427","SBS","wk1"
"04428","SBS","wk1"
"04452","SBS","wk1"
"050178","CWH","wh1"
"050878","CWH","wh1"
"052078","CWH","wh1"
"052578","CWH","wh1"
"05506","SBS","dk"
"05584","SBS","mc3"
"06607","SBS","dw3"
"066104","ESSF","mc"
"06618","SBS","dw3"
"06638","SBS","wk1"
"06645","SBS","wk1"
"06646","SBS","wk1"
"06647","SBS","wk1"
"06655","SBS","wk1"
"06662","SBS","mc3"
"06668","SBS","mc3"
"06669","SBS","mc3"
"06670","SBS","mc3"
"06675","SBS","mc3"
"06681","SBS","mc3"
"06685","SBS","dw3"
"06688","SBS","dw3"
"06689","SBS","dw3"
"08-0005","SBS","mc2"
"08-0012","ESSF","mc"
"08-0015","ESSF","mc"
"08-0109","CWH","ws1"
"08-0111","CWH","ws1"
"08-0114","CWH","ws1"
"08-0118","CWH","ws1"
"08-0124","SBS","mc2"
"08-0132","SBS","mc2"
"08-0408","CWH","vm1"
"08-0411","CWH","vm1"
"08-0412","CWH","vm1"
"108980","BWBS","dk"
"108-B","ESSF","wc1"
"108-C","ESSF","wc1"
"1093-1","ICH","mw2"
"1093-2","ICH","mw2"
"1093-3","ICH","mw2"
"109980","CWH","vm1"
"110050","CWH","vh2"
"176-C","ESSF","wc4"
"177781","CWH","ms2"
"177-B","ICH","mw2"
"177-C","ICH","mw2"
"178-A","ICH","mw2"
"178-B","ICH","mw2"
"178-C","ICH","mw2"
"183379","CWH","vm2"
"19^100","ICH","mw3"
"27^300","ICH","mw3"
"27^700","ICH","mw3"
"270081","ICH","mm"
"270381","SBS","dh"
"270481","SBS","dh1"
"271881","ICH","wk3"
"272181","ICH","wk3"
"272581","ICH","wk3"
"272681","ICH","vk2"
"272781","ICH","wk3"
"272881","ICH","vk2"
"272981","ICH","vk2"
"273281","ICH","vk2"
"08-0413","CWH","vh1"
"08-0429","CWH","vm1"
"08-0463","CWH","vm1"
"08-0472","CWH","vm1"
"08-0475","CWH","vh1"
"08-0485","CWH","vm1"
"08-0487","CWH","vm1"
"08-0490","CWH","vm1"
"08-0491","CWH","vm1"
"08-0493","CWH","vm1"
"08-0496","CWH","vm1"
"08-0499","CWH","vh1"
"08-0500","CWH","vm1"
"08-0728","CWH","ws1"
"08-0905","MH","mm1"
"08-0906","CWH","vm3"
"08-0908","CWH","vm3"
"08-0910","CWH","ws2"
"08-0914","CWH","ms2"
"08-0923","MH","mm1"
"08-0926","CWH","ws2"
"08-0928","CWH","vm3"
"08-0932","CWH","vm3"
"08-0949","CWH","vm2"
"08-0954","CWH","vm3"
"08-0955","CWH","vm3"
"08-0956","CWH","vm3"
"08-0957","CWH","ms2"
"08-0964","CWH","vm3"
"08-0969","CWH","vm1"
"08-0970","CWH","vm1"
"08-0972","CWH","xs"
"08-0974","CDF","mm"
"08-1001","CWH","ws2"
"08-1020","CWH","vm3"
"08-1021","MH","mm2"
"08232","ESSF","dm"
"08-5551","CWH","ms1"
"08-1044","MH","mm1"
"08-1047","CDF","mm"
"08-1048","CDF","mm"
"08-1056","CWH","dm"
"08-1057","CWH","dm"
"08-1060","CWH","xs"
"08-1063","CWH","xs"
"08-1066","CWH","xs"
"08-1067","CWH","xs"
"08-1089","CDF","mm"
"08-1315","ICH","dm"
"08-1326","ICH","wk1"
"08-1359","ICH","dw1"
"08-1375","ICH","mw2"
"08-1408","ICH","dm"
"08-1469","ESSF","wm2"
"08-1474","ESSF","wc4"
"08-1477","ESSF","wc1"
"08156","ESSF","wc4"
"08211","ESSF","wc5"
"08222","ESSF","dm"
"08-2301","ESSF","wm1"
"08-2303","ESSF","wm1"
"08-2308","ICH","dm"
"08-2309","ICH","dm"
"08231","ICH","dm"
"08-2310","ICH","mk4"
"08235","ESSF","dm"
"08-2364","ESSF","dc1"
"08-2386","ICH","wk1"
"08-2387","ESSF","wc1"
"08244","ESSF","dm "
"08248","ICH","mw4"
"08274","ICH","dm"
"08-4501","ESSF","wc3"
"08-4502","ICH","mk3"
"08-4504","ICH","mk3"
"08-4509","ESSF","wc3"
"08-4510","ESSF","wc3"
"08-4512","IDF","xw"
"08-4515","IDF","dk3"
"08-4516","IDF","dk3"
"08-4517","IDF","dk3"
"08-4519","SBPS","mc"
"08-4528","IDF","dk3"
"08-4529","IDF","xm"
"08-4530","IDF","xm"
"08-4635","ICH","mk3"
"08-4636","ICH","mk3"
"08-4652","ICH","mk3"
"08-4653","ICH","mk3"
"08-4655","ICH","mk3"
"08-4657","ICH","wk4"
"08-4663","ICH","wk2"
"08-4664","ICH","wk2"
"08-4665","ICH","wk2"
"08-4670","ICH","wk2"
"08-4674","ICH","wk2"
"08-4678","ICH","wk2"
"08-4682","ICH","wk2"
"08-5001","ESSF","wm2"
"08-5039","ESSF","wc1"
"08-5074","ICH","xw"
"08-5077","ICH","mw2"
"08-5078","ESSF","wc1"
"08-5085","ESSF","dw"
"08-5108","ESSF","wc6"
"08-5113","ESSF","wc6"
"08-5119","ESSF","wc6"
"08-5121","ESSF","wc5"
"08-5139","ESSF","wm2"
"08-5144","ESSF","wcw"
"08-5145","ESSF","wc4"
"08-5146","ESSF","wc4"
"08-5157","ESSF","wc6"
"08-5531","CWH","ms1"
"08-5532","CWH","ms1"
"08-5534","CWH","ds1"
"08-5537","CWH","ds1"
"08-5542","CWH","ms1"
"08-5555","IDF","ww"
"08-5557","CWH","dm"
"08-5559","CWH","ms1"
"08-5562","CWH","dm"
"08-7012","SBS","mh"
"08-7258","SBS","mh"
"08-7383","ICH","mk3"
"08-7387","ESSF","wc3"
"08-7388","ESSF","wc3"
"08-7409","SBS","mh"
"08-7415","SBS","mh"
"08-7424","SBS","mh"
"08-7427","SBS","mh"
"08-7497","SBS","mh"
"08-7500","SBS","mh"
"08-7812","ESSF","wc4"
"08-7828","ESSF","wm"
"08-8210","ESSF","wc1"
"09104","CWH","wh2"
"09156","BWBS","mk"
"09157","BWBS","mk"
"102250","CWH","vh2"
"102350","CWH","vh2"
"08-7885","ESSF","wc4"
"08-7899","ESSF","dc1"
"08-7900","ESSF","wc4"
"08-7901","ICH","dm"
"08-7902","ICH","mw1"
"08-7943","ESSF","wc4"
"08802","CWH","ws2"
"08-8022","ICH","mk4"
"08-8023","ICH","dm"
"08-8028","ESSF","wc4"
"08-8030","ICH","wk1"
"08-8033","ESSF","wc1"
"08805","CWH","ws2"
"08-8057","ESSF","wc1"
"08-8060","ESSF","wc4"
"08-8063","ESSF","wcw"
"08-8067","ICH","wk1"
"08-8082","ESSF","wc4"
"08-8083","ESSF","wc4"
"08-8084","ESSF","wc4"
"08-8090","ESSF","wc4"
"08-8093","ESSF","wc4"
"08-8202","ESSF","wm3"
"08-8204","ESSF","wm3"
"08-8206","ESSF","wm3"
"08-8309","ESSF","vc"
"08-8312","ESSF","vcw"
"08-8324","ESSF","wm3"
"08-8339","ESSF","vc"
"08898","SBS","vk"
"09103","SBS","mc2"
"09176","SBS","dk"
"100280","SBS","dk"
"100350","CWH","wh1"
"100351","CWH","ws1"
"100550","CWH","wh1"
"100580","SBS","dk"
"100650","CWH","wh2"
"100751","CWH","ws1"
"100780","SBPS","mc"
"100850","CWH","wh1"
"100880","SBPS","mc"
"100950","CWH","wh1"
"100980","SBPS","mc"
"101051","CWH","ws1"
"101080","SBPS","mc"
"101180","CWH","vm1"
"101350","CWH","wh1"
"101380","CWH","vh2"
"101580","CWH","vm1"
"101780","CWH","vm1a"
"101950","CWH","wh2"
"102080","CWH","vh2"
"102150","CWH","vh2"
"102151","CWH","ws1"
"102550","CWH","vh2"
"102750","CWH","vh2"
"102780","SBS","mc2"
"1028-1","ICH","mw2"
"102850","CWH","vh2"
"102980","SBS","mc2"
"1030-3","ESSF","wc1"
"103080","SBS","mc2"
"103151","CWH","ws1"
"103180","SBS","mc2"
"103280","SBS","mc2"
"103580","SBS","mc2"
"103980","SBS","mc2"
"104080","SBS","mc2"
"104180","SBS","mc2"
"104280","SBS","mc2"
"104551","CWH","ws1"
"104951","CWH","ws1"
"104980","CWH","ws2"
"105079","SBPS","mc"
"106080","ICH","mc1"
"106180","CWH","wm"
"106250","CWH","vh2"
"106280","CWH","wm"
"106480","ICH","vc"
"106880","ICH","mc1"
"1071-3","ICH","mw2"
"107251","CWH","ws1"
"107380","ICH","vc"
"107450","CWH","vh2"
"107479","SBPS","mc"
"107550","CWH","vh2"
"107579","SBPS","mc"
"108280","SBS","mc2"
"108351","CWH","ws1"
"108380","SBS","mc2"
"108450","CWH","vh2"
"108480","SBS","mc2"
"1086-3","ESSF","wc4"
"110180","CWH","vm2"
"1102-1","ICH","mw2"
"1102-2","ICH","mw2"
"1102-3","ICH","mw2"
"110350","CWH","vh2"
"110680","CWH","vm1"
"110850","CWH","vh2"
"110880","CWH","wh2"
"1109","CDF","mm"
"1111","CWH","xm1"
"111150","CWH","vh2"
"111280","CWH","wh1"
"1113","CWH","xm2"
"1114","CWH","xm2"
"111550","CWH","vh2"
"111650","CWH","vh2"
"1117","CWH","mm2"
"1118","CWH","mm1"
"111950","CWH","wh1"
"1121","CDF","mm"
"1123","CWH","xm2"
"112450","CWH","vh2"
"1125","CWH","xm1"
"112550","CWH","vh2"
"112880","CWH","wh1"
"1129","CWH","xm2"
"1130","CWH","mm2"
"11-3000","ICH","mw1"
"11-3004","ICH","mw1"
"113080","CWH","wh1"
"1131","CWH","xm2"
"1132","CWH","mm2"
"1133","CWH","mm2"
"1134-1","ICH","mw2"
"1134-2","ICH","mw2"
"1134-3","ICH","mw2"
"113480","CWH","wh1"
"113580","CWH","wh1"
"113680","CWH","wh1"
"1137-1","ESSF","wc4"
"1137-2","ESSF","wc4"
"1137-3","ESSF","wc4"
"113780","CWH","wh1"
"113880","CWH","wh1"
"1139","CWH","xm2"
"1140","CWH","mm2"
"11-4017","ICH","mw1"
"123580","CWH","ws2"
"123978","SBS","mc2"
"123980","MH","mm2"
"124080","SBS","mc2"
"124180","SBS","mc2"
"1288-1","ESSF","wc4"
"12-9026","ESSF","wm1"
"12-9037","ICH","dw1"
"1141","CWH","mm2"
"114180","CWH","wh1"
"114380","CWH","wh2"
"114480","CWH","wh2"
"1146","CWH","xm2"
"1147","CWH","xm2"
"114780","MH","wh1"
"1148","CWH","xm2"
"1149","CWH","mm2"
"114980","CWH","wh2"
"1150","CWH","mm2"
"11-5000","ESSF","wc2"
"115080","CWH","wh2"
"1151","CWH","mm2"
"115180","CWH","wh2"
"1152","CWH","mm2"
"115278","SBS","mc2"
"115280","CWH","wh2"
"1153","MH","mm1"
"115380","CWH","wh1"
"1154","CWH","xm2"
"115480","CWH","wh1"
"1155","CWH","xm2"
"115580","MH","wh2"
"1156","CWH","mm2"
"1157","CWH","mm2"
"1158","CWH","mm2"
"115878","SBS","mc2"
"115880","ICH","mc2"
"1159","CWH","mm2"
"115980","ICH","mc2"
"116080","ICH","mc2"
"1161","CWH","mm2"
"1162","MH","mm1"
"1163","MH","mm1"
"116378","SBS","mc2"
"116380","CWH","ws2"
"116478","SBS","mc2"
"1166","MH","mm1"
"1167","MH","mm1"
"116778","SBS","mc2"
"1168","MH","mm1"
"117080","CWH","vm2"
"1175","CDF","mm"
"117778","SBS","mc2"
"117880","ICH","wc"
"1179","CWH","xm2"
"1180","CWH","xm2"
"118080","ICH","wc"
"1181","CWH","mm2"
"118180","ICH","mc2"
"1182","CWH","mm2"
"118280","CWH","wm"
"118478","ICH","mc2"
"1185","CWH","xm2"
"118578","ICH","mc2"
"118678","ICH","mc1"
"118878","SBS","mc2"
"11-9000","ESSF","vcw"
"1190-1","ESSF","wc1"
"1190-2","ESSF","wc1"
"1190-3","ESSF","wc1"
"11-9045","ESSF","vcw"
"11-9050","ESSF","vc"
"11-9056","ESSF","wcw"
"11-9078","ESSF","wc2"
"11-9082","ESSF","wcw"
"11-9087","ICH","wk1"
"1191","CWH","xm1"
"119-1","ESSF","wc1"
"119-2","ESSF","wc1"
"119-3","ESSF","wc1"
"1196","CWH","xm1"
"1197","CWH","mm1"
"11-9700","CWH","ds1"
"11-9703","CWH","vh2"
"11-9731","CWH","dm"
"11-9732","CWH","ds1"
"11-9733","CWH","ds1"
"11-9735","CWH","ds1"
"11-9736","CWH","xm1"
"11-9737","CWH","dm"
"11-9739","CDF","mm"
"1199","CWH","mm1"
"119978","SBS","mc2"
"12^200","ICH","mw3"
"12^236","ICH","mw3"
"12^267","ICH","mw3"
"12^496","ICH","mw3"
"12^600","ICH","mw3"
"1200","CWH","xm2"
"1201","CWH","xm2"
"120180","CWH","ws2"
"1203","CWH","mm2"
"120378","SBS","mc2"
"1204","CWH","mm2"
"120680","SBS","mc2"
"120980","SBS","mc2"
"121280","SBS","mc2"
"121378","ESSF","mc"
"121480","SBS","mc2"
"121580","ESSF","mc"
"121678","ESSF","mkp"
"121680","SBS","mc2"
"121778","ESSF","wv"
"121780","SBS","mc2"
"121980","SBS","mc2"
"122080","SBS","mc2"
"122178","CWH","vh2"
"122380","CWH","ws2"
"122480","CWH","ws2"
"122580","CWH","ms2"
"122780","CWH","ws2"
"122980","CWH","ms2"
"123178","SBS","mc2"
"123280","CWH","ms2"
"124280","ICH","wc"
"124480","CWH","ms2"
"124578","ESSF","wv"
"124680","CWH","ms2"
"124780","SBS","dk"
"124880","SBS","mc2"
"124980","SBS","mc2"
"125080","SBS","mc2"
"125478","SBS","mc2"
"125578","CWH","ws2"
"1258181","CWH","vh2"
"125-A","ICH","mw2"
"125-B","ICH","mw2"
"125-C","ICH","mw2"
"12-6403","ICH","mk1"
"12-6424","ICH","mw5"
"1266981","CWH","vh2"
"1267381","CWH","vh2"
"126-A","ICH","mw2"
"126-B","ICH","mw2"
"126-C","ICH","mw2"
"1276880","SBPS","mc"
"1276980","SBPS","mc"
"16^1000","ICH","wk1"
"16^600","ICH","wk1"
"1600400","ICH","mw2"
"168981","SBPS","mc"
"169281","SBPS","mc"
"169481","SBPS","mc"
"1976015","BWBS","mw2"
"1976016","BWBS","mw2"
"1976019","BWBS","mk"
"1976026","BWBS","mw2"
"1976032","BWBS","mw2"
"1976033","BWBS","mk"
"1976038","BWBS","mk"
"13^700","ICH","mw3"
"130178","SBS","mc2"
"131178","SBS","mc2"
"13212","BWBS","mk"
"138-1","ICH","mw2"
"138-2","ICH","mw2"
"138-3","ICH","mw2"
"138-A","ESSF","wc4"
"138-B","ESSF","wc4"
"138-C","ESSF","wc4"
"14^000","ICH","mw3"
"14-1","ICH","mw2"
"14479","ESSF","wvp"
