"plot","zone","subzone"
"%801812","MS","dk1"
"?780452","ICH","mk1"
"$801900","MS","dk1"
"%780453","ICH","mk1"
"%796961","MS","dk1"
"%801752","ESSF","dk1"
"?780457","ICH","mk4"
"%801762","MS","dk1"
"%801763","MS","dk1"
"%801771","MS","dk1"
"%801773","MS","dk1"
"%801775","ESSF","dk1"
"%801784","MS","dk1"
"?791103","PP","dh2"
"?791105","PP","dh2"
"?791112","PP","dh2"
"?791121","PP","dh2"
"?791123","IDF","dm2"
"?796927","MS","dk1"
"?796931","MS","dk1"
"?796934","ICH","mk4"
"?801805","IDF","dm2"
"?801806","IDF","dm2"
"?801809","IDF","dm2"
"?801814","IDF","dm2"
"?801824","IDF","dm2"
"?801825","IDF","dm2"
"?801833","IDF","dm2"
"0000453","SBPS","mc"
"0000651","BWBS","mk"
"0000655","BWBS","mk"
"0000662","BWBS","wk2"
"0000663","BWBS","wk2"
"0000664","BWBS","wk2"
"0000673","BWBS","wk2"
"0000678","BWBS","wk2"
"0000680","BWBS","wk2"
"0000684","BWBS","wk2"
"0000691","BWBS","wk2"
"0001653","SBPS","mc"
"0001779","ESSF","mm"
"0002479","ESSF","mm"
"0003279","ESSF","mm1"
"0004779","ESSF","mm1"
"0005852","SBPS","mc"
"0006252","SBPS","mc"
"0036580","ESSF","mm"
"0006652","SBS","mc3"
"0007179","ESSF","mm1"
"0007279","ESSF","mm1"
"0008079","ESSF","mm1"
"0010252","SBPS","mc"
"0011152","SBPS","mc"
"0011253","SBPS","mc"
"0012353","SBPS","mc"
"0013053","SBPS","mc"
"0013853","SBPS","mc"
"0014152","SBPS","mc"
"0014252","SBPS","mc"
"001479","SBS","dh1"
"0015152","SBPS","mc"
"0015452","SBPS","mc"
"0015752","SBPS","mc"
"001579","SBS","dh1"
"0015952","SBPS","mc"
"0016052","SBPS","mc"
"0017052","SBPS","mc"
"0017252","SBPS","mc"
"0017552","SBPS","mc"
"0017752","SBPS","mc"
"0018453","SBS","dk"
"0019552","SBPS","mc"
"0020653","SBPS","mc"
"002079","SBS","dh1"
"002179","ICH","mm"
"0021952","SBPS","mc"
"0023052","SBPS","mc"
"0023352","SBPS","mc"
"0023452","SBPS","mc"
"002579","SBS","dh1"
"0029780","ESSF","mm1"
"0037380","ESSF","mm1"
"003779","ICH","mm"
"0040152","SBS","mc3"
"0040552","SBPS","mc"
"0040752","SBPS","mc"
"004179","SBS","dh1"
"006479","SBS","dh1"
"0070452","SBPS","mc"
"00CG003","IDF","xh2"
"00CG004","IDF","dk2"
"00CG034","MS","dm2"
"00CG035","MS","dm2"
"00CG038","ESSF","xc2"
"00CG042","ESSF","xc"
"00CG063","ESSF","xc2"
"00CG090","ESSF","xc2"
"00CG142","MS","dm3"
"00CG144","MS","dm2"
"00CG152","MS","dm2"
"00CG153","MS","dm2"
"00CG191","MS","dm3"
"00DL900","ESSF","wc2"
"00JG053","MS","dm3"
"00JG062","MS","dm3"
"00JG080","ESSF","dc2"
"00JG086","ESSF","dc2"
"00JG099","MS","dm2"
"00JG101","MS","dm2"
"00JG104","MS","dm2"
"00MR01","IDF","xh2"
"00NB01","MS","dm2"
"00NCc03","CWH","ms1"
"00NCc07","CWH","ms1"
"00NCc12","CWH","ms1"
"00NCe02","ESSF","mw"
"00NCe08","ESSF","mw"
"00NCe12","ESSF","mw"
"00NCe21","ESSF","mw"
"00NCe24","ESSF","mw"
"00NCe38","ESSF","mw"
"00NCe42","ESSF","mw"
"00NCe45","ESSF","mw"
"00NCe48","ESSF","mw"
"00NCe65","ESSF","mw"
"00NCe73","ESSF","mw"
"00NCe94","ESSF","mw"
"00NCm05","MH","mm2"
"00NCm08","MH","mm2"
"00NCm16","MH","mm2"
"00NCm23","MH","mm2"
"00NCm24","MH","mm2"
"00NCm30","MH","mm2"
"00NCm33","MH","mm2"
"00NCm36","MH","mm2"
"00NCm37","MH","mm2"
"00NCm38","MH","mm2"
"00NCm41","MH","mm2"
"00NCm45","MH","mm2"
"010380","SBS","vk"
"0105154","CWH","wm"
"0105155","CWH","wm"
"0105156","CWH","wm"
"0105158","CWH","wm"
"0108640","ICH","wk4"
"0108642","ICH","wk4"
"0110565","CWH","ws2"
"0110612","SBS","dw3"
"0110628","SBS","dw3"
"0114623","CWH","wh1"
"0114654","SBS","dk"
"0114659","SBS","dk"
"0110654","SBS","dw3"
"0110662","SBS","dw3"
"0110665","SBS","mk1"
"0110678","SBS","dw3"
"0110704","IDF","xh1"
"0110707","IDF","xh1a"
"0110715","IDF","xh1"
"0112931","SBS","dk"
"0112932","SBS","dk"
"0112935","SBS","dk"
"0112936","SBS","dk"
"0112937","SBS","dk"
"0112939","SBS","dk"
"0114663","SBS","dk"
"0114664","SBS","dk"
"0114668","SBS","dk"
"0114672","SBS","dk"
"0114675","SBS","dk"
"0114677","SBS","dk"
"0114681","CWH","wh1"
"0114685","CWH","wh1"
"0114862","CWH","ws2"
"0114869","CWH","ws2"
"0114895","CWH","ws1"
"0115757","BWBS","dk1"
"0115759","BWBS","dk1"
"0116403","CWH","vh2"
"01OK106","ESSF","xc"
"02-2339","CWH","vh2"
"05507","SBS","dk"
"05513","SBS","dk"
"05514","SBS","dk"
"05525","ESSF","mv3"
"05526","ESSF","mv3"
"05527","ESSF","mv3"
"05528","ESSF","mv3"
"05529","ESSF","mv3"
"05530","SBS","wk1"
"05554","SBS","mc3"
"05557","SBS","mc3"
"05573","SBS","mc3"
"05577","SBS","mc3"
"05579","SBS","mc3"
"05580","SBS","mc3"
"02-2341","CWH","vh2"
"02-2343","CWH","vh2"
"02-2363","ICH","vc"
"02-2369","ICH","vc"
"02OK001","ICH","mk1"
"02OK002","IDF","mw1"
"02OK003","ICH","mk1"
"0116662","CWH","ws2"
"0116665","CWH","ws2"
"012580","SBS","vk"
"012780","SBS","vk"
"01JM01","ICH","mk2"
"01KJ03","ICH","mw3"
"01KJ12","ESSF","mw2"
"01OK007","ESSF","xc"
"01OK016","ESSF","dc1"
