"Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","PPT_wt","PPT_sp","PPT_sm","PPT_at"
-2.2,8.6,20.6,9.4,-11.9,-3.2,6,-2.4,5.53733426701854,5.25227342804663,5.2257466737132,5.30330490805908
-1.5,11,22.8,10.5,-10.7,-1.3,7.5,-1.2,5.24702407216049,5.04342511691925,5.17048399503815,5.15905529921453
-2.9,8,19.5,8.1,-10.7,-1.7,7.9,-1.1,5.38449506278909,5.05624580534831,5.08759633523238,5.12989871492307
-2.5,10.2,21.8,9.4,-10.6,-1.4,7.9,-1.1,5.11198778835654,4.80402104473326,4.95582705760126,4.88280192258637
-1.5,9.7,21.8,10.2,-11.8,-2.9,6,-2.3,5.37063802812766,5.14749447681345,5.09375020080676,5.15329159449778
-5.1,5.1,16.7,5.8,-12.8,-4.6,5.4,-3.1,6.03548143252476,5.82894561761021,5.49306144334055,5.70711026474888
-2,10,21.7,9.9,-11.2,-2,7,-1.6,5.60947179518496,5.24174701505964,5.34710753071747,5.42934562895444
-2,9.1,21,9.6,-11.9,-3.1,5.9,-2.4,5.55295958492162,5.35185813347607,5.19849703126583,5.31811999384422
-3,7.7,19.5,8.6,-12.4,-3.4,6.1,-2.4,5.57972982598622,5.4380793089232,5.25749537202778,5.33271879326537
-4.5,5.5,17.2,7,-12.6,-4.1,5.8,-2.7,5.59098698051086,5.55295958492162,5.48893772615669,5.48479693349065
-4.6,5.9,17.3,6.4,-12.7,-4.1,5.7,-2.9,5.65248918026865,5.41610040220442,5.35185813347607,5.34710753071747
-4.6,5.9,17.4,6.4,-12.7,-4.1,5.6,-2.9,5.73334127689775,5.44241771052179,5.39816270151775,5.44241771052179
-4.7,5.4,17,6.5,-12.8,-4.3,5.7,-2.8,5.46806014113513,5.49306144334055,5.37527840768417,5.37527840768417
-0.3,13.7,25.6,12.4,-8.9,0.1,8.6,-0.2,4.70953020131233,4.59511985013459,4.81218435537242,4.65396035015752
-0.4,13.6,25.6,12.4,-8.9,0,8.5,-0.2,4.72738781871234,4.62497281328427,4.8283137373023,4.67282883446191
-0.3,13.9,25.9,12.6,-8.8,0,8.5,-0.1,4.67282883446191,4.58496747867057,4.81218435537242,4.60517018598809
-0.5,13.7,25.5,12.3,-8.9,0,8.4,-0.2,4.76217393479776,4.63472898822964,4.79579054559674,4.68213122712422
-0.4,13.7,25.6,12.3,-8.8,0,8.5,-0.2,4.75359019110636,4.64439089914137,4.80402104473326,4.68213122712422
-2.5,9.3,20.9,8.8,-10.3,-1.9,7.3,-1.3,5.48479693349065,5.28320372873799,5.07517381523383,5.27299955856375
-1.9,10.2,21.8,9.5,-10.1,-1.7,7.3,-1.2,5.38449506278909,5.19295685089021,5.02388052084628,5.19849703126583
-2.4,9.5,21.1,9,-10.1,-1.5,7.6,-1,5.26785815906333,5.01063529409626,4.98360662170834,5.15329159449778
-1,12.2,23.9,11.4,-10.2,-0.7,8,-0.8,4.81218435537242,4.76217393479776,4.99043258677874,4.70048036579242
-0.8,12.9,24.6,11.7,-9.6,-0.3,8.3,-0.4,4.87519732320115,4.74493212836325,4.93447393313069,4.77068462446567
-0.5,13.5,25.4,12.2,-9.1,0,8.6,-0.2,4.78749174278205,4.65396035015752,4.83628190695148,4.69134788222914
-0.8,12.7,24.5,11.6,-9.4,-0.3,8.2,-0.5,4.89783979995091,4.77068462446567,4.91265488573605,4.81218435537242
-0.9,12.6,24.4,11.5,-9.7,-0.4,8.2,-0.5,4.85981240436167,4.74493212836325,4.93447393313069,4.74493212836325
-0.6,13.1,24.9,11.8,-9.3,-0.1,8.4,-0.3,4.82028156560504,4.69134788222914,4.89034912822175,4.71849887129509
-0.4,13.5,25.3,12.2,-9.2,0.1,8.5,-0.2,4.75359019110636,4.63472898822964,4.85981240436167,4.66343909411207
-3,8.7,19,8.4,-13.1,-4.3,5,-2.4,5.01063529409626,4.46590811865458,4.9416424226093,5.17048399503815
-15.6,5.1,20.3,2.7,-25.9,-8,7.3,-7.1,4.06044301054642,4.29045944114839,5.25227342804663,4.4188406077966
-15,5.5,19.5,2.7,-25.2,-7.8,7.6,-7,4.07753744390572,4.27666611901606,5.27299955856375,4.46590811865458
-6.8,6.4,18.2,5,-16.4,-4.6,6.4,-4.2,4.17438726989564,4.59511985013459,5.59098698051086,4.63472898822964
-6.7,6.6,18.4,5.2,-16.4,-4.8,6.1,-4.3,4.12713438504509,4.63472898822964,5.59842195899838,4.64439089914137
-6.9,6.4,18.2,5,-16.5,-4.9,6,-4.4,4.0943445622221,4.66343909411207,5.61312810638807,4.65396035015752
-6.7,6.1,17.9,4.9,-16.1,-5.1,5.5,-4.7,4.17438726989564,4.75359019110636,5.6021188208797,4.72738781871234
-6.8,6.4,18,5.2,-16.3,-5.2,5.6,-4.6,4.31748811353631,4.7361984483945,5.60947179518496,4.76217393479776
-6.4,6.5,17.8,5.6,-15.2,-4.2,6.8,-3,4.99721227376411,4.84418708645859,5.38449506278909,5.21493575760899
-6.7,7.5,18.9,6.4,-15.3,-4,6.6,-2.8,4.77068462446567,4.69134788222914,5.3890717298165,5.01063529409626
-6.7,6.6,18.2,5,-16.6,-4.9,6,-4.5,4.18965474202643,4.62497281328427,5.5834963087817,4.64439089914137
-3,8.8,19,8.3,-13.1,-4.2,4.9,-2.4,5.02388052084628,4.48863636973214,4.94875989037817,5.18738580584075
-5.1,5.3,15.3,4.8,-13.8,-5.3,5.2,-4.2,5.24174701505964,5.06890420222023,5.5834963087817,5.42934562895444
-5,8.2,18.5,6,-11.9,-3,6.5,-2,5.74620319054015,5.16478597392351,5.29330482472449,5.6970934865054
