"Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","PPT_wt","PPT_sp","PPT_sm","PPT_at"
-4.2,9.2,19.7,6.9,-11.7,-2.6,6.8,-1.6,5.53733426701854,5.04342511691925,5.26785815906333,5.47227067367148
-5,7,17.2,5.5,-13.3,-4.4,5.7,-3.3,5.76205138278018,5.36597601502185,5.59471137960184,5.76205138278018
-3,8.7,18.4,8,-13.5,-5,3.9,-3.5,4.93447393313069,4.47733681447821,4.99721227376411,5.08759633523238
-2.8,8.9,18.8,8.5,-13.5,-5,3.9,-3.4,4.99721227376411,4.53259949315326,4.97673374242057,5.13579843705026
-4.4,8.2,18.6,6.8,-12.6,-3.5,6.2,-2.4,5.37063802812766,5.08140436498446,5.35658627467201,5.36597601502185
-3,8.7,18.7,8.3,-13.4,-4.9,4,-3.4,4.99043258677874,4.51085950651685,4.969813299576,5.12396397940326
-6.1,5.4,15,4.9,-14.7,-5.8,4.8,-4.5,5.6970934865054,5.25749537202778,5.50533153593236,5.63121178182137
-5.1,5.8,16.1,4.6,-13.2,-4.9,5.2,-3.6,5.79301360838414,5.31320597904179,5.56068163101553,5.75890177387728
-5.9,5.6,15.5,4.8,-15,-5.8,5,-4.7,5.60947179518496,5.21493575760899,5.66642668811243,5.61312810638807
-3.1,8.8,18.9,8.3,-13,-4.1,5.3,-2.1,5.01727983681492,4.45434729625351,4.969813299576,5.17614973257383
-3,8.7,18.9,8.3,-13.1,-4.3,4.9,-2.4,5.02388052084628,4.46590811865458,4.94875989037817,5.19295685089021
-3,8.7,18.9,8.3,-13.1,-4.3,5,-2.4,5.02388052084628,4.47733681447821,4.94875989037817,5.19295685089021
-2.9,8.8,19.2,8.6,-13.1,-4.3,4.9,-2.5,4.99043258677874,4.44265125649032,4.90527477843843,5.12396397940326
-2.9,8.8,19.1,8.5,-13.1,-4.3,5,-2.4,4.99721227376411,4.45434729625351,4.91265488573605,5.14166355650266
-3.7,9.5,19.7,8.3,-14.1,-4,5.7,-3,4.89034912822175,4.48863636973214,5.12396397940326,4.91998092582813
-3,8.8,18.8,8.3,-13,-4.3,4.9,-2.5,5.03043792139244,4.48863636973214,4.94875989037817,5.21493575760899
-2.9,8.9,18.9,8.4,-13,-4.3,5,-2.4,5.01727983681492,4.47733681447821,4.9416424226093,5.19295685089021
-3.3,10.7,21.1,8.2,-11.9,-2.1,7.1,-1.4,5.01727983681492,4.72738781871234,5.16478597392351,5.06890420222023
-3.2,8.9,18.9,8.3,-12.9,-3.9,5.6,-1.9,5.01063529409626,4.4188406077966,4.95582705760126,5.16478597392351
-3.2,9,18.9,8.5,-13,-4.1,5.3,-2.2,5.05624580534831,4.48863636973214,4.84418708645859,5.22035582507832
-3.1,9.2,19.2,8.7,-13,-4,5.4,-2.1,5.04342511691925,4.46590811865458,4.80402104473326,5.2040066870768
-3.8,9.9,20.4,7.8,-11.8,-2.4,7,-1.5,5.11198778835654,4.77912349311153,5.12396397940326,5.17614973257383
-3.3,8.8,18.6,8.2,-13,-4.2,5,-2.3,5.0998664278242,4.54329478227,4.87519732320115,5.30330490805908
-3.2,8.8,18.7,8.2,-13,-4.2,5.1,-2.3,5.0998664278242,4.54329478227,4.87519732320115,5.28826703069454
-3.3,9.4,19.6,8.3,-13.1,-3.6,6,-1.8,4.84418708645859,4.29045944114839,5.01727983681492,4.97673374242057
-3.4,9,19.1,8,-13.2,-3.9,5.7,-2.1,4.87519732320115,4.34380542185368,5.04342511691925,5.01063529409626
-3.3,8.4,18.3,7.8,-13.1,-4.4,5.1,-2.6,4.98360662170834,4.46590811865458,5.01727983681492,5.09375020080676
-3.4,8.5,18.6,8,-13.1,-4.3,5.2,-2.4,4.97673374242057,4.4188406077966,5.00394630594546,5.08759633523238
-3.5,8.9,19,8.3,-12.7,-3.8,5.7,-1.7,4.99043258677874,4.36944785246702,4.9416424226093,5.14166355650266
-2.7,8.9,18.7,8.4,-13.5,-5,3.9,-3.5,5.00394630594546,4.53259949315326,4.97673374242057,5.12989871492307
-3,8.8,19.2,8.6,-13.3,-4.4,4.8,-2.7,4.99043258677874,4.44265125649032,4.94875989037817,5.10594547390058
-3.9,9.6,20.1,7.5,-11.8,-2.6,6.9,-1.7,5.2257466737132,4.84418708645859,5.17048399503815,5.25749537202778
-4.4,8.6,18.9,6.8,-12.4,-3.3,6.5,-2.3,5.38449506278909,4.99043258677874,5.31811999384422,5.3890717298165
-3.3,8.4,18.6,8.1,-13.1,-4.6,4.8,-2.7,5.02388052084628,4.48863636973214,4.99721227376411,5.18178355029209
-3.1,8.6,18.8,8.2,-13.2,-4.5,4.7,-2.8,5.00394630594546,4.46590811865458,4.99043258677874,5.11799381241676
-3.1,8.7,19,8.4,-13.2,-4.4,4.9,-2.5,4.99721227376411,4.45434729625351,4.94875989037817,5.12396397940326
-2.9,8.9,19.3,8.6,-13.2,-4.1,5.2,-2.2,4.99043258677874,4.43081679884331,4.9416424226093,5.11799381241676
-3.4,10.6,21.1,8.3,-11.5,-2,7.3,-1.1,4.96284463025991,4.63472898822964,4.97673374242057,5.05624580534831
-4.6,5.5,14.5,5.1,-13.4,-5,5.3,-3.9,5.94542060860658,5.72031177660741,6.00635315960173,6.07993319509559
-5.7,4.6,14.9,3.4,-13.5,-5.5,4.8,-4.1,5.87773578177964,5.37527840768417,5.57215403217776,5.8348107370626
-3.8,10,20.6,7.7,-11.4,-2.1,7,-1.2,5.34710753071747,4.9416424226093,5.22035582507832,5.34710753071747
-2.5,8.9,18.5,8.3,-13.6,-5.2,3.7,-3.7,5.02388052084628,4.55387689160054,4.99043258677874,5.14166355650266
-2.7,9,18.9,8.5,-13.5,-4.9,4.1,-3.3,5.03043792139244,4.52178857704904,4.95582705760126,5.15329159449778
-3,8.8,18.6,8.3,-13.5,-5,3.8,-3.5,4.99721227376411,4.54329478227,4.99043258677874,5.13579843705026
-3.5,10.4,20.9,8.2,-11.6,-2.1,7.1,-1.3,5.02388052084628,4.76217393479776,5.07517381523383,5.08759633523238
-3.4,10.6,21.3,8.4,-11.4,-1.9,7.2,-1,5.01063529409626,4.70048036579242,5.03043792139244,5.09375020080676
-3.2,8.7,18.6,8.1,-12.8,-4.1,5.4,-2,5.03043792139244,4.45434729625351,4.96284463025991,5.2257466737132
-0.8,13.4,24,11.3,-8.2,0.7,9.6,0.9,4.60517018598809,4.36944785246702,4.85981240436167,4.61512051684126
-1,13.1,23.6,11,-8.4,0.5,9.3,0.7,4.62497281328427,4.40671924726425,4.87519732320115,4.63472898822964
-2.3,10,20.1,8.4,-10.1,-1.7,7.1,-1.2,4.86753445045558,4.70953020131233,5.04342511691925,4.84418708645859
-2.2,10,20.1,8.5,-10.1,-1.7,7.1,-1.2,4.86753445045558,4.70048036579242,5.04342511691925,4.84418708645859
-4.1,5.8,15.3,5.1,-11.6,-4.3,4.5,-3.2,5.00394630594546,4.87519732320115,5.22035582507832,4.99721227376411
-4,6.1,15.6,5.3,-11.5,-4.1,4.7,-3.1,4.99721227376411,4.87519732320115,5.20948615284142,4.99043258677874
-3.8,6.3,15.8,5.5,-11.4,-3.9,4.9,-2.8,5.03043792139244,4.84418708645859,5.19295685089021,4.99043258677874
-3.7,6.5,16.2,5.7,-11.4,-3.8,5,-2.8,5.02388052084628,4.83628190695148,5.18738580584075,4.99043258677874
-2.7,8.6,18.7,7.5,-11,-2.9,6,-2,4.969813299576,4.77912349311153,5.16478597392351,4.98360662170834
-2.7,8.7,18.8,7.5,-11,-2.8,6.1,-1.9,4.969813299576,4.77068462446567,5.15905529921453,4.98360662170834
-2.8,8.3,18.2,7.3,-11.4,-3.2,5.7,-2.2,4.96284463025991,4.77912349311153,5.17614973257383,4.99043258677874
-2.9,8.2,18,7.1,-11.5,-3.4,5.5,-2.4,4.96284463025991,4.78749174278205,5.18178355029209,4.99043258677874
-2.3,9.6,19.6,8.2,-10.3,-1.9,7,-1.3,4.91265488573605,4.70953020131233,5.08140436498446,4.89034912822175
-3.3,8.6,19.2,7.3,-10.3,-2.2,7.3,-1.1,5.73334127689775,5.41610040220442,5.59471137960184,5.71373280550937
-2.6,9.2,19.2,7.9,-10.5,-2.3,6.7,-1.5,4.95582705760126,4.7361984483945,5.11198778835654,4.95582705760126
-2.7,8.7,18.7,7.5,-10.8,-2.6,6.3,-1.8,4.969813299576,4.75359019110636,5.12989871492307,4.969813299576
-3.1,7.7,17.4,6.8,-11.5,-3.6,5.2,-2.7,4.97673374242057,4.79579054559674,5.17614973257383,4.97673374242057
-3.3,7.1,16.7,6.3,-11.7,-3.9,4.8,-3,4.98360662170834,4.81218435537242,5.18178355029209,4.98360662170834
-2.5,9.3,19.3,8,-10.4,-2.1,6.8,-1.4,4.91265488573605,4.72738781871234,5.08140436498446,4.88280192258637
-2.6,9,19,7.7,-10.5,-2.2,6.6,-1.6,4.92725368515721,4.76217393479776,5.08759633523238,4.89783979995091
-2.6,9,19,7.7,-10.5,-2.2,6.7,-1.6,4.92725368515721,4.76217393479776,5.09375020080676,4.89783979995091
-0.2,11.5,21.8,10.8,-7.4,0.3,9.3,1.4,5.33271879326537,4.49980967033027,4.48863636973214,5.03043792139244
-1.8,7.5,17.6,8.2,-9.2,-3.2,5.3,-1.6,6.10031895202006,5.39362754635236,4.82028156560504,5.7037824746562
0.2,8.8,18.8,9.6,-6.6,-1.3,6.9,0.4,6.44094654063292,5.73009978297357,5.10594547390058,6.2363695902037
0.1,8.9,19,9.6,-6.6,-1.3,6.9,0.4,6.39692965521615,5.68697535633982,5.0998664278242,6.16751649088834
0.3,11.5,22.3,11.5,-6.7,-0.3,7.6,0.9,6.06145691892802,5.41164605185504,4.9416424226093,5.84932477994686
-1.9,6.8,17.2,7.7,-8.2,-2.9,5.7,-1.1,6.38687931936265,5.65599181081985,5.15329159449778,6.08449941307517
-2.2,7,17.3,7.8,-8.6,-3.1,5.5,-1.2,6.28785856016178,5.57594910314632,5.04985600724954,5.96614673912369
-1.7,6.6,17,7.6,-8,-2.9,5.7,-1,6.45204895443723,5.6970934865054,5.20948615284142,6.14203740558736
-2.3,6.1,16.3,7,-8.4,-3.4,5.4,-1.4,6.42486902390539,5.68357976733868,5.19849703126583,6.11146733950268
-1.8,6.4,16.7,7.5,-8.2,-3.2,5.5,-1.2,6.41999492814714,5.67332326717149,5.18178355029209,6.11146733950268
-1.8,6.1,16.3,7.2,-8.1,-3.3,5.4,-1.2,6.47543271670409,5.72031177660741,5.2257466737132,6.17170059741091
-2,7.1,17.5,8,-8.1,-2.6,5.9,-0.8,6.4281052726846,5.67675380226828,5.23644196282995,6.07993319509559
-2.1,7.2,17.5,8,-8.3,-2.7,5.8,-1,6.36990098282823,5.64190707093811,5.2040066870768,6.0330862217988
-2.1,7.1,17.4,7.9,-8.2,-2.6,5.9,-0.9,6.39024066706535,5.65248918026865,5.21493575760899,6.04737217904628
-2.4,6.1,16.3,7.2,-8.7,-3.4,5.3,-1.5,6.26530121273771,5.56068163101553,5.15329159449778,5.92958914338989
-1.8,7.7,18.1,8.3,-9.3,-3.4,5.1,-1.6,6.02344759296103,5.38449506278909,4.85203026391962,5.68357976733868
-2,7,17.4,7.8,-9.3,-3.7,4.9,-1.7,6.06378520868761,5.42934562895444,4.89783979995091,5.74300318780948
-1.2,6.7,16.7,7.8,-7.8,-2.9,5.7,-0.9,6.51619307604296,5.78382518232974,5.19849703126583,6.22257626807137
-0.2,7.8,17.7,8.8,-6.6,-1.9,6.5,0.4,6.44571981938558,5.76205138278018,5.19849703126583,6.17586727010576
-1.3,7,17.5,7.9,-7.6,-2.4,6.2,-0.6,6.68710860786651,6.00388706710654,5.46383180502561,6.37672694789863
-0.3,7.7,17.5,8.7,-7.2,-1.9,6.5,0,6.57646956904822,5.85220247977447,5.2257466737132,6.3750248198281
-0.1,8.2,18,9,-7.1,-1.7,6.6,0.1,6.58892647753352,5.85220247977447,5.20948615284142,6.38856140554563
-1.1,7.5,18.1,8.4,-7.3,-1.9,6.5,-0.3,6.68461172766793,6.00635315960173,5.4510384535657,6.36647044773144
-1.7,6.3,16.6,7.2,-7.8,-2.9,5.7,-1,6.74523634948436,6.08677472691231,5.52545293913178,6.44571981938558
-0.3,7.3,17,8.4,-6.6,-2,6.5,0.3,6.40025744530882,5.8406416573734,5.33753807970132,6.17170059741091
-0.9,7.1,16.8,8,-7.4,-2.4,6.1,-0.5,6.56244409369372,5.82304589548302,5.25227342804663,6.26149168432104
-1,6.9,16.7,7.9,-7.5,-2.5,6,-0.6,6.56667242980324,5.82304589548302,5.25749537202778,6.26530121273771
-0.8,7.8,18.2,8.5,-7.1,-1.7,6.8,0,6.74051935960622,6.04025471127741,5.51342874616498,6.4150969591716
-0.8,7.9,18.2,8.6,-7,-1.6,6.8,0.1,6.72262979485545,6.00881318544259,5.49306144334055,6.39024066706535
-2.9,10.6,20.7,8.3,-11.4,-1.9,7,-0.8,5.56452040732269,5.06890420222023,5.56068163101553,5.5834963087817
1.9,10.9,17.8,9.9,-3.7,2.1,9.7,3.9,6.5875500148248,5.89164421182577,5.54907608489522,6.52502965784346
1.7,10.6,17.7,9.9,-3.8,2.1,9.7,3.9,6.61606518513282,5.88332238848828,5.51342874616498,6.56385552653213
1.6,10.8,17.8,9.7,-4,1.9,9.5,3.7,6.61338421837956,5.90536184805457,5.55295958492162,6.55393340402581
1,10.7,18,9.3,-4.5,1.6,9.3,3.3,6.63068338564237,5.89989735358249,5.52942908751142,6.57088296233958
-2.6,9.1,19.2,7.8,-10.6,-2.6,6.5,-1.3,5.30826769740121,5.04985600724954,5.52146091786225,5.30330490805908
-2.6,9.5,19.7,8.2,-10.6,-2.4,6.5,-1.2,5.30826769740121,5.06259503302697,5.52942908751142,5.32787616878958
-2.2,8.5,17.8,6.7,-8.5,-1.7,6.8,0,6.09807428216624,5.11198778835654,5.19295685089021,6.11146733950268
-3.5,10.2,20.6,8.1,-12.1,-2.2,7.3,-1.4,5.03043792139244,4.62497281328427,5.2040066870768,5.08140436498446
-4.3,9.6,20,7.7,-12.8,-2.5,7.4,-1.5,5.0998664278242,4.63472898822964,5.12989871492307,5.12396397940326
4.6,9.9,17.6,11.4,-0.1,2.3,9.1,5.1,6.93244789157251,6.35610766069589,5.46806014113513,6.84054652928869
-4.1,8.9,19.3,7.6,-12.9,-3.2,5.7,-1.9,5.06259503302697,4.46590811865458,4.91998092582813,5.03695260241363
-3.9,8.8,19.3,8,-12.4,-3.3,5.5,-1.8,4.97673374242057,4.34380542185368,4.90527477843843,4.97673374242057
-3.4,10.5,20.8,8.4,-12.1,-2.2,7.3,-1.3,5.04342511691925,4.63472898822964,5.21493575760899,5.09375020080676
-3.8,10.1,20.5,8,-12.3,-2.3,7.3,-1.4,5.10594547390058,4.70953020131233,5.22035582507832,5.16478597392351
-4.2,10.1,20.6,7.9,-12.3,-2,7.6,-1.2,5.25227342804663,4.82028156560504,5.16478597392351,5.29330482472449
-3.8,10.2,20.5,8.1,-12.2,-2.3,7.3,-1.4,5.10594547390058,4.70953020131233,5.22035582507832,5.16478597392351
-0.2,13.7,24.9,11.8,-6.6,1.3,10,1.7,5.02388052084628,4.65396035015752,4.82028156560504,4.90527477843843
-0.1,14,25.2,12.1,-6.4,1.5,10.2,1.9,4.99721227376411,4.62497281328427,4.79579054559674,4.88280192258637
-0.2,13.6,24.8,11.8,-6.7,1.3,10,1.8,5.03695260241363,4.66343909411207,4.83628190695148,4.91998092582813
-4.1,8.2,18.6,7.6,-12.2,-3.5,5.3,-1.9,5.09375020080676,4.45434729625351,4.9416424226093,5.10594547390058
-4,8.9,19.4,7.8,-12.4,-3.3,5.5,-1.8,4.99043258677874,4.35670882668959,4.88280192258637,4.95582705760126
-4.3,7.8,18.2,7.1,-12.3,-3.6,5.4,-1.9,5.02388052084628,4.40671924726425,4.98360662170834,5.05624580534831
-4.3,8,18.4,7.1,-12.2,-3.4,5.6,-1.9,4.99043258677874,4.39444915467244,4.98360662170834,5.02388052084628
-3.5,10.3,20.4,8.5,-12.3,-2.2,6.3,-1.3,4.75359019110636,4.23410650459726,4.85203026391962,4.80402104473326
-3.5,9.8,19.8,8,-12.1,-2.5,6.1,-1.4,4.89034912822175,4.34380542185368,4.87519732320115,4.91265488573605
-3.4,10,20,8.2,-12,-2.2,6.3,-1.2,4.84418708645859,4.34380542185368,4.87519732320115,4.92725368515721
-3.4,10.2,20.2,8.4,-12.1,-2.2,6.3,-1.2,4.81218435537242,4.30406509320417,4.86753445045558,4.89034912822175
-3.5,10,20,8.2,-12.1,-2.3,6.2,-1.3,4.85203026391962,4.33073334028633,4.88280192258637,4.90527477843843
-3.7,8.7,18.7,7.2,-11.8,-2.8,5.8,-1.6,5.06259503302697,4.53259949315326,4.9416424226093,5.11198778835654
-3.4,9.3,19.3,7.7,-11.8,-2.4,6,-1.4,4.9416424226093,4.45434729625351,4.90527477843843,5.03695260241363
-3.2,10.3,20.3,8.5,-11.7,-1.9,6.5,-1,4.80402104473326,4.34380542185368,4.86753445045558,4.94875989037817
4.2,9.8,17.7,11,-0.3,2.1,8.9,4.7,6.60258789218934,6.04500531403601,5.39816270151775,6.53958595561767
4.7,9.5,16.4,11.2,0.1,2.5,9.4,5.2,6.49978704065585,5.93753620508243,5.26269018890489,6.46458830368996
-2,8.7,18.1,7.2,-8.2,-1.4,7.2,0.4,6.11368217983223,5.14749447681345,5.13579843705026,6.13772705408623
-2.3,8.5,17.8,7,-8.4,-1.7,6.9,0.1,6.11809719804135,5.16478597392351,5.16478597392351,6.15060276844628
0.4,11.6,21.1,10.1,-4.6,1.9,10.3,3.8,6.14418563412565,5.29330482472449,5.03043792139244,6.13122648948314
-11.2,4.4,17,2.2,-19.8,-7.7,4,-6.3,4.49980967033027,4.00733318523247,4.91998092582813,4.82028156560504
-8.9,4.9,16.8,3.5,-19,-6.8,4.9,-5.2,4.77068462446567,4.00733318523247,4.87519732320115,5.00394630594546
5.7,11.3,17.7,12.1,0.5,3.4,9.8,6.1,6.80461452006262,6.4723462945009,6.04737217904628,6.84054652928869
-3.1,4.7,15.4,5.8,-9.6,-3.5,5.7,-1.4,5.17048399503815,5.10594547390058,5.08759633523238,4.90527477843843
5.7,11.4,17.8,12.1,0.6,3.4,9.9,6.1,6.79682371827486,6.46614472423762,6.04263283368238,6.8351845861473
-4.2,10,20.4,8.4,-14,-3.1,6.6,-2.1,4.93447393313069,4.49980967033027,5.06259503302697,4.9416424226093
-4.7,9.3,20.2,8,-13.5,-2.8,7.2,-1.1,5.01063529409626,4.55387689160054,4.9416424226093,5.01727983681492
-4.1,10.5,21.1,8.8,-14.1,-2.9,6.6,-2,4.93447393313069,4.48863636973214,5.01063529409626,4.9416424226093
-7.5,6.3,17.2,4.5,-14.9,-5.1,5.3,-3.6,5.59098698051086,5.19295685089021,5.16478597392351,5.52545293913178
-7.5,6.3,17.1,4.4,-14.8,-5.1,5.4,-3.6,5.53733426701854,5.15905529921453,5.14166355650266,5.47227067367148
-7.5,6.4,17.2,4.5,-14.8,-5,5.4,-3.6,5.50533153593236,5.12396397940326,5.12989871492307,5.44241771052179
-7,6,16.6,4.3,-14.4,-5,6.1,-3.2,5.68697535633982,5.24174701505964,5.11198778835654,5.56452040732269
-7.1,5,15.3,3.4,-14.4,-5.5,5.8,-3.6,5.79301360838414,5.35185813347607,5.13579843705026,5.64897423816121
-5,8.6,19.3,6.8,-13.2,-3.3,6.8,-1.9,5.52545293913178,5.05624580534831,5.25227342804663,5.52942908751142
-3.2,8.5,18.2,7.7,-14.2,-5.2,4.3,-3.7,4.93447393313069,4.45434729625351,5.0998664278242,5.0998664278242
-3.1,8.2,18,7.6,-13.5,-5.1,3.9,-3.7,4.93447393313069,4.47733681447821,5.06890420222023,5.06890420222023
-3.5,8.4,18.4,7.8,-14.7,-5.1,4.4,-3.8,4.88280192258637,4.44265125649032,5.0998664278242,4.99043258677874
-3.1,8.6,18.4,7.8,-14.6,-4.9,4.6,-3.6,4.89783979995091,4.44265125649032,5.0998664278242,5.00394630594546
-2.9,8.3,18.2,7.6,-14.5,-5,4.6,-3.5,4.9416424226093,4.47733681447821,5.11198778835654,5.06259503302697
-3.5,7.7,17.7,7.3,-14.3,-5.2,4.6,-3.6,4.96284463025991,4.51085950651685,5.12396397940326,5.10594547390058
5.7,11.2,17.7,11.9,0.3,3.2,9.7,5.9,6.84161547647759,6.51323011091231,6.08677472691231,6.87419849545329
5.8,11.3,18,12.1,0.6,3.6,10.1,6,6.67708346124714,6.41345895716736,5.94542060860658,6.76041469108343
-4.8,8.5,19.4,6.1,-11.3,-2.6,5.9,-0.9,5.58724865840025,4.89034912822175,5.17048399503815,5.77455154554441
-4.8,7.3,18.1,5.4,-11.2,-3,5.6,-1.3,5.70711026474888,5.03043792139244,5.23644196282995,5.86929691313377
-3.1,7.7,19,7.5,-10.6,-3.8,5.2,-2,5.48479693349065,5.28826703069454,5.18738580584075,5.28826703069454
-1.3,10.6,21.7,9.8,-9.2,-1.7,6.9,-0.7,5.04985600724954,5.04342511691925,5.12989871492307,5.03043792139244
-2,9.5,20.6,9,-9.7,-2.4,6.4,-1.1,5.25227342804663,5.15329159449778,5.19295685089021,5.17614973257383
-1.3,11.1,20.1,8.8,-7.4,0,8.4,1.6,5.91350300563827,4.90527477843843,5.08140436498446,5.95583736946483
-1.7,10.6,19.9,8.2,-7.9,-0.2,8.2,1.3,5.95583736946483,5.01063529409626,5.0998664278242,6.02102334934953
-4.1,8.9,19.5,7.2,-12.2,-2.6,6.7,-1.2,5.79909265446053,5.4553211153577,5.64897423816121,5.93489419561959
-4.1,9,19.6,7.2,-12.2,-2.6,6.8,-1.2,5.78996017089725,5.44673737166631,5.64544689764324,5.92425579741453
-2.2,10.1,20.9,8.7,-9.8,-1.7,7.9,-0.7,5.11198778835654,4.79579054559674,5.08759633523238,5.01727983681492
-1.8,11.5,22.6,9.3,-10.1,-1.4,8.6,-0.2,5.40717177146012,4.92725368515721,5.2257466737132,5.33753807970132
