,clim,PC1,PC2
22,CMI,0.073838558,0.939717167
24,PPT_JAS,0.106956228,0.86174188
23,PPT_MJ,0.046174563,0.855731431
21,Tmin_wt,-0.458035082,0.808448437
18,Tmin_at,-0.5763858,0.779722353
17,Tmin,-0.617465462,0.750814308
20,Tmin_sp,-0.723321846,0.666714825
9,NFFD_sp,-0.713792847,0.654876736
11,PAS_sp,0.559302236,0.532001698
10,PAS,0.51965655,0.506410245
19,Tmin_sm,-0.844107679,0.439618328
14,Tave_sp,-0.919276176,0.369505021
8,NFFD_sm,-0.753478242,0.327311094
3,DD5_sp,-0.933502751,0.15829691
16,Tmax_sp,-0.96468212,-0.036924403
5,Eref_sp,-0.937050885,-0.088940713
7,MWMT,-0.928927991,-0.235259246
13,Tave_sm,-0.93883172,-0.235293547
2,DDsub0_sp,0.800896598,-0.477293603
15,Tmax_sm,-0.745949417,-0.593698608
4,Eref_sm,-0.574580734,-0.712785704
6,EXT,-0.524760319,-0.756437928
12,SHM,-0.441024193,-0.782679989
1,CMD_sm,-0.459930865,-0.793902889
25,CMD.total,-0.304985588,-0.825393002
