"","bgc","ss_nospace","suitability","spp","newsuit","mod","outrange","PlotNumber","Species","TotalA","TotalB","NutrientRegime_clean","MoistureRegime_clean","Elevation","SlopeGradient","Aspect","MesoSlopePosition","Latitude","Longitude","SuccessionalStatus","StructuralStage","SiteUnit","newsuit_ord","TotalAB"
"3","ICHxm1","ICHxm1/104",NA,"Py",3,"inputed",NA,"t4984","PINUPON",5,1,"C",2,920,50,233,"UP",50.1326828745556,-119.562792048217,NA,"5",NA,"3",6
"4","ESSFdc2","ESSFdc2/101",NA,"At",3,"inputed",NA,"t4938","POPUTRE",0,0.899999976158142,"C",4,1575,10,4,"MD",50.1927514999595,-119.718726627948,NA,"3b",NA,"3",0.899999976158142
"7","MSdm2","MSdm2/104",NA,"At",3,"inputed",NA,"t4955","POPUTRE",0,5,"C",3,1320,9,20,"CR",49.9569034145047,-119.781225624164,NA,"3b",NA,"3",5
"8","ESSFdc2","ESSFdc2/101",NA,"At",3,"inputed",NA,"t4939","POPUTRE",0,2,"C",4,1580,18,92,"MD",50.192733532722,-119.718725606989,NA,"3b",NA,"3",2
"9","ESSFdc2","ESSFdc2/101",NA,"At",3,"inputed",NA,"t4938a","POPUTRE",0,2,"C",4,1590,11,134,"MD",50.1938442339098,-119.709694515206,NA,"3b",NA,"3",2
"12","IDFdk1","IDFdk1/111",NA,"Fd",2,"inputed",NA,"t49254","PSEUMEN",5,3,"D",5,1020,8,253,"TO",50.3614186569137,-119.962986358206,NA,"6",NA,"2",8
"13","MSdm2","MSdm2/101",NA,"Ac",3,"inputed",NA,"t49227","POPUTRI",0,1.5,"C",4,1500,17,193,"MD",50.0774757160016,-119.644247739483,NA,"4",NA,"3",1.5
"14","IDFdk1","IDFdk1/111",NA,"Fd",2,"inputed",NA,"t49249","PSEUMEN",20,3,"C",5,1090,21,351,"LW",50.2813425227201,-119.923416296204,NA,"6",NA,"2",23
"16","IDFdk1","IDFdk1/111",NA,"Fd",2,"inputed",NA,"t49247","PSEUMEN",20,4,"D",5,1060,8,343,"LW",50.2792831971014,-119.957852260059,NA,"6",NA,"2",24
"17","MSdm2","MSdm2/105",NA,"Fd",3,"inputed",NA,"t49242","PSEUMEN",2,0.100000001490116,"C",4,1210,32,335,"MD",50.340123281438,-119.788250469012,NA,"6",NA,"3",2.10000000149012
"18","IDFdk2","IDFdk2/110",NA,"Pl",3,"inputed",NA,"t49241","PINUCON",2,0,"C",5,1110,5,18,"LV",50.3507622402077,-119.804437304945,NA,"6",NA,"3",2
"20","MSdm2","MSdm2/101",NA,"At",4,"inputed",NA,"t49227","POPUTRE",0,0.100000001490116,"C",4,1500,17,193,"MD",50.0774757160016,-119.644247739483,NA,"4",NA,"4",0.100000001490116
"21","MSdm2","MSdm2/101",NA,"Ac",3,"inputed",NA,"t49225","POPUTRI",0,1,"C",4,1540,22,317,"MD",50.0750523339815,-119.643219791294,NA,"4",NA,"3",1
"22","IDFdk2","IDFdk2/101",NA,"Ac",4,"inputed",NA,"t49176","POPUTRI",0,0.100000001490116,"C",4,1250,19,61,"MD",50.355655595461,-119.781990001988,NA,"5",NA,"4",0.100000001490116
"24","IDFdk2","IDFdk2/101",NA,"Ac",4,"inputed",NA,"t49174","POPUTRI",0,1,"C",4,1250,24,137,"MD",50.382830439042,-119.797747583371,NA,"5",NA,"4",1
"25","MSdm2","MSdm2/101",NA,"At",4,"inputed",NA,"t4916a","POPUTRE",0,0.100000001490116,"C",4,1460,43,105,"MD",49.9100543502209,-119.812824824092,NA,"6",NA,"4",0.100000001490116
"30","MSdm3","MSdm3/01",NA,"Cw",4,"inputed",NA,"t49160","THUJPLI",0,0.5,"C",4,1480,14,258,"MD",50.5223967706739,-119.490446989958,NA,"5",NA,"4",0.5
"32","MSdm3","MSdm3/05",NA,"At",3,"inputed",NA,"t49156","POPUTRE",2,0,"D",5,1500,48,212,"LW",50.5191191906683,-119.49522646342,NA,"6",NA,"3",2
"33","ESSFdc3","ESSFdc3/05",NA,"Fd",3,"inputed",NA,"t49154","PSEUMEN",5,0,"C",5,1510,23,237,"MD",50.5438991560476,-119.55250420898,NA,"6",NA,"3",5
"34","ESSFdc3","ESSFdc3/05",NA,"Fd",3,"inputed",NA,"t49153","PSEUMEN",3,0,"D",5,1570,13,225,"MD",50.5407764092646,-119.554212842654,NA,"6",NA,"3",3
