PlotNumber,SiteUnit,bgc
t4987,ICH xm 1 /104.2,ICH xm 1
t49235,ICH xm 1 /101,ICH xm 1
ko93116,ESSFwh 1 /101,ESSFwh 1
ko93115,ESSFwh 1 /110.2,ESSFwh 1
ko93113,ICH mw 2 /110,ICH mw 2
ko93105,ESSFwh 1 /110.1,ESSFwh 1
ko93104,ESSFwh 1 /110.2,ESSFwh 1
ko93096,ESSFwh 1 /104,ESSFwh 1
ko93085,ESSFwh 3 /111,ESSFwh 3
ko93083,ESSFwh 3 /101,ESSFwh 3
kiK9,IDF xx 2 /104,IDF xx 2
kiK17,IDF xx 2 /111,IDF xx 2
ki9324,IDF xx 2 /112,IDF xx 2
ki9320,IDF xx 2 /111,IDF xx 2
b523342,IDF dm 2 /101,IDF dm 2
b523246,MS  dw   /102,MS  dw
b523244,ESSFdk 1 /102,ESSFdk 1
b523240,ESSFdk 1 /103,ESSFdk 1
b47b7,IDF dm 2 /103,IDF dm 2
b47b6,IDF dm 2 /103,IDF dm 2
b47b5,IDF dm 2 /101,IDF dm 2
b4787,IDF dm 2 /104,IDF dm 2
b4780,IDF dm 2 /103,IDF dm 2
Z812216,ICH dw 1 /101,ICH dw 1
Z812206,ICH dw 1 /101,ICH dw 1
Z812202,ESSFmh   /110,ESSFmh
Z812201,ICH dw 1 /101,ICH dw 1
Z812200,ICH xw   /101,ICH xw
Z812198,ESSFmh   /104,ESSFmh
Z812162,ESSFwh 3 /104.1,ESSFwh 3
Z812061,ICH dw 1 /104,ICH dw 1
Z812060,ICH xw   /111,ICH xw
Z812059,ICH dw 1 /111,ICH dw 1
Z812058,ICH dw 1 /101,ICH dw 1
Z812036,ICH dw 1 /101,ICH dw 1
Z812004,ICH xw   /104,ICH xw
Z812003,ICH xw   /104,ICH xw
Z812002,ICH xw  a/103,ICH xw  a
Z793877,ICH xw   /110,ICH xw
Z783861,ICH xw   /101,ICH xw
YEO23,MH  vh   /101,MH  vh
YEO18,MH  vh   /101,MH  vh
YEO08,MH  vh   /101,MH  vh
Y826801,ESSFmh   /105,ESSFmh
Y826800,ESSFmh   /111,ESSFmh
Y812290,ESSFmh   /101,ESSFmh
Y812288,ESSFmh   /110,ESSFmh
Y812208,ICH xw  a/103,ICH xw  a
Y812207,ICH xw  a/104,ICH xw  a
Y812010,ICH xw  a/103,ICH xw  a
Y812008,ICH xw   /102,ICH xw
Y812006,ICH dw 1 /101,ICH dw 1
Y791388,MS  dm 1 /111.1,MS  dm 1
Y791384,IDF dm 1 /104,IDF dm 1
Y791383,IDF dm 1 /110.1,IDF dm 1
Y791381,IDF dm 1 /111,IDF dm 1
Y791376,IDF dm 1 /111,IDF dm 1
Y791375,IDF xx 1 /104,IDF xx 1
Y791373,IDF dm 1 /101,IDF dm 1
Y791371,IDF xx 1 /101,IDF xx 1
Y791363,IDF dm 1 /101,IDF dm 1
Y791358,IDF dm 1 /103,IDF dm 1
Y791353,IDF dh   /111,IDF dh
Y791352,IDF dh   /110,IDF dh
Y791344,IDF dm 1 /110.1,IDF dm 1
Y791343,IDF dh   /104,IDF dh
Y791338,IDF dm 1 /104,IDF dm 1
Y791332,MS  dm 1 /104,MS  dm 1
Y791331,IDF dm 1 /112,IDF dm 1
Y780446,IDF dh   /104.2,IDF dh
Y780445,IDF xx 1 /104,IDF xx 1
Y780444,IDF dh   /104,IDF dh
Y780440,IDF xx 1 /103,IDF xx 1
Y780435,IDF dm 1 /104,IDF dm 1
Y780432,IDF xx 1 /111,IDF xx 1
Y780427,IDF xx 1 /101,IDF xx 1
Y780426,IDF xx 1 /104,IDF xx 1
Y780425,IDF xx 1 /104,IDF xx 1
Y780424,IDF xx 1 /110,IDF xx 1
Y780419,IDF xx 1 /111,IDF xx 1
Y780416,IDF xx 1 /110,IDF xx 1
Y780414,IDF xx 1 /101,IDF xx 1
Y780407,IDF xx 1 /101,IDF xx 1
Y780388,MS  dm 1 /113,MS  dm 1
Y780343,ICH mk 1 /110,ICH mk 1
Y780342,ICH mk 1 /110,ICH mk 1
Y780337,ICH mk 1 /110,ICH mk 1
Y780336,ICH mk 1 /101,ICH mk 1
Y780334,MS  dm 1 /111.1,MS  dm 1
Y780330,ICH mk 1 /105,ICH mk 1
Y780326,ICH mk 1 /105,ICH mk 1
Y780323,ICH mk 1 /101,ICH mk 1
Y780317,MS  dm 1 /112,MS  dm 1
Y780315,MS  dm 1 /103b,MS  dm 1
Y780312,IDF dm 1 /104,IDF dm 1
Y780311,IDF xx 1 /110,IDF xx 1
Y780306,IDF xx 1 /104,IDF xx 1
Y780304,IDF dh   /104,IDF dh
Y780303,IDF dh   /103,IDF dh
Y780302,IDF xx 1 /111,IDF xx 1
Y770071,ESSFdc 1 /110,ESSFdc 1
Y770069,ESSFdc 1 /111,ESSFdc 1
Y770068,ESSFdc 1 /101,ESSFdc 1
Y770066,ESSFdc 1 /101,ESSFdc 1
Y770065,ESSFdc 1 /110,ESSFdc 1
Y770064,ESSFdc 1 /103,ESSFdc 1
Y770063,ESSFdc 1 /104,ESSFdc 1
Y770062,ESSFdc 1 /110,ESSFdc 1
Y770060,ESSFdc 1 /101,ESSFdc 1
Y770058,ESSFdc 1 /111,ESSFdc 1
Y770051,ICH mk 1 /110,ICH mk 1
Y770033,ESSFdcw  /103,ESSFdcw
Y770029,MS  dm 1 /111.2,MS  dm 1
Y770027,MS  dm 1 /111.1,MS  dm 1
Y770026,MS  dm 1 /112,MS  dm 1
Y770019,ICH mk 1 /105,ICH mk 1
Y770017,MS  dm 1 /112,MS  dm 1
Y770016,MS  dm 1 /101,MS  dm 1
Y770009,MS  dm 1 /111.1,MS  dm 1
Y770008,MS  dm 1 /103b,MS  dm 1
XAI904,ESSFwc 4 /103b,ESSFwc 4
XAI394,ESSFwc 4 /101,ESSFwc 4
X791382,IDF dm 1 /101,IDF dm 1
X791379,IDF dm 1 /110.1,IDF dm 1
X791361,IDF dm 1 /104,IDF dm 1
X791360,IDF dh   /101,IDF dh
X791359,IDF dh   /110,IDF dh
X791346,IDF dm 1 /102,IDF dm 1
X791345,IDF dm 1 /104,IDF dm 1
X791341,IDF dm 1 /102,IDF dm 1
X791337,IDF dm 1 /101,IDF dm 1
X791334,IDF dm 1 /110.1,IDF dm 1
X791317,IDF dm 1 /104,IDF dm 1
X791316,IDF dm 1 /112,IDF dm 1
X791314,IDF dm 1 /101,IDF dm 1
X791313,IDF dm 1 /104,IDF dm 1
X791312,IDF dm 1 /110.1,IDF dm 1
X791311,MS  dm 1 /103a,MS  dm 1
X791310,IDF dm 1 /104,IDF dm 1
X791309,IDF dm 1 /104,IDF dm 1
X791308,IDF dm 1 /110.1,IDF dm 1
X791307,IDF dm 1 /112,IDF dm 1
X791306,IDF dm 1 /101,IDF dm 1
X791304,IDF dm 1 /104,IDF dm 1
X791300,IDF dm 1 /101,IDF dm 1
X791199,IDF dm 1 /104,IDF dm 1
X791195,IDF dm 1 /104,IDF dm 1
X780434,IDF dm 1 /104,IDF dm 1
