PlotNumber,SiteUnit
964124,BG  xw 2 /114
964123,BG  xw 2 /110
964119,BG  xh 3 /110
964116,BG  xw 2 /113
9616843,ESSFxv 2 /08
9616839,ESSFxv 2 /01
9616838,ESSFxv 2 /02
9616837,ESSFxv 2 /06
9616836,ESSFxv 2 /07
9616835,ESSFxv 2 /10
9616834,ESSFxv 2 /01
9616774,ESSFxv 2 /01
95RC016,BG  xw 2 /114
95RC015,BG  xw 2 /111
95RC012,BG  xw 2 /115
95RC002,BG  xw 2 /111
95KI088,IDF xm   /10
95KI086,IDF xm   /10
95KI045,BG  xw 2 /115
95KI031,BG  xh 3 /111
95KI029,BG  xw 2 /115
95KI013,BG  xh 3 /110
95K*081,BG  xw 2 /110
95K*077,BG  xw 2 /113
95K*074,BG  xw 2 /111
95K*071,BG  xw 2 /110
95K*063,BG  xw 2 /115
9523043,BG  xw 2 /114
9523037,BG  xw 2 /110
9523021,BG  xw 2 /110
9489,BG  xw 2 /110
9479,BG  xw 2 /110
9460,BG  xw 2 /115
9452,BG  xw 2 /111
9448,BG  xw 2 /111
9441,BG  xw 2 /111
9439,BG  xw 2 /111
9437,BG  xw 2 /110
9435,BG  xw 2 /114
94213,IDF xm   /10
94202,BG  xw 2 /111
94201,BG  xw 2 /110
94197,BG  xw 2 /111
94191,BG  xw 2 /111
94190,BG  xw 2 /110
94183,BG  xh 3 /110
94176,IDF xm   /10
94147,IDF xm   /10
94139,BG  xw 2 /114
94126,BG  xw 2 /113
94123,BG  xw 2 /111
94122,BG  xw 2 /114
9412,IDF xm   /10
9300374,ESSFxv 2 /01
9300333,ESSFxv 2 /10
9300330,ESSFxv 2 /01
91RC054,ESSFxv 2 /01
91RC052,ESSFxv 2 /01
91RC024,MS  dv   /01
91RC021,MS  dv   /08
91RC019,MS  dv   /09
91RC018,MS  dv   /05
91RC017,MS  dv   /01
91RC016,MS  dv   /01
91RC015,MS  dv   /09
91RC014,MS  dv   /01
91RC013,MS  dv   /03
91RC009,ESSFxv 2 /06
91RC007,ESSFxv 2 /04
91RC006,ESSFxv 2 /01
91RC005,ESSFxv 2 /01
91RC004,ESSFxv 2 /04
91RC003,ESSFxv 2 /07
91RC002,ESSFxv 2 /01
91OS012,IDF dw   /101
91OS011,IDF dw   /103
91OS010,IDF dw   /101
91OS009,IDF dw   /101
91OS008,IDF dw   /104
91OS007,IDF dw   /101
91OS006,IDF dw   /104
91OS005,IDF dw   /101
91OS004,IDF dw   /101
91MK089,ESSFxv 2 /06
91MK077,ESSFxv 2 /07
91MK076,ESSFxv 2 /05
91MK065,ESSFxv 2 /01
91MK060,IDF dw   /103
91MK059,IDF dw   /103
91MK057,IDF dw   /110
91MK056,IDF dw   /101
91MK055,IDF dw   /101
91MK054,ESSFxv 1 /05
91MK053,ESSFxv 1 /01
91MK052,ESSFxv 1 /08
91MK045,MS  dv   /02
91MK044,MS  dv   /07
91MK043,MS  dv   /04
91MK042,MS  dv   /05
91MK041,MS  dv   /06
91MK040,MS  dv   /04
91MK036,ESSFxv 2 /04
91MK035,ESSFxv 2 /01
91MK034,MS  dc 2 /04
91MK033,MS  dc 2 /04
91MK031,MS  dc 2 /05
91MK030,MS  dc 2 /04
91MK029,MS  dc 2 /04
91MK024,MS  dv   /04
91MK023,MS  dv   /01
91MK022,ESSFxv 1 /06
91MK021,ESSFxv 1 /08
91MK020,ESSFxv 1 /06
91MK019,ESSFxv 1 /06
91MK018,ESSFxv 1 /08
91MK017,MS  dc 2 /07
91MK016,MS  dc 2 /07
91MK015,MS  dc 2 /07
91MK013,ESSFxv 1 /08
91MK012,ESSFxv 1 /06
91MK005,ESSFxv 1 /06
91MK004,ESSFxv 1 /06
91MK003,ESSFxv 1 /06
91MK002,ESSFxv 1 /06
91HC018,ESSFxv 2 /01
91HC017,ESSFxv 2 /01
91HC016,MS  dv   /01
91HC015,IDF dw   /105
91HC014,ESSFxv 1 /07
91HC010,MS  dc 2 /01
91HC009,IDF dw   /101
91HC008,ESSFxv 1 /01
91HC007,IDF dw   /101
91HC006,MS  dc 2 /01
91HC004,IDF dw   /101
91HC003,ESSFxv 1 /07
91HC002,ESSFxv 1 /01
90RC037,MS  dc 2 /03
90RC036,MS  dc 2 /02
90RC035,MS  dc 2 /03
90RC034,MS  dc 2 /08
90RC033,MS  dc 2 /07
90RC032,MS  dc 2 /01
90RC028,MS  dc 2 /08
90RC027,MS  dc 2 /02
90RC026,MS  dc 2 /01
90RC020,MS  dc 2 /05
90RC019,MS  dc 2 /01
90RC017,ESSFxv 1 /01
90RC013,ESSFxv 1 /06
90RC012,MS  dc 2 /01
90RC011,ESSFxv 1 /06
90RC010,ESSFxv 1 /01
90RC006,ESSFxv 1 /07
9006M10,MS  dv   /01
9006M09,MS  dv   /05
9006M08,MS  dv   /06
9006M07,MS  dv   /05
9006M06,MS  dv   /04
9006M05,MS  dv   /06
9006M04,MS  dv   /09
9006M03,MS  dv   /01
9006M02,MS  dv   /05
9006M01,MS  dv   /01
9006E05,ESSFxv 1 /07
9006E04,ESSFxv 1 /05
9006E03,ESSFxv 1 /02
9006E02,ESSFxv 1 /09
9006E01,ESSFxv 1 /07
9005M03,MS  dc 2 /07
9005M01,MS  dc 2 /03
9005I08,IDF dw   /104
9005I07,IDF dw   /101
9005I06,IDF dw   /111
9005I04,IDF dw   /110
9005I03,IDF dw   /101
9005I02,IDF dw   /104
9005I01,IDF dw   /102
9005E02,ESSFxv 1 /04
9005E01,ESSFxv 1 /04
9004M09,MS  dc 2 /03
9004M08,MS  dc 2 /01
9004M07,MS  dc 2 /07
9004M06,MS  dc 2 /02
9004M05,MS  dc 2 /03
9004M04,IDF dw   /113
9004M03,MS  dc 2 /01
9004M02,MS  dc 2 /06
9004M01,MS  dc 2 /03
9004I11,IDF dw   /113
9004I10,IDF dw   /101
9004I08,MS  dc 2 /03
9004I07,IDF dw   /112
9004I06,IDF dw   /105
9004I05,IDF dw   /101
9004I04,IDF dw   /101
9004I03,IDF dw   /102
9004E04,ESSFxv 1 /05
9004E03,ESSFxv 1 /05
9004E01,MS  dc 2 /03
9003M9A,MS  dc 2 /05
9003M09,MS  dc 2 /01
9003M08,MS  dc 2 /01
9003M05,MS  dc 2 /07
9003M04,MS  dc 2 /07
9003M03,MS  dc 2 /03
9003M02,MS  dc 2 /07
9003I07,IDF dw   /101
9003I06,IDF dw   /101
9003I05,IDF dw   /111
9003I04,IDF dw   /101
9003E8A,ESSFxv 1 /01
9003E09,ESSFxv 1 /04
9003E08,ESSFxv 1 /04
9003E06,ESSFxv 1 /01
9003E02,ESSFxv 1 /06
9003E01,ESSFxv 1 /06
9001E12,ESSFxv 1 /06
9001E11,ESSFxv 1 /07
9001E10,ESSFxv 1 /06
9001E09,ESSFxv 1 /06
9001E08,ESSFxv 1 /07
9001E07,ESSFxv 1 /01
9001E06,ESSFxv 1 /04
9001E05,ESSFxv 1 /05
9001E04,ESSFxv 1 /06
9001E03,ESSFxv 1 /02
9001E02,ESSFxv 1 /06
9001E01,ESSFxv 1 /06
89GP033,IDF dw   /101
89GP032,IDF dw   /101
89GP018,IDF xm   /08
89GP016,IDF xm   /08
89GP015,IDF xm   /08
89GP014,IDF xm   /03
89GP013,IDF xm   /02
89GP012,IDF xm   /03
89GP010,IDF xm   /09
89GP009,IDF xm   /05
89GP005,IDF xm   /05
89GP004,IDF xm   /07
89GP002,IDF xm   /04
89GP001,IDF xm   /04
88OS006,SBS mc 1 /06
88OS005,SBS mc 1 /06
88OS004,SBS mc 1 /08
88OS003,SBS mc 1 /05
88OS002,SBS mc 1 /05
88OS001,SBS mc 1 /01
88AS009,SBS mc 1 /01
88AS008,SBS mc 1 /01
88AS007,SBS mc 1 /01
88AS006,SBS mc 1 /01
88AS005,SBS mc 1 /06
88AS004,SBS mc 1 /05
88AS003,SBS mc 1 /01
88AS002,SBS mc 1 /01
88AS001,SBS mc 1 /05
8829698,SBS wk 1 /88
8829697,SBS wk 1 /88
87SM051,ICH dk   /02b
87SM050,ICH dk   /01
87SM049,ICH dk   /01
87SM048,ICH dk   /05
87SM047,ICH dk   /01
87SM046,ICH dk   /01
87SM045,ICH dk   /08
87SM044,ICH dk   /06
87SM043,SBS mc 1 /05
87SM042,SBS mc 1 /01
87SM040,SBS mc 1 /03
87SM039,SBS mc 1 /01
87SM036,SBS mc 1 /08
87SM035,SBS mc 1 /01
87SM034,SBS mc 1 /08
87SM033,SBS mc 1 /04
87SM032,SBS mc 1 /08
87SM031,SBS mc 1 /01
87SM030,SBS mc 1 /08
87SM029,SBS mc 1 /04
87RC012,SBS mc 1 /01
87RC011,SBS mc 1 /01
87RC009,SBS mc 1 /05
87RC008,SBS mc 1 /03
87RC007,SBS mc 1 /07
87RC006,SBS mc 1 /04
87RC005,SBS mc 1 /01
87RC004,SBS mc 1 /08
87OS023,ICH dk   /01
87OS022,ICH dk   /02b
87OS021,ICH dk   /03
87OS020,ICH dk   /07
87OS019,ICH dk   /04
87OS018,ICH dk   /02b
87OS017,ICH dk   /08
87OS016,ICH dk   /02b
87OS015,ICH dk   /06
87OS014,ICH dk   /05
87OS013,ICH dk   /01
87OS012,ICH dk   /02b
87OS011,ICH dk   /02a
87OS008,ICH dk   /06
87OS007,ICH dk   /04
87OS006,ICH dk   /01
87OS005,ICH dk   /02a
87OS004,ICH dk   /09
87OS003,ICH dk   /05
87OS002,ICH dk   /02b
87OS001,ICH dk   /01
87CR134,MS  xv   /04-S
87CR133,MS  xv   /04
87CR126,MS  xv   /03
87CR123,MS  xv   /01
87CR122,MS  xv   /03
87CR121,MS  xv   /03
87CR119,MS  xv   /01-S
87CR116,MS  xv   /03
87CR115,MS  xv   /04
87CR114,MS  xv   /03
87CR113,MS  xv   /01
87CR112,MS  xv   /02
87CR109,MS  xv   /04-S
87CR106,MS  xv   /04-S
87CR105,MS  xv   /01
87CR103,MS  xv   /04-S
87CR100,MS  xv   /01-S
87CR099,MS  xv   /01-S
87CR098,MS  xv   /01-S
87CR097,MS  xv   /01
87CR092,MS  xv   /01-S
87CR088,MS  xv   /04
87CR087,MS  xv   /01
87CR084,MS  xv   /04
87CR082,MS  xv   /04-S
87CR065,MS  xv   /01
87CR064,MS  xv   /01
87CR063,MS  xv   /01
87CR062,MS  xv   /01
87CR047,MS  xv   /04-S
87CR046,MS  xv   /04-S
87CR043,MS  xv   /04-S
87CR040,MS  xv   /04-S
87CR039,MS  xv   /04-S
87CR035,MS  xv   /01
87CR032,MS  xv   /01
86RC048,SBPSxc   /02
86RC047,SBPSxc   /03
86RC046,SBPSxc   /01
86RC045,SBPSxc   /01
86RC044,SBPSxc   /02
86RC042,SBPSxc   /07
86RC041,SBPSxc   /01
86RC040,SBPSxc   /01
86RC038,MS  xv   /04
86RC037,SBPSxc   /04
86RC036,SBPSxc   /07
86RC035,SBPSdc   /03
86RC034,SBPSdc   /06
86RC032,SBPSdc   /01
86RC030,SBPSdc   /01
86RC029,SBPSdc   /03
86RC028,SBPSdc   /03
86RC027,SBPSxc   /02
86RC026,SBPSxc   /06
86RC025,SBPSxc   /03
86RC024,SBPSxc   /04
86RC022,SBPSxc   /02
86RC021,SBPSxc   /02
86RC019,MS  xv   /01
86RC018,MS  xv   /02
86RC017,MS  xv   /01
86RC016,MS  xv   /07
86RC015,SBPSxc   /04
86RC014,SBPSxc   /02
86RC012,SBPSxc   /06
86RC011,SBPSxc   /03
86RC010,SBPSxc   /07
86RC009,ICH dk   /09
86RC006,ICH dk   /04
86RC002,ICH dk   /03
86OS083,IDF xm   /04
86OS080,MS  xv   /01
86OS079,MS  xv   /01
86OS078,MS  xv   /04
86OS076,MS  xv   /01
86OS075,SBPSxc   /01
86OS060,SBPSdc   /05
86OS059,SBPSdc   /07
86OS058,SBPSdc   /07
86OS057,SBPSdc   /05
86OS054,SBPSdc   /08
86OS053,SBPSdc   /05
86OS052,SBPSdc   /01
86OS050,SBPSdc   /07
86OS049,SBPSdc   /03
86OS048,SBPSdc   /03
86OS047,SBPSdc   /01
86OS046,SBPSdc   /05
86OS045,SBPSxc   /01
86OS044,SBPSxc   /03
86OS043,SBPSxc   /04
86OS042,SBPSxc   /01
86OS041,SBPSxc   /01
86OS040,SBPSxc   /04
86OS038,SBPSxc   /01
86OS037,SBPSxc   /01
86OS036,SBPSxc   /02
86OS035,SBPSxc   /02
86OS031,IDF dk 4 /06
86OS030,IDF dk 4 /01
86OS028,IDF dk 4 /05
86OS021,IDF dk 4 /09
86OS019,IDF xm   /08
86OS018,IDF xm   /09
86OS017,IDF dk 4 /09
86OS016,IDF dk 4 /05
86OS011,IDF dk 4 /04
86OS010,IDF dk 4 /01
86OS009,IDF xm   /03
86OS006,IDF dk 4 /03
86OS005,IDF dk 4 /05
86OS004,IDF dk 4 /10
86OS001,IDF dk 4 /09
86MW084,MS  xv   /01
86MW083,MS  xv   /01
86MW082,MS  xv   /04
86MW081,MS  xv   /02
86MW080,MS  xv   /06
86MW078,MS  xv   /02
86MW077,SBPSdc   /06
86MW076,MS  xv   /01
86MW075,MS  xv   /04
86MW073,SBPSdc   /03
86MW072,SBPSdc   /01
86MW071,SBPSdc   /01
86MW070,SBPSdc   /07
86MW069,SBPSdc   /01
86MW066,IDF dk 4 /02
86MW065,IDF dk 4 /02
86MW064,IDF dk 4 /09
86MW063,IDF dk 4 /01
86MW061,IDF dk 4 /06
86MW060,IDF xm   /01
86MW059,IDF xm   /04
86MW058,IDF xm   /02
86MW057,IDF xm   /05
86MW056,SBPSdc   /03
86MW055,SBPSdc   /05
86MW054,SBPSdc   /07
86MW053,SBPSdc   /02
86MW052,SBPSdc   /08
86MW051,MS  xv   /06
86MW050,MS  xv   /02
86MW049,MS  xv   /01
86MW046,SBPSdc   /01
86MW045,SBPSdc   /05
86MW044,SBPSdc   /01
86MW043,SBPSdc   /01
86MW042,SBPSdc   /01
86MW041,IDF dk 4 /10
86MW040,IDF dk 4 /02
86MW039,IDF dk 4 /09
86MW037,IDF dk 4 /04
86MW036,IDF xm   /05
86MW034,IDF xm   /05
86MW033,IDF xm   /03
86MW032,IDF xm   /02
86MW030,IDF xm   /02
86MW027,SBPSdc   /03
86MW026,SBPSdc   /07
86MW025,SBPSdc   /03
86MW024,SBPSdc   /07
86MW023,MS  xv   /02
86MW022,MS  xv   /01
86MW021,MS  xv   /01
86MW020,MS  xv   /01
86MW019,MS  xv   /08
86MW018,MS  xv   /06
86MW011,IDF dk 4 /10
86MW010,IDF dk 4 /09
86MW009,IDF dk 4 /10
86MW008,IDF dk 4 /08
86MW007,IDF dk 4 /01
86MW006,IDF dk 4 /01
86MW005,IDF dk 4 /08
86MW004,IDF dk 4 /01
86MW003,IDF dk 4 /02
86MW002,IDF dk 4 /02
86MW001,IDF dk 4 /05
85RC123,IDF dw   /101
85RC120,SBPSxc   /01
85RC117,SBPSxc   /02
85RC116,SBPSxc   /01
85RC114,SBPSxc   /01
85RC113,SBPSxc   /04
85RC112,SBPSxc   /01
85RC111,SBPSxc   /01
85RC110,SBPSdc   /01
85RC109,SBPSdc   /05
85RC108,SBPSdc   /01
85RC107,SBPSdc   /01
85RC105,SBPSdc   /01
85RC102,MS  xv   /06
85RC101,SBPSdc   /03
85RC100,SBPSdc   /02
85RC099,SBPSdc   /02
85RC097,SBPSdc   /01
85RC095,SBPSdc   /01
85RC094,SBPSdc   /06
85RC092,SBPSxc   /01
85RC090,SBPSxc   /01
85RC078,MS  xv   /01
85RC076,SBPSxc   /01
85RC075,SBPSxc   /04
85RC074,SBPSxc   /01
85RC072,SBPSxc   /02
85RC069,SBPSxc   /01
85RC068,MS  xv   /04
85RC066,ESSFxv 1 /01
85RC065,SBPSxc   /02
85RC064,SBPSxc   /06
85RC063,SBPSxc   /02
85RC062,MS  xv   /01
85RC060,MS  xv   /01
85RC059,MS  xv   /07
85RC058,MS  xv   /06
85RC056,MS  xv   /03
85RC055,MS  xv   /01
85RC054,MS  xv   /06
85RC053,MS  xv   /01
85RC052,ESSFxv 1 /06
85RC051,MS  xv   /04
85RC050,MS  xv   /04
85RC049,SBPSxc   /02
85RC048,MS  xv   /04
85RC046,ESSFxv 1 /03
85RC045,MS  xv   /06
85RC038,SBPSdc   /03
85RC035,MS  xv   /01
85RC034,MS  xv   /04
85RC033,MS  xv   /08
85RC032,MS  xv   /01
85RC031,MS  xv   /01
85RC024,MS  xv   /01
85RC022,MS  xv   /01
85RC018,SBPSxc   /01
85RC017,SBPSxc   /01
85RC016,SBPSxc   /01
85RC015,SBPSxc   /01
85RC014,SBPSdc   /06
85RC013,SBPSdc   /01
85RC012,MS  xv   /06
85RC010,SBPSdc   /02
85RC009,SBPSdc   /01
85RC005,SBPSxc   /02
85RC004,SBPSxc   /01
85OS083,ESSFxv 1 /01
85OS082,IDF dk 4 /01
85OS078,ESSFxv 1 /01
85OS077,MS  xv   /04
85OS076,MS  xv   /04
85OS075,MS  xv   /04
85OS074,ESSFxv 1 /01
85OS073,SBPSxc   /02
85OS071,MS  xv   /04
85OS069,SBPSxc   /01
85OS068,SBPSxc   /01
85OS067,SBPSxc   /02
85OS066,SBPSxc   /01
85OS064,SBPSxc   /01
85OS061,MS  xv   /07
85OS060,SBPSxc   /01
85OS059,MS  xv   /01
85OS057,MS  xv   /01
85OS055,MS  xv   /06
85OS054,SBPSxc   /02
85OS052,SBPSxc   /03
85OS051,IDF dk 4 /05
85OS050,MS  xv   /01
85OS049,SBPSxc   /03
85OS048,SBPSxc   /02
85OS046,SBPSxc   /02
85OS045,SBPSxc   /03
85OS044,SBPSxc   /01
85OS043,SBPSxc   /02
85OS042,SBPSxc   /01
85OS041,SBPSxc   /02
85OS039,SBPSxc   /06
85OS038,SBPSxc   /03
85OS037,MS  xv   /04
85OS036,MS  xv   /04
85OS035,IDF dk 4 /01
85OS034,IDF dk 4 /03
85OS033,IDF dk 4 /01
85OS032,IDF dk 4 /07
85OS030,IDF dk 4 /09
85OS029,MS  xv   /05
85OS028,MS  xv   /02
85OS025,SBPSxc   /01
85OS024,SBPSxc   /02
85OS022,SBPSxc   /03
85OS019,IDF dw   /103
85OS015,IDF dk 4 /01
85OS014,IDF dw   /103
85OS013,IDF dk 4 /08
85OS012,IDF dk 4 /10
85OS009,IDF dk 4 /01
85OS008,IDF dk 4 /09
84RC157,MS  xv   /06
84RC156,MS  xv   /01
84RC141,MS  xv   /01
84RC137,MS  xv   /08
84RC133,MS  xv   /04
84RC107,SBPSxc   /01
84RC106,MS  xv   /06
84RC105,MS  xv   /06
84RC103,ESSFxv 1 /06
84RC099,MS  xv   /05
84RC073,MS  xv   /01
84OS068,IDF xm   /01
84OS067,IDF xm   /08
84OS066,IDF xm   /01
84OS065,IDF xm   /01
84OS063,IDF xm   /08
84OS060,IDF xm   /01
84OS059,IDF xm   /06
84OS058,IDF xm   /01
84OS057,IDF xm   /08
84OS056,IDF xm   /08
84OS054,IDF xm   /01
84OS052,IDF dk 4 /01
84OS051,IDF xm   /03
84OS049,IDF xm   /01
84OS048,IDF xm   /01
84OS047,IDF dk 4 /01
84OS045,IDF dk 4 /01
84OS044,IDF xm   /01
84OS042,MS  xv   /06
84OS041,MS  xv   /01
84OS034,IDF xm   /01
84OS032,IDF dk 4 /01
84OS031,IDF xm   /01
84OS025,IDF xm   /01
84OS011,IDF xm   /01
84OS010,IDF xm   /01
84OS008,IDF xm   /01
84OS004,IDF xm   /01
84OS003,IDF xm   /01
84OS002,IDF xm   /01
84OS001,IDF xm   /01
8429037,SBS dw 2 /07
8429036,SBS dw 2 /07
8417556,SBS mc 3 /03
8417555,SBS mc 3 /06
8417552,SBS mc 3 /04
8417551,SBS mc 3 /02
8417549,SBS mc 3 /05
8417548,SBS mc 3 /08
8417546,SBS mc 3 /07
8417544,SBS mc 3 /05
8417537,SBS mc 3 /07
8417536,SBS mc 3 /08
8406724,SBS mc 3 /07
8406723,SBS mc 3 /03
8406722,SBS mc 3 /05
8406721,SBS mc 3 /05
8406669,SBS mc 3 /07
8406668,SBS mc 3 /01
8406667,SBS mc 3 /05
8406666,SBS mc 3 /02
8406665,SBS mc 3 /08
8406664,SBS mc 3 /08
8406653,SBS mc 3 /05
8406652,SBS mc 3 /01
8406651,SBS mc 3 /08
8406650,SBS mc 3 /07
8406649,SBS mc 3 /04
8406648,SBS mc 3 /07
8406647,SBS mc 3 /04
8406646,SBS mc 3 /08
8406645,SBS mc 3 /04
8406644,SBS mc 3 /05
8406643,SBS dw 2 /06
8406642,SBS dw 2 /08
8406639,SBS mc 3 /03
8406638,SBS mc 3 /03
8406637,SBS mc 3 /08
8317533,SBS dw 2 /11
8317532,SBS dw 2 /08
8306710,SBS mc 3 /01
8306708,SBS mc 3 /07
8306705,SBS mc 3 /01
8306704,SBS mc 3 /01
8306703,SBS mc 3 /08
8306702,SBS mc 3 /06
8306701,SBS mc 3 /04
8306699,SBS mc 3 /01
8306693,SBS dw 2 /11
8306692,SBS mc 3 /03
8306688,SBS dw 2 /10
8306687,SBS dw 2 /01
8306686,SBS dw 2 /08
8306685,SBS dw 2 /06
8306682,SBS mc 3 /01
8306680,SBS mc 3 /07
8306679,SBS mc 3 /04
8306678,SBS mc 3 /01
8306676,SBS dw 2 /01
8306673,SBS dw 2 /07
8306672,SBS dw 2 /10
8306671,SBS dw 2 /08
8306564,SBS dw 2 /01
8306563,SBS dw 2 /01
8306562,SBS dw 2 /01
8306560,SBS dw 2 /01
82OS035,SBPSxc   /01
82OS034,MS  xv   /01
82OS033,MS  xv   /05
82OS032,MS  xv   /07
82OS031,MS  xv   /05
82OS022,IDF dk 4 /01
82OS021,IDF dk 4 /01
82OS019,IDF dk 4 /01
82OS016,MS  xv   /07
82OS015,MS  xv   /05
82OS003,SBS mc 1 /01
82OS001,SBS mc 1 /04
8211517,SBS dw 2 /06
8211516,SBS dw 2 /05
8211515,SBS dw 2 /01
8211514,SBPSmk   /01
8211504,SBPSmk   /04
8211502,SBPSmk   /01
8211082,SBS dw 2 /06
8211080,SBS dw 2 /06
8211079,SBS dw 2 /08
8211078,SBS dw 2 /01
8211077,SBPSmk   /01
8211076,SBS dw 2 /10
8211075,SBS dw 2 /01
8211074,SBS dw 2 /01
8211072,SBS dw 2 /06
8211071,SBS dw 2 /08
8211070,SBS dw 2 /01
8211069,SBS dw 2 /11
8211068,SBS dw 2 /06
8211067,SBS dw 2 /06
8211065,SBS dw 2 /01
8211064,SBS dw 2 /05
8211061,SBPSmk   /06
8211060,SBPSmk   /01
8211059,SBS dw 2 /05
8211058,SBS dw 2 /01
8211057,SBS dw 2 /01
8211056,SBS dw 2 /04
8211055,SBS dw 2 /06
8211053,SBPSmk   /08
8211052,SBS dw 2 /06
8211051,SBS dw 2 /10
8211050,SBS dw 2 /09
8211049,SBS dw 2 /06
8211048,SBS dw 2 /08
8211047,SBS dw 2 /04
8211046,SBS dw 2 /05
8211044,SBS dw 2 /01
8211043,SBS dw 2 /09
8211042,SBS dw 2 /07
8211041,SBS dw 2 /03
8211040,SBS dw 2 /08
8211039,SBS dw 2 /07
8211038,SBS dw 2 /04
8211037,SBS dw 2 /01
8211036,SBS dw 2 /11
8211035,SBS dw 2 /01
8211034,SBS dw 2 /04
8211033,SBS dw 2 /08
8211030,SBPSmk   /02
8211029,SBS dw 2 /07
8211028,SBS dw 2 /01
8211027,SBPSmk   /04
8211025,SBPSmk   /08
8211024,SBPSmk   /01
8211023,SBS dw 2 /04
8211022,SBS dw 2 /09
8211021,SBS dw 2 /01
8211020,SBS dw 2 /01
8211019,SBS dw 2 /11
8211018,SBS dw 2 /03
8211017,SBS dw 2 /01
8211016,SBS dw 2 /08
8211015,SBS dw 2 /06
8211013,SBS dw 2 /08
8211011,SBS dw 2 /02
8211010,SBS dw 2 /01
8211009,SBS dw 2 /01
8211008,SBS dw 2 /01
8211005,SBS dw 2 /08
8206641,SBS wk 1 /05
8206640,SBS wk 1 /06
8206608,SBS wk 1 /11
8206605,SBS wk 1 /02
8206604,SBS wk 1 /03
8206603,SBS wk 1 /06
8206601,SBS wk 1 /01
8206598,SBS wk 1 /11
8206597,SBS wk 1 /01
8206595,SBS wk 1 /03
8206594,SBS wk 1 /11
8206592,SBS wk 1 /09
8206589,SBS wk 1 /01
8206584,SBS wk 1 /06
8206581,SBS wk 1 /01
8206580,SBS wk 1 /09
8206575,SBS wk 1 /03
8206554,SBS wk 1 /08
8206553,SBS wk 1 /07
8206552,SBS wk 1 /06
8206549,SBS wk 1 /03
8206548,SBS wk 1 /09
8206547,SBS wk 1 /02
8206546,SBS wk 1 /06
8206545,SBS wk 1 /01
8206544,SBS wk 1 /06
8206529,SBS wk 1 /03
8206527,SBS wk 1 /06
8206526,SBS wk 1 /01
8206525,SBS wk 1 /06
8206524,SBS wk 1 /01
8206523,SBS wk 1 /03
8206522,SBS wk 1 /10
8206521,SBS wk 1 /03
8206520,SBS wk 1 /05
8206519,SBS dw 2 /08
8206515,SBS wk 1 /01
