PlotNumber,SiteUnit
VRI666,IDF dw   /101
VRI638,IDF dw   /105
TS2148,SBS mm   /03
TS2144,SBS mm   /01
TS21291,ICH mw 3 /07
TS21262,ICH mw 3 /04
TS21261,ICH mw 3 /04
TS2125,ICH mw 3 /01
TS2120,ICH mw 3 /04
TS2116,SBS mm   /06
TS2109,ICH mw 3 /07
TS2108,ICH mw 3 /04
TS2070,SBS mm   /01
REC5024,ICH mw 3 /08
REC5000,ICH mw 3 /05
REC4202,SBS mm   /02
REC4200,SBS mm   /04
REC4199,SBS mm   /01
REC4198,SBS mm   /04
REC4196,SBS mm   /03
REC4195,SBS mm   /05
REC4194,SBS mm   /02
REC4192,SBS mm   /01
REC4191,SBS mm   /05
REC4190,SBS mm   /06
REC4189,SBS mm   /06
REC4187,SBS mm   /04
REC4182,SBS mm   /06
REC4181,SBS mm   /06
REC4173,SBS mm   /08
REC4101,ICH mw 3 /03
REC4076,ICH mw 3 /07
REC4047,ICH mw 3 /07
REC4016,ICH mw 3 /04
REC3438,ICH mw 3 /02
REC3437,ICH mw 3 /02
REC3364,ICH mw 3 /03
REC3362,SBS mm   /06
REC3343,ICH mw 3 /04
REC3342,ICH mw 3 /03
REC3332,ICH mw 3 /07
REC3330,ICH mw 3 /04
REC3094,SBS mm   /08
REC3081,SBS mm   /08
REC3079,SBS mm   /08
R304782,IDF xm   /10
R205782,BG  xw 2 /115
R105782,BG  xw 2 /115
R103782,IDF xm   /10
H000036,ESSFwc 3 /01
H000035,ESSFwc 3 /01
H000034,ESSFwc 3 /01
H000028,ESSFwc 3 /01
H000026,ESSFwc 3 /01
H000020,ESSFwc 3 /01
H000006,ESSFwc 3 /01
BAEZ020,MS  xv   /04
BAEZ019,MS  xv   /01
BAEZ018,MS  xv   /01
BAEZ014,MS  xv   /01
BAEZ010,MS  xv   /02
BAEZ009,MS  xv   /01
BAEZ008,MS  xv   /01-S
BAEZ004,MS  xv   /01-S
BAEZ003,MS  xv   /01
BAEZ002,MS  xv   /01
9803285,ESSFxv 2 /01
9803283,ESSFxv 2 /10
9803282,ESSFxv 2 /01
9803281,ESSFxv 2 /07
9803280,ESSFxv 2 /04
9803253,ESSFxv 2 /09
9803252,ESSFxv 2 /07
9801382,IDF dw   /103
9801380,IDF dw   /Fm02
9801379,IDF dw   /104
9800438,ESSFxv 2 /10
9800437,ESSFxv 2 /06
9800434,ESSFxv 2 /01
9800433,ESSFxv 2 /01
9800432,ESSFxv 2 /01
9800431,ESSFxv 2 /01
9800423,ESSFxv 2 /06
9800038,ESSFxv 2 /05
96RC007,IDF xm   /10
96RC005,BG  xh 3 /111
96RC002,BG  xh 3 /111
96KI002,BG  xh 3 /111
9650936,ESSFxv 2 /05
9650935,ESSFxv 2 /05
964195,BG  xw 2 /114
964171,BG  xw 2 /111
964159,BG  xw 2 /115
964152,BG  xw 2 /111
