"","ss_nospace","bgc","edatope"
"1","ICHwk1/101","ICHwk1","101"
"2","ICHwk1/110","ICHwk1","110"
"3","MSdw/102","MSdw","102"
"4","ESSFmh/110","ESSFmh","110"
"5","ESSFmh/104","ESSFmh","104"
"6","ICHdw1/111","ICHdw1","111"
"7","ICHdw1/101","ICHdw1","101"
"8","MHvh/101","MHvh","101"
"9","ESSFmh/105","ESSFmh","105"
"10","ESSFmh/101","ESSFmh","101"
"11","IDFdm1/110.1","IDFdm1","110.1"
"12","IDFdm1/101","IDFdm1","101"
"13","MSdm1/104","MSdm1","104"
"14","IDFdh/104.2","IDFdh","104.2"
"15","ICHmk1/110","ICHmk1","110"
"16","ICHmk1/101","ICHmk1","101"
"17","MSdm1/111.1","MSdm1","111.1"
"18","ICHmk1/105","ICHmk1","105"
"19","MSdm1/112","MSdm1","112"
"20","MSdm1/103","MSdm1","103"
"21","MSdm1/111.2","MSdm1","111.2"
"22","MSdm1/101","MSdm1","101"
"23","ESSFdc2/106","ESSFdc2","106"
"24","MSdm1/110","MSdm1","110"
"25","ESSFdc2/105","ESSFdc2","105"
"26","MSdm1/113","MSdm1","113"
"27","ESSFwm4/103.1","ESSFwm4","103.1"
"28","CWHms4/112","CWHms4","112"
"29","CWHxm3/103","CWHxm3","103"
"30","CWHds1/102.2","CWHds1","102.2"
"31","CWHds1/111","CWHds1","111"
"32","CWHds1/101.2","CWHds1","101.2"
"33","CWHds1/101.1","CWHds1","101.1"
"34","CWHms2/103","CWHms2","103"
"35","CWHms1/112","CWHms1","112"
"36","CWHms2/101","CWHms2","101"
"37","CWHvm1/110","CWHvm1","110"
"38","CWHvm1/101","CWHvm1","101"
"39","CWHvh1/104","CWHvh1","104"
"40","CWHvm2/111.2","CWHvm2","111.2"
"41","CWHvm1/111.1","CWHvm1","111.1"
"42","CWHvm2/111.1","CWHvm2","111.1"
"43","CWHvh1/102","CWHvh1","102"
"44","CWHvm2/101","CWHvm2","101"
"45","CWHvm2/115","CWHvm2","115"
"46","CWHvh1/113","CWHvh1","113"
"47","CWHvh1/101","CWHvh1","101"
"48","CWHvm1/105","CWHvm1","105"
"49","CWHvm1/112.1","CWHvm1","112.1"
"50","CWHvm1/103","CWHvm1","103"
"51","CWHvm2/110","CWHvm2","110"
"52","CWHvm1/111.2","CWHvm1","111.2"
"53","CWHvm2/105","CWHvm2","105"
"54","MHmm1/101","MHmm1","101"
"55","CWHvm2/112.1","CWHvm2","112.1"
"56","CWHvm1/116","CWHvm1","116"
"57","MSdw/101","MSdw","101"
"58","MSdw/104","MSdw","104"
"59","MSdk/110","MSdk","110"
"60","CWHxm2/103","CWHxm2","103"
"61","CWHvm2/102","CWHvm2","102"
"62","CWHxm2/110","CWHxm2","110"
"63","CWHxm2/112.1","CWHxm2","112.1"
"64","CWHxm2/101","CWHxm2","101"
"65","CWHvm1/104","CWHvm1","104"
"66","CWHvm1/112.2","CWHvm1","112.2"
"67","CWHxm3/104","CWHxm3","104"
"68","ESSFmw1/101.1","ESSFmw1","101.1"
"69","CWHxs/101.1","CWHxs","101.1"
"70","CWHms3/111","CWHms3","111"
"71","MHmm2/101","MHmm2","101"
"72","CWHms1/110","CWHms1","110"
"73","CWHds1/110","CWHds1","110"
"74","CWHxm3/101","CWHxm3","101"
"75","CWHms1/101","CWHms1","101"
"76","CWHds1/104","CWHds1","104"
"77","MHmm2/105","MHmm2","105"
"78","IDFww1/101.1","IDFww1","101.1"
"79","CWHms3/101","CWHms3","101"
"80","IDFww1/104","IDFww1","104"
"81","MHmm2/110","MHmm2","110"
"82","CWHms2/110","CWHms2","110"
"83","CWHvm3/111.2","CWHvm3","111.2"
"84","CWHvh2/105","CWHvh2","105"
"85","CDFmm/102","CDFmm","102"
"86","CWHvm4/101","CWHvm4","101"
"87","CWHvm3/101","CWHvm3","101"
"88","CWHmm2/101","CWHmm2","101"
"89","CWHms3/102","CWHms3","102"
"90","CWHvm3/111.1","CWHvm3","111.1"
"91","CWHmm2/112","CWHmm2","112"
"92","CWHxm2/104","CWHxm2","104"
"93","CWHvh2/114","CWHvh2","114"
"94","MHmm1/111","MHmm1","111"
"95","MHvh/111","MHvh","111"
"96","IDFdm1/110.2","IDFdm1","110.2"
"97","CWHms2/111","CWHms2","111"
"98","CWHxm1/101","CWHxm1","101"
"99","CWHvm2/112.2","CWHvm2","112.2"
"100","MSdk/105","MSdk","105"
"101","MSdk/101","MSdk","101"
"102","ICHwk1/104","ICHwk1","104"
"103","ICHdm/110","ICHdm","110"
"104","PPxh1/104","PPxh1","104"
"105","IDFxh1/101","IDFxh1","101"
"106","PPxh1/101","PPxh1","101"
"107","PPxh1/111","PPxh1","111"
"108","MHmm2/112","MHmm2","112"
"109","CWHms2/102","CWHms2","102"
"110","ESSFdh1/101","ESSFdh1","101"
"111","CWHxm3/110","CWHxm3","110"
"112","CWHxm3/111","CWHxm3","111"
"113","CWHxm2/102.1","CWHxm2","102.1"
"114","CWHvh2/101","CWHvh2","101"
"115","IDFdk2/101","IDFdk2","101"
"116","ICHxm1/110","ICHxm1","110"
"117","ESSFdc2/101","ESSFdc2","101"
"118","ICHmk1/104","ICHmk1","104"
