SMRLevel,CMD.min,CMD.max,aSMR
0,0,0,6
0,1,200,5
0,201,300,4.5
0,301,400,4
0,401,500,3.5
0,501,600,3
0,601,700,2.5
0,701,800,2
0,801,900,1.5
0,901,1000,1
0,1001,1100,0.5
0,1101,9999,0
5,0,0,7
5,1,50,6.5
5,51,125,6
5,1126,200,5.5
5,201,275,5
5,276,350,4.5
5,351,375,4
5,376,400,3.5
5,401,450,3
5,451,500,2.5
5,501,550,2
5,551,625,1.5
5,626,9999,1
6,0,5,8
6,6,25,7.5
6,26,75,7
6,76,100,6.5
6,101,150,6
6,151,200,5.5
6,201,225,5
6,226,250,4.5
6,251,300,4
6,301,350,3.5
6,351,9999,3
7,0,75,8
7,76,100,7.5
7,101,125,7
7,126,150,6.5
7,151,175,6
7,176,200,5.5
7,201,250,5
7,251,275,4.5
7,276,9999,4
