"","spp","SS_NoSpace","newfeas","abund"
"45","Cw","SBSmw/01","4",0.352941176470588
"46","Ep","BWBSmk/104","4",0.250793647434976
"47","Ep","BWBSmw/103","4",0.411764705882353
"48","Ep","BWBSmw/104","4",0.0526315789473684
"49","Ep","IDFxh1/101","4",0.122448979591837
"50","Ep","IDFxh1/110","4",1.275
"51","Ep","SBSdh1/04","4",1
"52","Ep","SBSmk2/06","4",1
"53","Ep","SBSvk/07","4",1
"54","Ep","SBSwk1/03","4",1.09090909090909
"55","Fd","ESSFdc2/101","4",0.379310344827586
"56","Fd","ESSFwc2/02","4",4
"57","Fd","ICHmw2/112","4",4.75
"58","Fd","ICHmw3/08","4",5
"59","Fd","ICHmw5/112","4",0.5
"60","Fd","IDFdk1/111","4",12.625
"61","Fd","SBSdw3/07","4",4.16666666666667
"62","Fd","SBSwk1/06","4",0.821428571428571
"63","Fd","SBSwk3/02","4",15
"64","Hm","CWHvh3/101a","4",1.63593749981374
"65","Hm","CWHvh3/101b","4",0.535714285714286
"66","Hm","CWHvh3/101c","4",0.555555555555556
"67","Hm","CWHvh3/115","4",3.83636362715201
"68","Hm","CWHwh1/101a","4",0.276923076923077
"69","Hm","CWHwh1/110a","4",1
"70","Hm","CWHwh1/110b","4",2
"71","Hm","CWHwh1/116","4",1.5
"72","Hm","CWHwh1/118","4",1.4
"73","Hm","MHwh/101a","4",23.9090909090909
"74","Hm","MHwh/101b","4",19.8
"75","Hw","CWHvh3/103.1","4",20.4
"76","Hw","CWHvh3/103.2","4",1.04166666666667
"77","Hw","CWHwh1/103.1","4",2.5
"78","Hw","ESSFdh1/101","4",3.89166666567326
"79","Hw","ESSFwc4/103a","4",0.666666666666667
"80","Hw","ESSFwc4/103b","4",0.125
"81","Hw","ESSFwh1/103","4",2.41666666666667
"82","Hw","ICHmk4/101","4",0.266666666666667
"83","Hw","MHwh/101a","4",23.5454545454545
"84","Hw","MHwh/101b","4",21.2
"85","Hw","SBSmc2/01","4",1.43650793650794
"86","Hw","SBSvk/01","4",0.62962962962963
"87","Hw","SBSwk1/05","4",6.4
"88","Lw","ESSFmh/102","4",2.25
"89","Lw","ICHdw4/101","4",3.84210526315789
"90","Lw","ICHdw4/104","4",12
"91","Lw","IDFxh1/110","4",1.35
"92","Lw","IDFxx1/110","4",2.5
"93","Pl","BWBSmk/102","4",17.5714285714286
"94","Pl","CWHwh2/111","4",2
"95","Pl","ESSFdk2/111","4",3.07692307692308
"96","Pl","ESSFmh/110","4",1.94736842105263
"97","Pl","ESSFwcw/103","4",0.166666666666667
"98","Pl","ESSFwm4/110","4",0.388888888888889
"99","Pl","ICHxm1/103","4",1
"100","Pl","IDFdk2/110","4",1.875
"101","Pl","IDFxh1/101","4",0.816326530612245
"102","Py","ICHxm1/104.1","4",0.266666666666667
"103","Py","IDFdk1/104","4",0.1
"104","Sb","BWBSmk/102","4",0.357142857142857
"105","Sb","BWBSmw/103","4",1.23529411764706
"106","Sb","BWBSmw/111","4",2.76190476190476
"107","Sb","BWBSwk1/102","4",20
"108","Sb","BWBSwk1/103","4",5
"109","Sb","BWBSwk1/110","4",2.33333333333333
"110","Sb","BWBSwk2/101","4",1.75
"111","Sb","BWBSwk2/104","4",14.0909090909091
"112","Sb","SBSmk2/01","4",0.545454545454545
"113","Sb","SBSmk2/06","4",18
"114","Se","BWBSdk/101","4",1.43076923076923
"115","Se","BWBSdk/110","4",5.28571428571429
"116","Se","BWBSmw/111","4",3.38095238095238
"117","Se","BWBSwk1/101","4",1.375
"118","Se","BWBSwk1/110","4",11.8333333333333
"119","Se","BWBSwk2/101","4",11.8333333333333
"120","Se","BWBSwk2/103","4",6.36363636363636
"121","Se","BWBSwk2/110","4",12
"122","Se","BWBSwk2/111","4",2.875
"123","Se","ESSFdc1/101","4",13.625
"124","Se","ESSFdc1/102","4",3
"125","Se","ESSFdc1/103","4",4.66666666666667
"126","Se","ESSFdc1/104","4",7.76923076923077
"127","Se","ESSFdc1/110","4",16.6
"128","Se","ESSFdc1/111","4",15.0416666666667
"129","Se","ESSFdc1/112","4",25
"130","Se","ESSFdc2/101","4",15.551724137931
"131","Se","ESSFdc2/102","4",1.75
"132","Se","ESSFdc2/103","4",4
"133","Se","ESSFdc2/104","4",0.833333333333333
"134","Se","ESSFdc2/110","4",23.44
"135","Se","ESSFdc2/111","4",18
"136","Se","ESSFdcw/101","4",8
"137","Se","ESSFdcw/103","4",8.88888888888889
"138","Se","ESSFdcw/110","4",17.7142857142857
"139","Se","ESSFdh1/101","4",17.5
"140","Se","ESSFdh1/103","4",2.16666666666667
"141","Se","ESSFdh1/104","4",8.83333333333333
"142","Se","ESSFdh1/110","4",33
"143","Se","ESSFdh1/111","4",35.8
"144","Se","ESSFdk1/101","4",17.2380952380952
"145","Se","ESSFdk1/102","4",3.85714285714286
"146","Se","ESSFdk1/103","4",1.3
"147","Se","ESSFdk1/104","4",7.30769230769231
"148","Se","ESSFdk1/110","4",12.5833333333333
"149","Se","ESSFdk1/111","4",24.3333333333333
"150","Se","ESSFdk2/101","4",22.6842105263158
"151","Se","ESSFdk2/103","4",5.61538461538461
"152","Se","ESSFdk2/104","4",14.9583333333333
"153","Se","ESSFdk2/110","4",21.2
"154","Se","ESSFdk2/111","4",25
"155","Se","ESSFdk2/112","4",15.5714285714286
"156","Se","ESSFdkw/101","4",12.1875
"157","Se","ESSFdkw/102","4",2.6
"158","Se","ESSFdkw/103","4",9.41176470588235
"159","Se","ESSFdkw/110","4",9.375
"160","Se","ESSFmc/01","4",13
"161","Se","ESSFmc/04","4",5.2
