"","ss_nospace","spp"
"1","ESSFwh1/110.2","Bl"
"2","ESSFwh1/110.2","Sx"
"3","ESSFwh1/110.1","Sx"
"4","ESSFwh1/110.1","Bl"
"5","ESSFwh1/110.1","Hw"
"6","ESSFwh3/104.1","Sx"
"7","ESSFwh3/104.1","Bl"
"8","ICHdw1/111","Act"
"9","IDFdm1/101","Sx"
"10","IDFdh/104.2","Py"
"11","IDFdh/104.2","Fd"
"12","MSdm1/111.1","Sx"
"13","MSdm1/111.1","Act"
"14","MSdm1/111.1","At"
"15","MSdm1/111.1","Pl"
"16","MSdm1/111.1","Bl"
"17","MSdm1/103b","Fd"
"18","MSdm1/111.2","Pl"
"19","MSdm1/111.2","Bl"
"20","MSdm1/111.2","Sx"
"21","MSdm1/111.2","Cw"
"22","MSdm1/111.1","Lw"
"23","MSdm1/111.1","Fd"
"24","MSdm1/103a","Fd"
"25","ESSFdc2/106","Pl"
"26","ESSFdc2/106","Sx"
"27","ESSFdc2/106","Bl"
"28","ESSFdc2/104a","Pl"
"29","ESSFdc2/104a","Sx"
"30","ESSFdc2/105","Pl"
"31","ESSFdc2/105","Sx"
"32","ESSFdc2/105","Bl"
"33","ESSFdc2/104a","Bl"
"34","ESSFdc2/104b","Pl"
"35","ESSFdc2/104b","Bl"
"36","ESSFdc2/104b","Sx"
"37","MSdm1/103a","Lw"
"38","ESSFwm4/103.1","Bl"
"39","ESSFwm4/103.1","Sx"
"40","ESSFwm4/103.1","Pl"
"41","CWHds1/102.2","Fd"
"42","CWHds1/102.2","Cw"
"43","CWHds1/102.2","Pl"
"44","CWHds1/102.2","Hw"
"45","CWHms2/101","Ba"
"46","CWHms2/101","Yc"
"47","CWHvh1/101","Pw"
"48","CWHvh1/112","Pw"
"49","CWHvh1/101","Tw"
"50","CWHms2/101","Cw"
"51","CWHms2/101","Hw"
"52","CWHms2/101","Hm"
"53","CWHms1/110","Cw"
"54","CWHms1/110","Hw"
"55","CWHms1/110","Fd"
"56","CWHms1/110","Ba"
"57","CWHms1/101","Hw"
"58","CWHms1/101","Ba"
"59","CWHds1/101a","Ba"
"60","CWHms1/101","Cw"
"61","CWHms1/101","Fd"
"62","IDFww1/101.1","Fd"
"63","IDFww1/101.1","Ep"
"64","CWHms3/101.1","Hw"
"65","CWHms3/101.1","Ba"
"66","IDFww1/104","Fd"
"67","CWHms3/101.1","Fd"
"68","CWHms3/101.1","Cw"
"69","CWHms3/101.1","Sx"
"70","CWHms3/101.2","Cw"
"71","CWHms3/101.2","Hw"
"72","CWHms3/101.2","Ba"
"73","IDFww1/101.1","Pl"
"74","CWHms2/110","Hw"
"75","CWHms2/110","Ba"
"76","CWHms2/110","Cw"
"77","CWHms2/110","Fd"
"78","CWHvh2/104","Hm"
"79","IDFdw/101","Sx"
"80","MSdm1/103a","Pl"
"81","CWHms2/111","Cw"
"82","CWHms2/111","Ba"
"83","CWHms2/111","Hw"
"84","CWHdm2/112.1","Ss"
"85","IDFdk2/101","Bl"
"86","ESSFdc2/101","Fd"
"87","ESSFdv/05","Bl"
"88","ESSFdv/05","Sx"
"89","ESSFdv/06","Sx"
"90","ESSFdv/06","Bl"
"91","ESSFdv/05","Pa"
"92","ESSFdv/","Bl"
"93","ESSFdv/","Sx"
"94","ESSFdv/04","Bl"
"95","ESSFdv/04","Pl"
"96","ESSFdv/04","Sx"
"97","ESSFdv/","Pl"
"98","ESSFdv/01","Pl"
"99","ESSFdv/01","Sx"
"100","ESSFdv/01","Bl"
"101","ESSFdv/01","Pa"
"102","ESSFdv/03","Pa"
"103","CWHvh1/103","Fd"
"104","CWHvm1/103","Yc"
"105","IDFdk2/110","Pl"
"106","MHmm1/102","Pl"
"107","CWHvm3/102","Hm"
"108","ESSFwcw/104.2","Bl"
"109","ESSFwcw/104.2","Sx"
"110","CWHvm1/113","Ba"
"111","ICHmw2/111.1","Cw"
"112","ICHmw2/111.1","Hw"
"113","ICHmw2/111.1","Sx"
"114","ESSFwc4/103b","Hw"
"115","ICHmw2/111.1","Bl"
"116","IDFdk5/105","Fd"
"117","IDFdk5/105","Pl"
"118","ESSFdk2/111","Pl"
"119","CWHms2/105","Fd"
"120","CWHms2/105","Hw"
"121","CWHms2/105","Ba"
"122","CWHms2/105","Cw"
"123","CWHms1/111","Cw"
"124","CWHms1/111","Hw"
"125","IDFdk5/101","Sx"
"126","IDFdk5/105","At"
"127","IDFdk5/101","Bl"
"128","CWHms2/101","Fd"
"129","CWHms1/103","Fd"
"130","CWHms1/103","Hw"
"131","CWHms1/103","Cw"
"132","CWHwm/112a","Hw"
"133","CWHms3/103.2","Hw"
"134","CWHms3/103.2","Fd"
"135","CWHms3/103.2","Cw"
"136","CWHms3/103.2","Bl"
"137","CWHxs/101.1","Bl"
"138","CWHws2/102","At"
"139","CWHws2/101","At"
"140","CWHvh3/101a","Tw"
"141","CWHvh3/115","Ss"
"142","CWHvh3/101b","Hm"
"143","CWHdm2/110","Ss"
"144","ICHmw5/111.2","Bl"
"145","ICHmw5/111.2","Cw"
"146","ICHmw5/111.2","Hw"
"147","ICHmw5/111.2","Sx"
"148","ESSFmh/110","Pl"
"149","MHmm2/113","Bl"
"150","CWHms1/112","Hw"
"151","CWHms1/112","Cw"
"152","CWHms2/110","Yc"
"153","CWHms2/103","Fd"
"154","CWHms2/103","Ba"
"155","CWHms2/103","Hw"
"156","MSdk/102","Sx"
"157","ESSFdkw/101","Pa"
"158","CDFmm/101","Hw"
"159","CDFmm/105","Bg"
"160","CDFmm/105","Tw"
"161","CDFmm/105","Cw"
"162","ICHdw4/110.2","Cw"
"163","ICHdw4/110.2","Hw"
"164","ICHmk2/05","Hw"
"165","ICHmk2/05","Act"
"166","IDFmw2/01yc","Fd"
"167","IDFmw2/01yc","Cw"
"168","CWHvh2/103","Hm"
"169","CWHds2/112","Act"
"170","MHwh/101a","Hm"
"171","MHwh/101a","Ss"
"172","MHwh/101b","Hw"
"173","MHwh/101b","Yc"
"174","MHwh/101b","Hm"
"175","MSdm1/103b","Lw"
"176","MSdm1/103b","Pl"
"177","MSdm1/103b","Bl"
