"","bgc","ss_nospace","Species","spp","newsuit_ord","mean_abund_ss","sd_abund_ss","nplots_ss","review"
"1","BGxh2","BGxh2/102","PSEUMEN","Fd","3",11,5.65685424949238,2,"Y"
"2","BGxh2","BGxh2/110","PSEUMEN","Fd","2",32.25,7.13559154286922,4,"Y"
"3","BGxh3","BGxh3/113","POPUTRI","Ac","1",23,20.6639783197718,3,"Y"
"4","BGxw1","BGxw1/102","PSEUMEN","Fd","4",5,3.91578004149024,4,"Y"
"5","BGxw1","BGxw1/110","PSEUMEN","Fd","2",28.5,26.1629509039023,2,"Y"
"6","BGxw1","BGxw1/111","PSEUMEN","Fd","2",45.1,11.4367827643966,5,"Y"
"7","BGxw2","BGxw2/110","PSEUMEN","Fd","3",14.9,8.1117199162693,5,"Y"
"8","BGxw2","BGxw2/111","PSEUMEN","Fd","3",41.5,25.51796752617,10,"Y"
"9","BGxw2","BGxw2/113","PSEUMEN","Fd","2",40,1.4142135623731,2,"Y"
"10","BWBSdk","BWBSdk/101","PICEENE","Sx","1",14.9857142908233,10.3399789610126,14,"Y"
"11","BWBSdk","BWBSdk/101","PINUCON","Pl","1",17.4483870969665,12.5745210900665,31,"Y"
"12","BWBSdk","BWBSdk/101a","PICEENE","Sx","1",8.75999999977648,0.367695525900903,2,"Y"
"13","BWBSdk","BWBSdk/101a","PICEGLA","Sx","1",21.2834166983763,16.9084166853713,12,"Y"
"14","BWBSdk","BWBSdk/101a","PINUCON","Pl","1",10.8222223122915,8.77065828624391,9,"Y"
"15","BWBSdk","BWBSdk/103","PICEGLA","Sx","1",13.0919999980927,11.6621510316456,25,"Y"
"16","BWBSdk","BWBSdk/103","PINUCON","Pl","1",19.7148518492597,11.3247595390901,27,"Y"
"17","BWBSdk","BWBSdk/104","PINUCON","Pl","1",10.3475757558463,7.58210476172183,33,"Y"
"18","BWBSdk","BWBSdk/110","PICEENE","Sx","1",19.5,3.53553390593274,2,"Y"
"19","BWBSdk","BWBSdk/110","POPUBAL","Ac","2",5.20000000298023,3.95979797042998,2,"Y"
"20","BWBSdk","BWBSdk/111","ABIELAS","Bl","3",10.6333334644636,7.66963729813577,3,"Y"
"21","BWBSdk","BWBSdk/111","PICEGLA","Sx","1",21.539999961853,11.5912898182625,5,"Y"
"22","BWBSdk","BWBSdk/111","POPUBAL","Ac","2",7.5,0.707106781186548,2,"Y"
"23","BWBSmk","BWBSmk/101","PICEENE","Sx","1",4.04999995231628,0,2,"Y"
"24","BWBSmk","BWBSmk/102","PICEMAR","Sb","4",1.30000000074506,1.13137085095215,2,"Y"
"25","BWBSmk","BWBSmk/103","PICEGLA","Sx","1",16.2133333365122,12.3914063881093,15,"Y"
"26","BWBSmk","BWBSmk/103","PICEMAR","Sb","4",2.83333333333333,1.89296944860009,3,"Y"
"27","BWBSmk","BWBSmk/103","PINUCON","Pl","1",15.160000000149,12.0738652562265,10,"Y"
"28","BWBSmk","BWBSmk/104","PICEMAR","Sb","2",33.365277800916,19.2254611233175,72,"Y"
"29","BWBSmk","BWBSmk/104","POPUTRE","At","3",11.4277778048482,10.7081500854556,18,"Y"
"30","BWBSmk","BWBSmk/104a","PINUCON","Pl","2",46,36.7151195013716,3,"Y"
"31","BWBSmk","BWBSmk/110","PICEGLA","Sx","1",20.1388888942699,13.7553120996815,9,"Y"
"32","BWBSmk","BWBSmk/110","PICEMAR","Sb","4",21.25,12.3743686707646,2,"Y"
"33","BWBSmk","BWBSmk/110","POPUTRE","At","3",12.8666666684051,8.46112679848643,6,"Y"
"34","BWBSmk","BWBSmk/111","BETUPAP","Ep","2",9.30769230769231,7.25011052081984,13,"Y"
"35","BWBSmk","BWBSmk/111","PICEMAR","Sb","3",35.9,29.3564303007024,5,"Y"
"36","BWBSmk","BWBSmk/111","POPUBAL","Ac","2",6.96666666948133,6.91700802120788,9,"Y"
"37","BWBSmk","BWBSmk/111","POPUTRE","At","3",12.3200000017881,10.3282137877158,5,"Y"
"38","BWBSmw","BWBSmw/101","PICEGLA","Sx","1",22.7899999955297,15.4994004445388,100,"Y"
"39","BWBSmw","BWBSmw/101","PICEMAR","Sb","3",20.1666666666667,17.7550675651326,12,"Y"
"40","BWBSmw","BWBSmw/101","POPUTRE","At","1",19.1950515465254,16.5431465661311,97,"Y"
"41","BWBSmw","BWBSmw/102","POPUTRE","At","3",13.8250000029802,3.45289733236892,4,"Y"
"42","BWBSmw","BWBSmw/103","PINUCON","Pl","1",20.5064516146818,20.428883725434,31,"Y"
"43","BWBSmw","BWBSmw/103","POPUTRE","At","1",9.29999999233655,8.14143359394038,35,"Y"
"44","BWBSmw","BWBSmw/104","PICEMAR","Sb","2",27.7248484713562,22.9434440765476,33,"Y"
"45","BWBSmw","BWBSmw/110","PICEGLA","Sx","1",22.5318181690845,15.0975679555812,22,"Y"
"46","BWBSmw","BWBSmw/110","PINUCON","Pl","2",8,3.57770876399966,6,"Y"
"47","BWBSmw","BWBSmw/110","POPUTRE","At","2",9.53333334128062,8.43563867538891,9,"Y"
"48","BWBSwk1","BWBSwk1/101","PICEENE","Sx","1",9.89499997653599,9.76262320211904,14,"Y"
"49","BWBSwk1","BWBSwk1/101","PINUCON","Pl","1",18.4958333255102,16.0748380043781,24,"Y"
"50","BWBSwk1","BWBSwk1/102","ABIELAS","Bl","4",8,7,3,"Y"
"51","BWBSwk1","BWBSwk1/102","PICEMAR","Sb","4",22.25,3.18198051533946,2,"Y"
"52","BWBSwk1","BWBSwk1/103","ABIELAS","Bl","4",7.5,5.75325994545701,6,"Y"
"53","BWBSwk1","BWBSwk1/103","PICEGLA","Sx","2",4.95555559794108,1.80493151198123,9,"Y"
"54","BWBSwk1","BWBSwk1/103","POPUTRE","At","3",10.25,6.25071424490262,8,"Y"
"55","BWBSwk1","BWBSwk1/110","PINUCON","Pl","2",7.83333333333333,7.08284312029193,6,"Y"
"56","BWBSwk1","BWBSwk1/110","POPUBAL","Ac","2",3.66666666666667,2.3094010767585,3,"Y"
"57","BWBSwk1","BWBSwk1/110","POPUTRI","Ac","2",2,1.4142135623731,2,"Y"
"58","BWBSwk1","BWBSwk1/111","PICEENE","Sx","3",25.8249999284744,9.23449157942473,4,"Y"
"59","BWBSwk1","BWBSwk1/111","PICEGLA","Sx","3",14.75,11.3247516529061,4,"Y"
"60","BWBSwk2","BWBSwk2/101","ABIELAS","Bl","2",26.709142926016,23.5060064914176,35,"Y"
"61","BWBSwk2","BWBSwk2/101","PICEENE","Sx","1",16.5633333366778,10.4744465231995,54,"Y"
"62","BWBSwk2","BWBSwk2/101","PICEGLA","Sx","1",14.2562499977648,13.5049796689873,32,"Y"
"63","BWBSwk2","BWBSwk2/103","BETUPAP","Ep","4",8,0,2,"Y"
"64","BWBSwk2","BWBSwk2/103","PICEENE","Sx","1",15.2192856967449,11.5942701291486,14,"Y"
"65","BWBSwk2","BWBSwk2/110","PICEGLA","Sx","1",14.914285708751,14.5065994869107,7,"Y"
"66","BWBSwk2","BWBSwk2/110","PINUCON","Pl","2",8.66666666666667,2.88675134594813,3,"Y"
"67","BWBSwk3","BWBSwk3/101","PICEGLA","Sx","1",18.3,13.6691054734553,10,"Y"
"68","BWBSwk3","BWBSwk3/101","PINUCON","Pl","2",7.5,0.707106781186548,2,"Y"
"69","BWBSwk3","BWBSwk3/102","ABIELAS","Bl","3",10.3333333333333,4.93288286231625,3,"Y"
"70","BWBSwk3","BWBSwk3/102","PICEGLA","Sx","3",14,4.24264068711928,2,"Y"
"71","BWBSwk3","BWBSwk3/103","PICEMAR","Sb","2",27.3916666507721,21.305033870655,12,"Y"
"72","BWBSwk3","BWBSwk3/110","ABIELAS","Bl","2",30.8333333333333,23.507091128707,3,"Y"
"73","BWBSwk3","BWBSwk3/110","PICEAX","Sx","1",16,9.23760430703401,4,"Y"
"74","BWBSwk3","BWBSwk3/110","PICEGLA","Sx","1",19,10.3150375665821,6,"Y"
"75","BWBSwk3","BWBSwk3/111","POPUTRI","Ac","3",0.100000001490116,0,2,"Y"
"76","CDFmm","CDFmm/101","PINUMON","Pw","5",3.83444444441961,3.83443969537046,9,"Y"
"77","CDFmm","CDFmm/102","PSEUMEN","Fd","3",27.1687708323201,18.3880574003828,48,"Y"
"78","CDFmm","CDFmm/102.1","PSEUMEN","Fd","3",27.2292909082025,18.2097127664562,55,"Y"
"79","CDFmm","CDFmm/102.2","PSEUMEN","Fd","3",27.0019803912032,17.8510715620068,51,"Y"
"80","CDFmm","CDFmm/103","QUERGAR","Qg","2",52.6,14.1515605735434,10,"Y"
"81","CDFmm","CDFmm/104","PSEUMEN","Fd","2",30.3237457618875,18.9842258150084,59,"Y"
"82","CDFmm","CDFmm/106","PSEUMEN","Fd","2",3,0,2,"Y"
"83","CDFmm","CDFmm/110","THUJPLI","Cw","2",25.983606557377,23.4502962335793,61,"Y"
"84","CDFmm","CDFmm/111","ARBUMEN","Ra","5",1,0,2,"Y"
"85","CDFmm","CDFmm/111","PSEUMEN","Fd","1",21.4842105264726,19.1064056493031,19,"Y"
"86","CDFmm","CDFmm/112","ABIEGRA","Bg","1",10.1740740736326,9.86285153819767,27,"Y"
"87","CDFmm","CDFmm/112","ACERMAC","Mb","1",15.2380952380952,13.0977740127195,42,"Y"
"88","CDFmm","CDFmm/112","PSEUMEN","Fd","1",16.725,15.9727131102566,40,"Y"
"89","CDFmm","CDFmm/112","THUJPLI","Cw","1",19.0586956519148,17.487602924597,46,"Y"
"90","CDFmm","CDFmm/112a","ACERMAC","Mb","1",14.925,13.3347194792295,40,"Y"
"91","CDFmm","CDFmm/112a","PSEUMEN","Fd","1",16.6388888888889,16.5480301422043,36,"Y"
"92","CDFmm","CDFmm/112b","THUJPLI","Cw","1",24.8346153841569,22.7559037146225,26,"Y"
"93","CDFmm","CDFmm/112b","TSUGHET","Hw","3",22.7142857142857,17.7079481750831,7,"Y"
"94","CDFmm","CDFmm/Ws53","PICESIT","Ss","3",15.1749999970198,13.9208177483115,4,"Y"
"95","CDFmm","CDFmm/Ws53","TSUGHET","Hw","3",16,2.82842712474619,2,"Y"
"96","CDFmm","CDFmm/Ws62","ALNURUB","Dr","2",40.5,14.8492424049175,2,"Y"
"97","CWHdm1","CWHdm1/101b","PINUCON","Pl","2",5.2,2.94957624075052,5,"Y"
"98","CWHdm1","CWHdm1/102","ARBUMEN","Ra","2",6.48294117663275,5.71759976381916,17,"Y"
"99","CWHdm1","CWHdm1/103","ACERMAC","Mb","2",6.6,4.33589667773576,5,"Y"
"100","CWHdm1","CWHdm1/104","TSUGHET","Hw","3",24.5,17.6776695296637,2,"Y"
"101","CWHdm1","CWHdm1/110","ABIEGRA","Bg","2",4.63333332538605,2.77668868482804,9,"Y"
"102","CWHdm1","CWHdm1/112","ABIEGRA","Bg","1",7.31666666517655,5.46128800779072,6,"Y"
"103","CWHdm1","CWHdm1/112","ACERMAC","Mb","1",11.2,10.4008546657367,10,"Y"
"104","CWHdm1","CWHdm1/112","THUJPLI","Cw","1",13.3666666671634,10.2197965996745,12,"Y"
"105","CWHdm1","CWHdm1/112","TSUGHET","Hw","1",13.5188235090498,13.2656614478284,17,"Y"
"106","CWHdm1","CWHdm1/112a","ABIEGRA","Bg","1",3.5,0.707106781186548,2,"Y"
"107","CWHdm1","CWHdm1/112a","ACERMAC","Mb","1",10.8,7.66159252375118,5,"Y"
"108","CWHdm1","CWHdm1/112a","ALNURUB","Dr","2",35.2222222222222,27.2845092395748,9,"Y"
"109","CWHdm1","CWHdm1/112a","THUJPLI","Cw","1",19.2250000089407,14.5433547270816,4,"Y"
"110","CWHdm1","CWHdm1/112a","TSUGHET","Hw","1",9.446666666617,7.22707409682878,9,"Y"
"111","CWHdm1","CWHdm1/113","THUJPLI","Cw","1",11.3333333333333,4.04145188432738,3,"Y"
"112","CWHdm1","CWHdm1/Ws57","ALNURUB","Dr","2",34,0,2,"Y"
"113","CWHdm2","CWHdm2/101","ALNURUB","Dr","2",4.2,2.57336787541584,10,"Y"
"114","CWHdm2","CWHdm2/102","PSEUMEN","Fd","2",9.55555555555556,6.20707481651202,9,"Y"
"115","CWHdm2","CWHdm2/103","TSUGHET","Hw","3",15.6666666666667,14.1891977691952,3,"Y"
"116","CWHdm2","CWHdm2/104","ACERMAC","Mb","2",1.59999997913837,1.0230672847134,4,"Y"
