"","bgc","ss_nospace","suitability","spp","newsuit","mod","outrange","PlotNumber","Species","TotalA","TotalB","NutrientRegime_clean","MoistureRegime_clean","Elevation","SlopeGradient","Aspect","MesoSlopePosition","Latitude","Longitude","SuccessionalStatus","StructuralStage","SiteUnit","newsuit_ord","TotalAB"
"64","CWHvm1","CWHvm1/103",NA,"Yc",2,"inputed",NA,"Z-134","CALLNOO",12,0,"B",2,571,15,245,"UP",50.0288322658167,-126.806290945137,NA,"7b",NA,"2",12
"65","CWHvm1","CWHvm1/103",NA,"Hm",2,"inputed",NA,"Z-127","TSUGMER",3,2,"B",2,513,5,180,"CR",50.0188404705689,-126.790747250368,NA,"7a",NA,"2",5
"66","CWHvm1","CWHvm1/103",NA,"Yc",2,"inputed",NA,"Z-127","CALLNOO",10,4,"B",2,513,5,180,"CR",50.0188404705689,-126.790747250368,NA,"7a",NA,"2",14
"67","CWHvm1","CWHvm1/113",NA,"Ba",3,"inputed",NA,"Z-118B","ABIEAMA",3,4,"B",6,503,18,248,"TO",50.0169498961573,-126.790191816939,NA,"3b",NA,"3",7
"70","CWHvh3","CWHvh3/101",NA,"Ba",2,"inputed",NA,"YEO28","ABIEAMA",0,0.100000001490116,"B",4,250,25,160,"MD",52.39110946,-128.09109497,NA,NA,NA,"2",0.100000001490116
"71","CWHvh3","CWHvh3/110",NA,"Ba",1,"inputed",NA,"YEO25","ABIEAMA",45,1.5,"D",4,400,70,20,"UP",52.32167053,-128.13690185,NA,NA,NA,"1",46.5
"72","CWHvh3","CWHvh3/110",NA,"Ba",1,"inputed",NA,"YEO17","ABIEAMA",55,15,"C",3,100,20,70,"TO",52.384449,-128.0836029,NA,NA,NA,"1",70
"73","ESSFmh","ESSFmh/110",NA,"Lw",3,"inputed",NA,"Y812288","LARIOCC",9,0,"C",5,1440,30,34,"LW",49.49111175,-118.64689636,"MS",NA,"ESSFmh   /110","3",9
"81","ESSFmh","ESSFmh/111",NA,"Lw",3,"inputed",NA,"Y770018","LARIOCC",5,0,"C",3,1400,27,310,NA,49.12916946,-118.790802,"OS",NA,NA,"3",5
"85","ICHmk4","ICHmk4/110",NA,"Pl",3,"inputed",NA,"Y770018","PINUCON",0,3,"C",3,1400,27,310,NA,49.12916946,-118.790802,"OS",NA,NA,"3",3
"93","ESSFwm2","ESSFwm2/104",NA,"Hw",3,"inputed",NA,"Wyn-R18","TSUGHET",0,1,"B",2,1800,70,70,"UP",49.6088899459606,-116.729150420192,NA,"5","ESSFwm 2 /104","3",1
"95","CWHds1","CWHds1/101",NA,"Mv",3,"inputed",NA,"WHIS47","ACERCIR",0,3,"C",3,430,50,130,"TO",49.91194534,-123.16333007,NA,"4",NA,"3",3
"96","CWHds1","CWHds1/101a",NA,"Mv",3,"inputed",NA,"WHIS47","ACERCIR",0,3,"C",3,430,50,130,"TO",49.91194534,-123.16333007,NA,"4",NA,"3",3
"97","CWHds1","CWHds1/101",NA,"Bl",2,"inputed",NA,"WHIS46","ABIELAS",0.100000001490116,0,"C",3,530,15,350,"MD",49.96277618,-123.12916564,NA,"6",NA,"2",0.100000001490116
"98","CWHds1","CWHds1/101a",NA,"Bl",2,"inputed",NA,"WHIS46","ABIELAS",0.100000001490116,0,"C",3,530,15,350,"MD",49.96277618,-123.12916564,NA,"6",NA,"2",0.100000001490116
"99","CWHds1","CWHds1/101",NA,"Hm",3,"inputed",NA,"WHIS44","TSUGMER",3,0,"B",3,450,10,340,"MD",49.97222137,-123.13027954,NA,"6",NA,"3",3
"100","CWHds1","CWHds1/101a",NA,"Hm",3,"inputed",NA,"WHIS44","TSUGMER",3,0,"B",3,450,10,340,"MD",49.97222137,-123.13027954,NA,"6",NA,"3",3
"101","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"WHIS44","ABIEAMA",15,0,"B",3,450,10,340,"MD",49.97222137,-123.13027954,NA,"6",NA,"2",15
"102","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"WHIS44","ABIEAMA",15,0,"B",3,450,10,340,"MD",49.97222137,-123.13027954,NA,"6",NA,"2",15
"107","CWHms3","CWHms3/103",NA,"Bl",2,"inputed",NA,"WHIS40","ABIELAS",15,0,"C",1,900,70,120,"MD",50.03499984,-123.07638549,NA,"6",NA,"2",15
"112","CWHms5","CWHms5/101.2",NA,"Yc",2,"inputed",NA,"WHIS24","CALLNOO",3,0,"C",3,790,50,60,"UP",50.00972366,-123.08750152,NA,"7",NA,"2",3
"117","CWHms3","CWHms3/103",NA,"Yc",3,"inputed",NA,"WHIS08","CALLNOO",0.100000001490116,0,"B",2,1020,10,280,"MD",50.00305557,-123.09860992,NA,"7",NA,"3",0.100000001490116
"118","CWHms5","CWHms5/103",NA,"Yc",3,"inputed",NA,"WHIS08","CALLNOO",0.100000001490116,0,"B",2,1020,10,280,"MD",50.00305557,-123.09860992,NA,"7",NA,"3",0.100000001490116
"119","CWHms5","CWHms5/103.1",NA,"Yc",3,"inputed",NA,"WHIS08","CALLNOO",0.100000001490116,0,"B",2,1020,10,280,"MD",50.00305557,-123.09860992,NA,"7",NA,"3",0.100000001490116
"120","CWHms5","CWHms5/103.2",NA,"Yc",3,"inputed",NA,"WHIS08","CALLNOO",0.100000001490116,0,"B",2,1020,10,280,"MD",50.00305557,-123.09860992,NA,"7",NA,"3",0.100000001490116
"121","CWHms3","CWHms3/103",NA,"Yc",3,"inputed",NA,"WHIS04","CALLNOO",3,0,"B",2,820,15,270,"MD",50.01610946,-123.08666992,NA,"4",NA,"3",3
"122","CWHms5","CWHms5/103",NA,"Yc",3,"inputed",NA,"WHIS04","CALLNOO",3,0,"B",2,820,15,270,"MD",50.01610946,-123.08666992,NA,"4",NA,"3",3
"123","CWHms5","CWHms5/103.1",NA,"Yc",3,"inputed",NA,"WHIS04","CALLNOO",3,0,"B",2,820,15,270,"MD",50.01610946,-123.08666992,NA,"4",NA,"3",3
"124","CWHms5","CWHms5/103.2",NA,"Yc",3,"inputed",NA,"WHIS04","CALLNOO",3,0,"B",2,820,15,270,"MD",50.01610946,-123.08666992,NA,"4",NA,"3",3
"126","CWHms4","CWHms4/110",NA,"Tw",3,"inputed",NA,"WHIS01","TAXUBRE",0,0.100000001490116,"D",4,870,20,210,"MD",50.04222106,-122.99028015,NA,"5",NA,"3",0.100000001490116
"128","IDFdm2","IDFdm2/103",NA,"Sx",2,"inputed",NA,"WC40-97","PICEENE",20,15,"D",5,920,8,270,"LV",49.9303273003135,-115.677948320825,"MEC","3a",NA,"2",35
"133","CWHvm1","CWHvm1/103",NA,"Yc",2,"inputed",NA,"WC 283","CALLNOO",11,3,"B",1,300,15,100,"CR",49.01221847,-125.06610107,NA,"6",NA,"2",14
"134","CWHvm3","CWHvm3/103",NA,"Yc",2,"inputed",NA,"WC 283","CALLNOO",11,3,"B",1,300,15,100,"CR",49.01221847,-125.06610107,NA,"6",NA,"2",14
"145","CWHvm1","CWHvm1/103",NA,"Yc",2,"inputed",NA,"WC 279","CALLNOO",6,12,"B",1,310,15,110,"CR",49.00833892,-125.07060241,NA,NA,NA,"2",18
"146","CWHvm3","CWHvm3/103",NA,"Yc",2,"inputed",NA,"WC 279","CALLNOO",6,12,"B",1,310,15,110,"CR",49.00833892,-125.07060241,NA,NA,NA,"2",18
"153","CWHvm1","CWHvm1/101",NA,"Yc",2,"inputed",NA,"WC 278","CALLNOO",11,3,"B",4,300,12,180,"MD",49.00888824,-125.0746994,NA,NA,NA,"2",14
"154","CWHvm3","CWHvm3/101",NA,"Yc",2,"inputed",NA,"WC 278","CALLNOO",11,3,"B",4,300,12,180,"MD",49.00888824,-125.0746994,NA,NA,NA,"2",14
"159","CWHvh1","CWHvh1/102",NA,"Tw",4,"inputed",NA,"WC 267","TAXUBRE",0,0.200000002980232,"C",0,120,56,335,"MD",49.27666854,-125.86920166,NA,"6","CWH vh 1 /102","4",0.200000002980232
"160","CWHvh1","CWHvh1/112",NA,"Tw",3,"inputed",NA,"WC 263","TAXUBRE",0,0.699999988079071,"D",6,35,3,270,"LV",49.32027816,-126.22499847,"MCC",NA,"CWH vh 1 /112","3",0.699999988079071
"169","CWHvh1","CWHvh1/112",NA,"Tw",3,"inputed",NA,"WC 240","TAXUBRE",0,2,"B",6,75,5,280,"LW",48.73694992,-125.09940338,NA,"6","CWH vh 1 /112","3",2
"170","CWHvh1","CWHvh1/103",NA,"Tw",3,"inputed",NA,"WC 236","TAXUBRE",0,1,"B",1,30,70,220,"MD",48.79111099,-125.2043991,NA,"6","CWH vh 1 /103","3",1
"171","CWHvh1","CWHvh1/103",NA,"Tw",3,"inputed",NA,"WC 234","TAXUBRE",0,0.699999988079071,"B",2,30,30,205,"MD",48.78722,-125.20079803,NA,"6","CWH vh 1 /103","3",0.699999988079071
"172","CWHvm2","CWHvm2/115",NA,"Ss",1,"inputed",NA,"WC 227","PICESIT",26,0,"C",7,800,18,278,"MD",48.54917144,-124.10690307,NA,NA,"CWH vm 2 /115","1",26
"173","CWHvm2","CWHvm2/115",NA,"Ss",1,"inputed",NA,"WC 227","PICESIT",26,0,"C",7,800,18,278,"MD",48.54917144,-124.10690307,NA,NA,"CWH vm 2 /115","1",26
"174","CWHvm2","CWHvm2/115",NA,"Ss",1,"inputed",NA,"WC 227","PICESIT",26,0,"C",7,800,18,278,"MD",48.54917144,-124.10690307,NA,NA,"CWH vm 2 /115","1",26
"175","CWHvm3","CWHvm3/Ws56",NA,"Ba",2,"inputed",NA,"WC 216","ABIEAMA",11,1,"D",7,110,25,212,"LW",48.4925003,-124.27220153,"OC",NA,NA,"2",12
"180","CWHvm3","CWHvm3/Ws56",NA,"Ba",2,"inputed",NA,"WC 214","ABIEAMA",3,0,"D",6,90,20,215,"LW",48.5044403,-124.29389953,"OC",NA,NA,"2",3
"182","CWHvh1","CWHvh1/101",NA,"Tw",3,"inputed",NA,"WC 207","TAXUBRE",1.39999997615814,0.699999988079071,"B",4,150,5,180,"CR",48.5355606,-124.41079711,NA,NA,"CWH vh 1 /101","3",2.09999996423721
"183","CWHvh1","CWHvh1/101",NA,"Tw",3,"inputed",NA,"WC 207","TAXUBRE",1.39999997615814,0.699999988079071,"B",4,150,5,180,"CR",48.5355606,-124.41079711,NA,NA,"CWH vh 1 /101","3",2.09999996423721
"184","CWHvh1","CWHvh1/101",NA,"Tw",3,"inputed",NA,"WC 207","TAXUBRE",1.39999997615814,0.699999988079071,"B",4,150,5,180,"CR",48.5355606,-124.41079711,NA,NA,"CWH vh 1 /101","3",2.09999996423721
"185","CWHvh1","CWHvh1/101",NA,"Tw",3,"inputed",NA,"WC 207","TAXUBRE",1.39999997615814,0.699999988079071,"B",4,150,5,180,"CR",48.5355606,-124.41079711,NA,NA,"CWH vh 1 /101","3",2.09999996423721
"186","CWHvh1","CWHvh1/101",NA,"Tw",3,"inputed",NA,"WC 207","TAXUBRE",1.39999997615814,0.699999988079071,"B",4,150,5,180,"CR",48.5355606,-124.41079711,NA,NA,"CWH vh 1 /101","3",2.09999996423721
"187","CWHvh1","CWHvh1/101",NA,"Tw",3,"inputed",NA,"WC 207","TAXUBRE",1.39999997615814,0.699999988079071,"B",4,150,5,180,"CR",48.5355606,-124.41079711,NA,NA,"CWH vh 1 /101","3",2.09999996423721
"196","CWHvh1","CWHvh1/Ws54",NA,"Tw",4,"inputed",NA,"WC 203","TAXUBRE",0,0.699999988079071,"D",7,20,5,180,"LV",48.52555084,-124.4332962,NA,"6",NA,"4",0.699999988079071
"197","CWHvh1","CWHvh1/Ws56",NA,"Tw",4,"inputed",NA,"WC 203","TAXUBRE",0,0.699999988079071,"D",7,20,5,180,"LV",48.52555084,-124.4332962,NA,"6",NA,"4",0.699999988079071
"204","CWHvm1","CWHvm1/111.2",NA,"Pw",3,"inputed",NA,"W  021","PINUMON",15,0,"C",4,300,30,240,"MD",50.24721908,-126.43609619,"OC",NA,"CWH vm 1 /111.2","3",15
"205","CWHvm1","CWHvm1/111.2",NA,"Pw",3,"inputed",NA,"W  021","PINUMON",15,0,"C",4,300,30,240,"MD",50.24721908,-126.43609619,"OC",NA,"CWH vm 1 /111.2","3",15
"206","CWHvm1","CWHvm1/111.2",NA,"Pw",3,"inputed",NA,"W  021","PINUMON",15,0,"C",4,300,30,240,"MD",50.24721908,-126.43609619,"OC",NA,"CWH vm 1 /111.2","3",15
"207","CWHvm1","CWHvm1/111.2",NA,"Pw",3,"inputed",NA,"W  021","PINUMON",15,0,"C",4,300,30,240,"MD",50.24721908,-126.43609619,"OC",NA,"CWH vm 1 /111.2","3",15
"208","CWHvm1","CWHvm1/111.2",NA,"Pw",3,"inputed",NA,"W  021","PINUMON",15,0,"C",4,300,30,240,"MD",50.24721908,-126.43609619,"OC",NA,"CWH vm 1 /111.2","3",15
"209","CWHvm1","CWHvm1/111.2",NA,"Pw",3,"inputed",NA,"W  021","PINUMON",15,0,"C",4,300,30,240,"MD",50.24721908,-126.43609619,"OC",NA,"CWH vm 1 /111.2","3",15
"229","CWHms5","CWHms5/110",NA,"Bl",2,"inputed",NA,"VV0124","ABIELAS",6,0,"D",5,1190,25,70,NA,49.14167022,-121.25830078,NA,NA,"CWH ms 5 /110","2",6
"230","CWHms5","CWHms5/110",NA,"Bl",2,"inputed",NA,"VV0124","ABIELAS",6,0,"D",5,1190,25,70,NA,49.14167022,-121.25830078,NA,NA,"CWH ms 5 /110","2",6
"231","CWHms5","CWHms5/110",NA,"Bl",2,"inputed",NA,"VV0124","ABIELAS",6,0,"D",5,1190,25,70,NA,49.14167022,-121.25830078,NA,NA,"CWH ms 5 /110","2",6
"232","CWHdm3","CWHdm3/112",NA,"Ba",2,"inputed",NA,"VV0121","ABIEAMA",29,17,"D",5,500,20,250,NA,49.90832901,-123.29170227,NA,NA,NA,"2",46
"236","CWHxs","CWHxs/101",NA,"Bl",3,"inputed",NA,"VV0106","ABIELAS",0,1,"C",3,660,10,220,NA,50.03194046,-121.5333023,NA,NA,NA,"3",1
"237","IDFww","IDFww/101",NA,"Bl",3,"inputed",NA,"VV0106","ABIELAS",0,1,"C",3,660,10,220,NA,50.03194046,-121.5333023,NA,NA,NA,"3",1
"238","IDFww","IDFww/101.1",NA,"Bl",3,"inputed",NA,"VV0106","ABIELAS",0,1,"C",3,660,10,220,NA,50.03194046,-121.5333023,NA,NA,NA,"3",1
"239","IDFww","IDFww/101.2",NA,"Bl",3,"inputed",NA,"VV0106","ABIELAS",0,1,"C",3,660,10,220,NA,50.03194046,-121.5333023,NA,NA,NA,"3",1
"242","CWHds1","CWHds1/101",NA,"Mv",3,"inputed",NA,"VV0101","ACERCIR",0,11,"C",4,110,20,50,NA,49.52500152,-121.42500305,NA,NA,NA,"3",11
"243","CWHds1","CWHds1/101a",NA,"Mv",3,"inputed",NA,"VV0101","ACERCIR",0,11,"C",4,110,20,50,NA,49.52500152,-121.42500305,NA,NA,NA,"3",11
"246","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"VV0099","ABIEAMA",3,1,"C",3,630,40,5,NA,49.375,-121.47499847,"MCC","6","CWH ds 1 /101a","2",4
"247","CWHds1","CWHds1/101a",NA,"Ba",2,"inputed",NA,"VV0099","ABIEAMA",3,1,"C",3,630,40,5,NA,49.375,-121.47499847,"MCC","6","CWH ds 1 /101a","2",4
"252","CWHxs","CWHxs/101.1",NA,"Bl",4,"inputed",NA,"VV0095","ABIELAS",0,0.200000002980232,"B",3,500,50,230,NA,49.00833892,-121.09169769,NA,NA,"CWH xs   /101.1","4",0.200000002980232
"253","CWHxs","CWHxs/101.1",NA,"Bl",4,"inputed",NA,"VV0095","ABIELAS",0,0.200000002980232,"B",3,500,50,230,NA,49.00833892,-121.09169769,NA,NA,"CWH xs   /101.1","4",0.200000002980232
"254","CWHxs","CWHxs/101.1",NA,"Bl",4,"inputed",NA,"VV0095","ABIELAS",0,0.200000002980232,"B",3,500,50,230,NA,49.00833892,-121.09169769,NA,NA,"CWH xs   /101.1","4",0.200000002980232
"255","CWHxs","CWHxs/101.1",NA,"Bl",4,"inputed",NA,"VV0095","ABIELAS",0,0.200000002980232,"B",3,500,50,230,NA,49.00833892,-121.09169769,NA,NA,"CWH xs   /101.1","4",0.200000002980232
"256","CWHdm3","CWHdm3/112",NA,"Ba",2,"inputed",NA,"VV0087","ABIEAMA",17,17,"D",5,690,40,70,NA,49.55833053,-121.84169769,NA,NA,NA,"2",34
"261","CWHvm1","CWHvm1/101",NA,"Yc",2,"inputed",NA,"VV0078","CALLNOO",29,1,"C",4,790,40,210,NA,49.49166107,-122.54170227,NA,NA,NA,"2",30
"262","CWHvm3","CWHvm3/101",NA,"Yc",2,"inputed",NA,"VV0078","CALLNOO",29,1,"C",4,790,40,210,NA,49.49166107,-122.54170227,NA,NA,NA,"2",30
"263","CWHvm1","CWHvm1/101",NA,"Hm",2,"inputed",NA,"VV0078","TSUGMER",3,1,"C",4,790,40,210,NA,49.49166107,-122.54170227,NA,NA,NA,"2",4
"264","CWHvm1","CWHvm1/111",NA,"Hm",2,"inputed",NA,"VV0078","TSUGMER",3,1,"C",4,790,40,210,NA,49.49166107,-122.54170227,NA,NA,NA,"2",4
"265","CWHvm1","CWHvm1/111.2",NA,"Hm",2,"inputed",NA,"VV0078","TSUGMER",3,1,"C",4,790,40,210,NA,49.49166107,-122.54170227,NA,NA,NA,"2",4
"266","CWHvm3","CWHvm3/101",NA,"Hm",2,"inputed",NA,"VV0078","TSUGMER",3,1,"C",4,790,40,210,NA,49.49166107,-122.54170227,NA,NA,NA,"2",4
"267","CWHvm3","CWHvm3/111",NA,"Hm",2,"inputed",NA,"VV0078","TSUGMER",3,1,"C",4,790,40,210,NA,49.49166107,-122.54170227,NA,NA,NA,"2",4
"268","CWHvm3","CWHvm3/111.2",NA,"Hm",2,"inputed",NA,"VV0078","TSUGMER",3,1,"C",4,790,40,210,NA,49.49166107,-122.54170227,NA,NA,NA,"2",4
"270","CWHdm3","CWHdm3/101",NA,"Ba",2,"inputed",NA,"VV0066","ABIEAMA",0,9,"B",3,1620,50,180,NA,49.65832901,-123.67500305,NA,NA,NA,"2",9
"273","CWHxs","CWHxs/101",NA,"Pl",3,"inputed",NA,"VV0061","PINUCON",0,1,"C",4,710,40,110,NA,49.875,-121.44170379,NA,NA,NA,"3",1
"279","CWHms5","CWHms5/101.1",NA,"Mv",3,"inputed",NA,"VV0049","ACERCIR",0,3,"B",4,550,5,180,NA,49.82500076,-121.45829772,NA,NA,"CWH ms 5 /101.1","3",3
"280","CWHms5","CWHms5/101.1",NA,"Mv",3,"inputed",NA,"VV0049","ACERCIR",0,3,"B",4,550,5,180,NA,49.82500076,-121.45829772,NA,NA,"CWH ms 5 /101.1","3",3
"281","CWHms5","CWHms5/101.1",NA,"Mv",3,"inputed",NA,"VV0049","ACERCIR",0,3,"B",4,550,5,180,NA,49.82500076,-121.45829772,NA,NA,"CWH ms 5 /101.1","3",3
"282","CWHms5","CWHms5/101.1",NA,"Mv",3,"inputed",NA,"VV0049","ACERCIR",0,3,"B",4,550,5,180,NA,49.82500076,-121.45829772,NA,NA,"CWH ms 5 /101.1","3",3
"284","CWHds1","CWHds1/101b",NA,"Tw",3,"inputed",NA,"VV0043","TAXUBRE",0,1,"C",2,680,10,230,NA,49.318526,-121.274049,NA,NA,NA,"3",1
"285","CWHds1","CWHds1/101",NA,"Ba",2,"inputed",NA,"VV0043","ABIEAMA",0,0.5,"C",2,680,10,230,NA,49.318526,-121.274049,NA,NA,NA,"2",0.5
"287","CWHds1","CWHds1/101",NA,"Mv",3,"inputed",NA,"VV0043","ACERCIR",0,14,"C",2,680,10,230,NA,49.318526,-121.274049,NA,NA,NA,"3",14
"289","CWHdm3","CWHdm3/101",NA,"Ba",2,"inputed",NA,"VV0041","ABIEAMA",9,0.200000002980232,"C",4,1080,45,250,NA,49.09167098,-121.60829925,NA,NA,NA,"2",9.20000000298023
"292","CWHms5","CWHms5/101.2",NA,"Pl",3,"inputed",NA,"VV0035","PINUCON",9,0,"B",3,850,5,160,NA,49.79167175,-121.39170074,NA,NA,"CWH ms 5 /101.2","3",9
"293","CWHms5","CWHms5/101.2",NA,"Pl",3,"inputed",NA,"VV0035","PINUCON",9,0,"B",3,850,5,160,NA,49.79167175,-121.39170074,NA,NA,"CWH ms 5 /101.2","3",9
"294","CWHms5","CWHms5/101.2",NA,"Pl",3,"inputed",NA,"VV0035","PINUCON",9,0,"B",3,850,5,160,NA,49.79167175,-121.39170074,NA,NA,"CWH ms 5 /101.2","3",9
"295","CWHms5","CWHms5/101.2",NA,"Pl",3,"inputed",NA,"VV0035","PINUCON",9,0,"B",3,850,5,160,NA,49.79167175,-121.39170074,NA,NA,"CWH ms 5 /101.2","3",9
"308","CWHds1","CWHds1/101a",NA,"Mv",3,"inputed",NA,"VV0031","ACERCIR",0,3,"B",4,500,20,120,NA,49.487558,-121.25147,NA,NA,"CWH ds 1 /101a","3",3
"309","CWHds1","CWHds1/101a",NA,"Mv",3,"inputed",NA,"VV0031","ACERCIR",0,3,"B",4,500,20,120,NA,49.487558,-121.25147,NA,NA,"CWH ds 1 /101a","3",3
"310","CWHds1","CWHds1/110",NA,"Mv",2,"inputed",NA,"VV0030","ACERCIR",0,9,"D",5,280,45,270,NA,49.398564,-121.314735,NA,NA,"CWH ds 1 /110","2",9
"311","CWHds1","CWHds1/110",NA,"Mv",2,"inputed",NA,"VV0030","ACERCIR",0,9,"D",5,280,45,270,NA,49.398564,-121.314735,NA,NA,"CWH ds 1 /110","2",9
"312","CWHdm2","CWHdm2/101",NA,"Ba",2,"inputed",NA,"VV0019","ABIEAMA",20,1,"B",4,570,20,90,NA,48.476424,-123.80147,NA,NA,NA,"2",21
"313","CWHdm2","CWHdm2/101",NA,"Tw",4,"inputed",NA,"VV0019","TAXUBRE",0,0.5,"B",4,570,20,90,NA,48.476424,-123.80147,NA,NA,NA,"4",0.5
