"","bgc","ss_nospace","suitability","spp","newsuit","mod","outrange","PlotNumber","Species","TotalA","TotalB","NutrientRegime_clean","MoistureRegime_clean","Elevation","SlopeGradient","Aspect","MesoSlopePosition","Latitude","Longitude","SuccessionalStatus","StructuralStage","SiteUnit","newsuit_ord","TotalAB"
"4","ESSFdc2","ESSFdc2/101",NA,"At",3,"inputed",NA,"t4938","POPUTRE",0,0.899999976158142,"C",4,1575,10,4,"MD",50.1927514999595,-119.718726627948,NA,"3b",NA,"3",0.899999976158142
"7","MSdm2","MSdm2/104",NA,"At",3,"inputed",NA,"t4955","POPUTRE",0,5,"C",3,1320,9,20,"CR",49.9569034145047,-119.781225624164,NA,"3b",NA,"3",5
"8","ESSFdc2","ESSFdc2/101",NA,"At",3,"inputed",NA,"t4939","POPUTRE",0,2,"C",4,1580,18,92,"MD",50.192733532722,-119.718725606989,NA,"3b",NA,"3",2
"9","ESSFdc2","ESSFdc2/101",NA,"At",3,"inputed",NA,"t4938a","POPUTRE",0,2,"C",4,1590,11,134,"MD",50.1938442339098,-119.709694515206,NA,"3b",NA,"3",2
"12","IDFdk1","IDFdk1/111",NA,"Fd",2,"inputed",NA,"t49254","PSEUMEN",5,3,"D",5,1020,8,253,"TO",50.3614186569137,-119.962986358206,NA,"6",NA,"2",8
"13","MSdm2","MSdm2/101",NA,"Ac",3,"inputed",NA,"t49227","POPUTRI",0,1.5,"C",4,1500,17,193,"MD",50.0774757160016,-119.644247739483,NA,"4",NA,"3",1.5
"14","IDFdk1","IDFdk1/111",NA,"Fd",2,"inputed",NA,"t49249","PSEUMEN",20,3,"C",5,1090,21,351,"LW",50.2813425227201,-119.923416296204,NA,"6",NA,"2",23
"16","IDFdk1","IDFdk1/111",NA,"Fd",2,"inputed",NA,"t49247","PSEUMEN",20,4,"D",5,1060,8,343,"LW",50.2792831971014,-119.957852260059,NA,"6",NA,"2",24
"17","MSdm2","MSdm2/105",NA,"Fd",3,"inputed",NA,"t49242","PSEUMEN",2,0.100000001490116,"C",4,1210,32,335,"MD",50.340123281438,-119.788250469012,NA,"6",NA,"3",2.10000000149012
"18","IDFdk2","IDFdk2/110",NA,"Pl",3,"inputed",NA,"t49241","PINUCON",2,0,"C",5,1110,5,18,"LV",50.3507622402077,-119.804437304945,NA,"6",NA,"3",2
"20","MSdm2","MSdm2/101",NA,"At",4,"inputed",NA,"t49227","POPUTRE",0,0.100000001490116,"C",4,1500,17,193,"MD",50.0774757160016,-119.644247739483,NA,"4",NA,"4",0.100000001490116
"21","MSdm2","MSdm2/101",NA,"Ac",3,"inputed",NA,"t49225","POPUTRI",0,1,"C",4,1540,22,317,"MD",50.0750523339815,-119.643219791294,NA,"4",NA,"3",1
"22","IDFdk2","IDFdk2/101",NA,"Ac",4,"inputed",NA,"t49176","POPUTRI",0,0.100000001490116,"C",4,1250,19,61,"MD",50.355655595461,-119.781990001988,NA,"5",NA,"4",0.100000001490116
"24","IDFdk2","IDFdk2/101",NA,"Ac",4,"inputed",NA,"t49174","POPUTRI",0,1,"C",4,1250,24,137,"MD",50.382830439042,-119.797747583371,NA,"5",NA,"4",1
"25","MSdm2","MSdm2/101",NA,"At",4,"inputed",NA,"t4916a","POPUTRE",0,0.100000001490116,"C",4,1460,43,105,"MD",49.9100543502209,-119.812824824092,NA,"6",NA,"4",0.100000001490116
"32","MSdm3","MSdm3/05",NA,"At",3,"inputed",NA,"t49156","POPUTRE",2,0,"D",5,1500,48,212,"LW",50.5191191906683,-119.49522646342,NA,"6",NA,"3",2
"33","ESSFdc3","ESSFdc3/05",NA,"Fd",3,"inputed",NA,"t49154","PSEUMEN",5,0,"C",5,1510,23,237,"MD",50.5438991560476,-119.55250420898,NA,"6",NA,"3",5
"34","ESSFdc3","ESSFdc3/05",NA,"Fd",3,"inputed",NA,"t49153","PSEUMEN",3,0,"D",5,1570,13,225,"MD",50.5407764092646,-119.554212842654,NA,"6",NA,"3",3
"37","MSdm2","MSdm2/104",NA,"At",3,"inputed",NA,"t4914","POPUTRE",0,2,"C",3,1510,26,150,"MD",50.1718077716674,-119.764514184218,NA,"3b",NA,"3",2
"38","ICHmw2","ICHmw2/110",NA,"Tw",3,"inputed",NA,"ko93113","TAXUBRE",0,2,"D",5,1280,27,326,"LW",49.7211270271158,-117.261914656506,"MEC","7","ICH mw 2 /110","3",2
"42","IDFdm2","IDFdm2/103",NA,"Sx",2,"inputed",NA,"b4777","PICEENE",3,0,"D",4,815,4,169,"CR",49.48888015,-115.45829772,"MS","5",NA,"2",3
"43","MSdw","MSdw/111",NA,"Pl",2,"inputed",NA,"ZE02-96","PINUCON",0,0.699999988079071,"C",4,1360,25,305,"MD",50.4820993491426,-116.177587952984,"YS","2d",NA,"2",0.699999988079071
"45","MSdw","MSdw/111",NA,"Lw",3,"inputed",NA,"ZE02-96","LARIOCC",0,0.5,"C",4,1360,25,305,"MD",50.4820993491426,-116.177587952984,"YS","2d",NA,"3",0.5
"46","MSdk","MSdk/111",NA,"Lw",3,"inputed",NA,"ZE02-96","LARIOCC",0,0.5,"C",4,1360,25,305,"MD",50.4820993491426,-116.177587952984,"YS","2d",NA,"3",0.5
"48","MSdk","MSdk/111",NA,"Fd",4,"inputed",NA,"ZE02-96","PSEUMEN",0,0.400000005960464,"C",4,1360,25,305,"MD",50.4820993491426,-116.177587952984,"YS","2d",NA,"4",0.400000005960464
"55","ICHdw1","ICHdw1/111",NA,"Tw",3,"inputed",NA,"Z812059","TAXUBRE",0,5,"D",5,700,4,320,"LV",49.43917083,-117.49169921,"MC",NA,"ICH dw 1 /111","3",5
"63","CWHvm1","CWHvm1/103",NA,"Hm",2,"inputed",NA,"Z-134","TSUGMER",0,1,"B",2,571,15,245,"UP",50.0288322658167,-126.806290945137,NA,"7b",NA,"2",1
