"id1","id2","Latitude","Longitude","Elevation"
"%801812","MSdk1",49.02,-114.379997,1390
"?780452","ICHmk1",49.39,-115.169998,1010
"$801900","MSdk1",49.46,-116.099998,1420
"%780453","ICHmk1",49.64,-115.940002,1280
"%796961","MSdk1",49,-114.489998,1250
"%801752","ESSFdk1",49.12,-114.730003,1700
"?780457","ICHmk4",49.42,-115.019997,1060
"%801762","MSdk1",49.01,-114.510002,1350
"%801763","MSdk1",49.16,-114.440002,1450
"%801771","MSdk1",49.06,-114.25,1420
"%801773","MSdk1",49.36,-114.650002,1520
"%801775","ESSFdk1",49.33,-114.699997,1653
"%801784","MSdk1",49.14,-114.279999,1450
"?791103","PPdh2",49.13,-115.129997,800
"?791105","PPdh2",49.13,-115.139999,815
"?791112","PPdh2",49.05,-115.129997,815
"?791121","PPdh2",49.1,-115.269997,820
"?791123","IDFdm2",49.13,-115.260002,810
"?796927","MSdk1",49.12,-115.389999,1335
"?796931","MSdk1",49.15,-115.389999,1225
"?796934","ICHmk4",49.31,-115.800003,1300
"?801805","IDFdm2",49.48,-115.370003,875
"?801806","IDFdm2",49.4,-115.349998,865
"?801809","IDFdm2",49.28,-115.330002,780
"?801814","IDFdm2",49.29,-115.379997,870
"?801824","IDFdm2",49.37,-115.419998,850
"?801825","IDFdm2",49.34,-115.379997,820
"?801833","IDFdm2",49.34,-115.360001,775
"0000453","SBPSmc",53.2,-125.599998,990
"0000651","BWBSmk",59.45,-120.220001,600
"0000655","BWBSmk",59.5,-120.330002,655
"0000662","BWBSwk2",56.89,-122,1130
"0000663","BWBSwk2",56.98,-122.18,1125
"0000664","BWBSwk2",56.95,-122.32,1130
"0000673","BWBSwk2",57.05,-122.68,1130
"0000678","BWBSwk2",57.03,-122.82,1135
"0000680","BWBSwk2",56.05,-122.139999,1080
"0000684","BWBSwk2",56.17,-122.410004,915
"0000691","BWBSwk2",56.92,-121.910004,1105
"0001653","SBPSmc",53.24,-125.589996,940
"0001779","ESSFmm",53.24,-119.620003,1280
"0002479","ESSFmm",52.72,-119.410004,990
"0003279","ESSFmm1",52.73,-119.360001,1000
"0004779","ESSFmm1",52.53,-118.779999,1680
"0005852","SBPSmc",53.1,-125.25,1120
"0006252","SBPSmc",53.07,-125.389999,1090
"0036580","ESSFmm",52.89,-119.269997,1350
"0006652","SBSmc3",53.14,-125.400002,1100
"0007179","ESSFmm1",52.83,-118.959999,1500
"0007279","ESSFmm1",52.94,-119.650002,1480
"0008079","ESSFmm1",52.61,-118.57,1690
"0010252","SBPSmc",53.25,-125.620003,950
"0011152","SBPSmc",53.2,-125.620003,1000
"0011253","SBPSmc",53.2,-125.610001,1000
"0012353","SBPSmc",53.15,-125.599998,960
"0013053","SBPSmc",53.18,-125.639999,950
"0013853","SBPSmc",53.18,-123.650002,990
"0014152","SBPSmc",53.2,-125.690002,1000
"0014252","SBPSmc",53.2,-125.690002,985
"001479","SBSdh1",53.04,-119.559998,870
"0015152","SBPSmc",53.3,-125.699997,930
"0015452","SBPSmc",53.12,-125.900002,950
"0015752","SBPSmc",53.1,-125.940002,890
"001579","SBSdh1",52.77,-119.139999,920
"0015952","SBPSmc",53.15,-125.970001,985
"0016052","SBPSmc",53.14,-125.940002,980
"0017052","SBPSmc",53.42,-125.169998,870
"0017252","SBPSmc",53.39,-125.169998,925
"0017552","SBPSmc",53.32,-125.290001,1060
"0017752","SBPSmc",53.32,-125.349998,1020
